
3 Mot inconnu : Chemtool => ====== Chemtool ====== | chemtool

4 Mot inconnu : Chemtool => Chemtool est un éditeur de molécule 2D utilisant le toolkit GTK. | chemtool
4 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => Chemtool est un éditeur de molécule 2D utilisant le toolkit GTK. | 2d => suggestions : ['2ᵈ']
4 Mot inconnu : toolkit => Chemtool est un éditeur de molécule 2D utilisant le toolkit GTK. | toolkit

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ===== Pré-requis ===== |   => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

18 Mot inconnu : Chemtool => Chemtool permet notamment de : | chemtool

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * importer des fichiers aux formats .pdb et .mol |    => suggestions : ['']
19 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * importer des fichiers aux formats .pdb et .mol |  . => suggestions : ['. ', '.']
19 Mot inconnu : pdb =>   * importer des fichiers aux formats .pdb et .mol | pdb
19 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * importer des fichiers aux formats .pdb et .mol |  . => suggestions : ['. ', '.']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |    => suggestions : ['']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Une de ces ponctuations est superflue. =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | , . => suggestions : [',', '.']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Une de ces ponctuations est superflue. =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | , . => suggestions : [',', '.']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Mot inconnu : eps =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | eps
20 Une de ces ponctuations est superflue. =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | , . => suggestions : [',', '.']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Mot inconnu : xbm =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | xbm
20 Une de ces ponctuations est superflue. =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | , . => suggestions : [',', '.']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Mot inconnu : svg =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | svg
20 Une de ces ponctuations est superflue. =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | , . => suggestions : [',', '.']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Une de ces ponctuations est superflue. =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | , . => suggestions : [',', '.']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Mot inconnu : emf =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | emf
20 Une de ces ponctuations est superflue. =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | , . => suggestions : [',', '.']
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
