
6 Mot inconnu : Orthophile => ====== Orthophile ====== | orthophile

11 Mot inconnu : Orthophile => L'Orthophile est un programme de relecture de texte assistée par ordinateur. | orthophile

12 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Il s'adresse aux élèves de cycle 3 de l'école élémentaire, aux élèves de 6e de collège ainsi qu'à toutes celles et ceux qui n'ont pas entièrement acquis les bases de l'orthographe grammaticale. Il a pour objectif de les aider à améliorer l'orthographe de leurs productions écrites et à acquérir une méthodologie pour la relecture.  | 6e => suggestions : ['6ᵉ']
12 Espace(s) en fin de ligne à supprimer. => Il s'adresse aux élèves de cycle 3 de l'école élémentaire, aux élèves de 6e de collège ainsi qu'à toutes celles et ceux qui n'ont pas entièrement acquis les bases de l'orthographe grammaticale. Il a pour objectif de les aider à améliorer l'orthographe de leurs productions écrites et à acquérir une méthodologie pour la relecture.  |   => suggestions : ['']
14 Espace(s) surnuméraire(s) à supprimer. => Le programme comprend 2 modules : un module de vérification de l'orthographe lexicale (fonction correcteur orthographique classique) et un module de   vérification de l'orthographe grammaticale.  |     => suggestions : [' ']
14 Espace(s) en fin de ligne à supprimer. => Le programme comprend 2 modules : un module de vérification de l'orthographe lexicale (fonction correcteur orthographique classique) et un module de   vérification de l'orthographe grammaticale.  |   => suggestions : ['']

16 Mot inconnu : wine => C'est initialement un programme destiné à l'environnement Windows mais qui tourne très bien avec wine Linux. Il a été spécialement optimisé pour pouvoir tourner indifféremment sous Windows ou sous wine Linux. | wine
16 Mot inconnu : wine => C'est initialement un programme destiné à l'environnement Windows mais qui tourne très bien avec wine Linux. Il a été spécialement optimisé pour pouvoir tourner indifféremment sous Windows ou sous wine Linux. | wine
18 Mot inconnu : MSWLogo => Autre particularité du programme : il a été entièrement écrit en langage Logo (MSWLogo).  | mswlogo
18 Espace(s) en fin de ligne à supprimer. => Autre particularité du programme : il a été entièrement écrit en langage Logo (MSWLogo).  |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => == 1 - Installez wine. == |  -  => suggestions : [' – ', ' — ', ' − ']
23 Mot inconnu : wine => == 1 - Installez wine. == | wine

25 Mot inconnu : synaptic => Attention, lorsque vous ouvrez synaptic, wine est dans la liste des paquets disponibles pour dapper mais c'est une ancienne version (la 0.9.9). Si vous l'utilisez, vous aurez des problèmes d'affichage du texte dans L'Orthophile. Préférez-lui la version 0.9.33, plus récente, qui se trouve sur le site de wine.budgetdedicated.com : | synaptic
25 Mot inconnu : wine => Attention, lorsque vous ouvrez synaptic, wine est dans la liste des paquets disponibles pour dapper mais c'est une ancienne version (la 0.9.9). Si vous l'utilisez, vous aurez des problèmes d'affichage du texte dans L'Orthophile. Préférez-lui la version 0.9.33, plus récente, qui se trouve sur le site de wine.budgetdedicated.com : | wine
25 Mot inconnu : dapper => Attention, lorsque vous ouvrez synaptic, wine est dans la liste des paquets disponibles pour dapper mais c'est une ancienne version (la 0.9.9). Si vous l'utilisez, vous aurez des problèmes d'affichage du texte dans L'Orthophile. Préférez-lui la version 0.9.33, plus récente, qui se trouve sur le site de wine.budgetdedicated.com : | dapper
