
4 Mot inconnu : Clancy's => ====== Tom Clancy's Splinter Cell 2 : Pandora Tomorrow ====== | clancy's
4 Mot inconnu : Splinter => ====== Tom Clancy's Splinter Cell 2 : Pandora Tomorrow ====== | splinter
4 Mot inconnu : Cell => ====== Tom Clancy's Splinter Cell 2 : Pandora Tomorrow ====== | cell
4 Mot inconnu : Pandora => ====== Tom Clancy's Splinter Cell 2 : Pandora Tomorrow ====== | pandora
4 Mot inconnu : Tomorrow => ====== Tom Clancy's Splinter Cell 2 : Pandora Tomorrow ====== | tomorrow

6 Mot inconnu : Clancy's => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  | clancy's
6 Mot inconnu : Splinter => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  | splinter
6 Mot inconnu : Cell => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  | cell
6 Mot inconnu : Pandora => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  | pandora
6 Mot inconnu : Tomorrow => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  | tomorrow
6 Mot inconnu : FPS => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  | fps
6 Mot inconnu : Fisher => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  | fisher
6 Espace(s) en fin de ligne à supprimer. => **Tom Clancy's Splinter Cell 2 : Pandora Tomorrow** est un jeu de tir subjectif (FPS) sorti en 2004. Vous incarnez Sam Fisher, l'agent d'infiltration le plus secret de la NSA. Seul, partez en guerre contre un dangereux réseau terroriste indonésien.  |   => suggestions : ['']

8 Espace(s) en fin de ligne à supprimer. => Ce jeu n'est pas disponible nativement sous GNU/Linux. Cette page explique comment l'installer à l'aide de logiciels créant un environnement Windows sous Ubuntu.  |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé la dernière version de **[[PlayOnLinux]]**. |    => suggestions : ['']
13 Mot inconnu : PlayOnLinux =>   * Avoir installé la dernière version de **[[PlayOnLinux]]**. | playonlinux

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé la dernière version de **[[Wine]]**. |    => suggestions : ['']
14 Mot inconnu : Wine =>   * Avoir installé la dernière version de **[[Wine]]**. | wine

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir **12 ans minimum**. |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (le dvd est nécessaire après installation). A noter qu'il existe une version trois cd. |    => suggestions : ['']
16 Mot inconnu : dvd =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (le dvd est nécessaire après installation). A noter qu'il existe une version trois cd. | dvd
16 Mot inconnu : iso =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (le dvd est nécessaire après installation). A noter qu'il existe une version trois cd. | iso
16 Mot inconnu : dvd =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (le dvd est nécessaire après installation). A noter qu'il existe une version trois cd. | dvd
16 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (le dvd est nécessaire après installation). A noter qu'il existe une version trois cd. | a => suggestions : ['À']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le dernier [[http://www.clubic.com/patch-jeux-video-970-0-splinter-cell-pandora-tomorrow.html|patch]] de mise-à-jours du jeu. |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ou la version de démonstration en anglais disponible sur le net (chez [[http://www.clubic.com/demo-jeux-video-970-0-splinter-cell-pandora-tomorrow.html|clubic]] par exemple). |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pentium III 1GHz |    => suggestions : ['']
21 Mot inconnu : Pentium =>   * Pentium III 1GHz | pentium

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mémoire 256Mo |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 2 Go de libre sur le disque-dur |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * DirectX 8 |    => suggestions : ['']
24 Mot inconnu : DirectX =>   * DirectX 8 | directx

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Windows 98, ME, 2000 ou XP |    => suggestions : ['']
25 Mot inconnu : XP =>   * Windows 98, ME, 2000 ou XP | xp

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Carte graphique 128 Mo, ATI 8000 ou GeForce FX. |    => suggestions : ['']
26 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Carte graphique 128 Mo, ATI 8000 ou GeForce FX. | 128 mo => suggestions : ['128\xa0Mo']
26 Mot inconnu : ATI =>   * Carte graphique 128 Mo, ATI 8000 ou GeForce FX. | ati
26 Mot inconnu : GeForce =>   * Carte graphique 128 Mo, ATI 8000 ou GeForce FX. | geforce
26 Mot inconnu : FX =>   * Carte graphique 128 Mo, ATI 8000 ou GeForce FX. | fx

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ix86 2 GHz |    => suggestions : ['']
29 Mot inconnu : ix86 =>   * ix86 2 GHz | ix86
29 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * ix86 2 GHz | 2 ghz => suggestions : ['2\xa0GHz']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mémoire 2 Go |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Carte graphique 128 Mo 1024x768x32 |    => suggestions : ['']
31 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Carte graphique 128 Mo 1024x768x32 | 128 mo => suggestions : ['128\xa0Mo']
31 Signe de multiplication typographique. =>   * Carte graphique 128 Mo 1024x768x32 | 1024x768 => suggestions : ['1024\xa0×\xa0768']
