
3 Mot inconnu : Clevo => ====== Clevo W310CZ ====== | clevo
3 Mot inconnu : W310CZ => ====== Clevo W310CZ ====== | w310cz

8 Mot inconnu : Touchpad => ^  Version ^ Installation ^ Carte graphique ^ Wifi ^ Son ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis Touches Fn ^ Lecteur SD ^ | touchpad
8 Mot inconnu : Fn => ^  Version ^ Installation ^ Carte graphique ^ Wifi ^ Son ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis Touches Fn ^ Lecteur SD ^ | fn
8 Mot inconnu : SD => ^  Version ^ Installation ^ Carte graphique ^ Wifi ^ Son ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis Touches Fn ^ Lecteur SD ^ | sd

29 Erreur d’accord probable avec “les”. => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Bluetooth : | toute => suggestions : ['toutes']
29 Mot inconnu : Clevo => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Bluetooth : | clevo
29 Euphonie : “ce” devient “cet” devant un mot commençant par une voyelle. => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Bluetooth : | ce => suggestions : ['cet']
29 Mot inconnu : etre => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Bluetooth : | etre

30 Mot inconnu : Realtek => ==== Realtek RTL8723BE ==== | realtek
30 Mot inconnu : RTL8723BE => ==== Realtek RTL8723BE ==== | rtl8723be

35 Erreur d’accord probable avec “les”. => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Wifi : | toute => suggestions : ['toutes']
35 Mot inconnu : Clevo => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Wifi : | clevo
35 Euphonie : “ce” devient “cet” devant un mot commençant par une voyelle. => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Wifi : | ce => suggestions : ['cet']
35 Mot inconnu : etre => Comme toute les machines Clevo, ce ordinateur peut etre livrée avec différentes cartes Wifi : | etre

37 Mot inconnu : Realtek => ==== Realtek RTL8723BE ==== | realtek
37 Mot inconnu : RTL8723BE => ==== Realtek RTL8723BE ==== | rtl8723be
39 Espace(s) en fin de ligne à supprimer. => cette carte est identifiée comme :  |   => suggestions : ['']

43 Accord erroné : “carte” et “intégré” ne sont pas accordés. => Cette carte est intégré maintenant au kernel par défaut de trusty 14.04.1 et est donc reconnue et fonctionnelle en liveUSB. | intégré => suggestions : ['intégrée']
43 Mot inconnu : kernel => Cette carte est intégré maintenant au kernel par défaut de trusty 14.04.1 et est donc reconnue et fonctionnelle en liveUSB. | kernel
43 Mot inconnu : liveUSB => Cette carte est intégré maintenant au kernel par défaut de trusty 14.04.1 et est donc reconnue et fonctionnelle en liveUSB. | liveusb

45 Mot inconnu : Paramètrage => === Paramètrage du driver === | paramètrage

49 Mot inconnu : Fn => ===== Touches Fn pour Luminosité ===== | fn

53 Mot inconnu : GRUB_CMDLINE_LINUX_DEFAULT => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | grub_cmdline_linux_default
53 Guillemets typographiques ouvrants. => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | " => suggestions : ['\xa0»', '”']
53 Mot inconnu : GRUB_CMDLINE_LINUX_DEFAULT => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | grub_cmdline_linux_default
53 Guillemets typographiques ouvrants. => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : acpi_osi => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | acpi_osi
53 Mot inconnu : acpi_backlight => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | acpi_backlight
53 Mot inconnu : vendor => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | vendor
53 Guillemets typographiques fermants. => GRUB_CMDLINE_LINUX_DEFAULT="quiet splash" </file> par <file>GRUB_CMDLINE_LINUX_DEFAULT="quiet splash acpi_osi=Linux acpi_backlight=vendor"</file> | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrer l'ordinateur |    => suggestions : ['']

57 Mot inconnu : KDE => Ce réglage permet également d'éviter un problème potentiel lors de la sortie de veille sous KDE. | kde

61 Mot inconnu : Touchpad => ===== Sensibilité du Touchpad ===== | touchpad

63 Mot inconnu : Clevo => Certains portables Clevo W310cz sont équipés d'un touchpad Sentelic. | clevo
63 Mot inconnu : W310cz => Certains portables Clevo W310cz sont équipés d'un touchpad Sentelic. | w310cz
63 Mot inconnu : touchpad => Certains portables Clevo W310cz sont équipés d'un touchpad Sentelic. | touchpad
63 Mot inconnu : Sentelic => Certains portables Clevo W310cz sont équipés d'un touchpad Sentelic. | sentelic

64 Mot inconnu : synaptic => Le driver a été intégré au driver synaptic (!), il est donc possible de configurer certains paramètres comme le type de défilement, le multitouch, le tapotement, etc. via les outils graphiques intégrés à Ubuntu. | synaptic
64 Mot inconnu : multitouch => Le driver a été intégré au driver synaptic (!), il est donc possible de configurer certains paramètres comme le type de défilement, le multitouch, le tapotement, etc. via les outils graphiques intégrés à Ubuntu. | multitouch

66 Mot inconnu : gsynaptics => Néanmoins, la sensibilité et la vitesse de déplacement du curseur ne sont pas configurables via ces outils et ne sont pas mémorisés en cas de modification via gsynaptics (installé le cas échéant). | gsynaptics

67 Mot inconnu : touchpad => Or, la sensibilité de ce touchpad est [[https://bugzilla.kernel.org/show_bug.cgi?id=43197|bugguée en raison de l'interprétation multitouch]]. | touchpad
67 Mot inconnu : bugguée => Or, la sensibilité de ce touchpad est [[https://bugzilla.kernel.org/show_bug.cgi?id=43197|bugguée en raison de l'interprétation multitouch]]. | bugguée
67 Mot inconnu : multitouch => Or, la sensibilité de ce touchpad est [[https://bugzilla.kernel.org/show_bug.cgi?id=43197|bugguée en raison de l'interprétation multitouch]]. | multitouch

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour la sensibilité : |    => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour la vitesse de défilement du curseur : |    => suggestions : ['']

82 Accord de nombre erroné : « drivers » est au pluriel. => Bien que le drivers de cette carte a en principe été intégré (rtsx_pci) sur les versions récentes, il ne fonctionne pas chez moi. | le => suggestions : ['les']
82 Accord de nombre erroné : « drivers » devrait être au singulier. => Bien que le drivers de cette carte a en principe été intégré (rtsx_pci) sur les versions récentes, il ne fonctionne pas chez moi. | drivers => suggestions : ['driver']
82 Mot inconnu : rtsx_pci => Bien que le drivers de cette carte a en principe été intégré (rtsx_pci) sur les versions récentes, il ne fonctionne pas chez moi. | rtsx_pci

84 Il manque un espace avant la parenthèse. => Une méthode de contournement consiste à utiliser l'ancien module(rts_bpp), si vous êtes également concerné (ce qui ne semble pas être l'unanimité puisque la méthode que j'avais renseignée ici a été effacée) ; voir : | ( => suggestions : [' (']
84 Mot inconnu : rts_bpp => Une méthode de contournement consiste à utiliser l'ancien module(rts_bpp), si vous êtes également concerné (ce qui ne semble pas être l'unanimité puisque la méthode que j'avais renseignée ici a été effacée) ; voir : | rts_bpp
