
4 Mot inconnu : Getting => ====== Getting Things Gnome ====== | getting
4 Mot inconnu : Things => ====== Getting Things Gnome ====== | things

6 Mot inconnu : Getting => Getting things Gnome est un organisateur de tâches simple permettant de créer et d'éditer rapidement des tâches. | getting
6 Mot inconnu : things => Getting things Gnome est un organisateur de tâches simple permettant de créer et d'éditer rapidement des tâches. | things

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

24 Guillemets typographiques ouvrants. => <note tip>Quelques "fausses tâches" sont déjà pré-enregistrées afin d'aider tout nouvel utilisateur à prendre en main le logiciel.</note> | " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. => <note tip>Quelques "fausses tâches" sont déjà pré-enregistrées afin d'aider tout nouvel utilisateur à prendre en main le logiciel.</note> | " => suggestions : ['\xa0»', '”']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Quand vous écrivez une tâche, tout mot commençant par "@" sera considéré comme un tag (@tag_exemple) et sera surligné en jaune. Vous pouvez choisir d'afficher ou de cacher les tâches contenant un certain tag (par exemple : @A_faire_un_jour) ainsi que de changer la couleur servant à surligner pour ce tag précis afin d'améliorer votre lisibilité. |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour ajouter une sous-tâche ajouter simplement un tiret "-" en début de ligne. La tâche principale ne sera considérée comme accomplie qu'une fois toutes les sous-tâches marquées comme faites ou abandonnées. |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://wiki.gnome.org/Apps/GTG|Site officiel du logiciel]] |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Tomboy]] - Logiciel de prise de notes |    => suggestions : ['']
39 Mot inconnu : Tomboy =>   * [[Tomboy]] - Logiciel de prise de notes | tomboy
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * [[Tomboy]] - Logiciel de prise de notes |  -  => suggestions : [' – ', ' — ', ' − ']
