
3 Mot inconnu : Tiny => ====== Tiny and Big : Up That Mountain ====== | tiny
3 Mot inconnu : and => ====== Tiny and Big : Up That Mountain ====== | and
3 Mot inconnu : Up => ====== Tiny and Big : Up That Mountain ====== | up
3 Mot inconnu : That => ====== Tiny and Big : Up That Mountain ====== | that
3 Mot inconnu : Mountain => ====== Tiny and Big : Up That Mountain ====== | mountain

6 Mot inconnu : Tiny => **Tiny and Big : Up That Mountain** est un jeu d'arcade 3d complètement déjanté ou vous devrez partir en quête des caleçons de votre grand-père. | tiny
6 Mot inconnu : and => **Tiny and Big : Up That Mountain** est un jeu d'arcade 3d complètement déjanté ou vous devrez partir en quête des caleçons de votre grand-père. | and
6 Mot inconnu : Up => **Tiny and Big : Up That Mountain** est un jeu d'arcade 3d complètement déjanté ou vous devrez partir en quête des caleçons de votre grand-père. | up
6 Mot inconnu : That => **Tiny and Big : Up That Mountain** est un jeu d'arcade 3d complètement déjanté ou vous devrez partir en quête des caleçons de votre grand-père. | that
6 Mot inconnu : Mountain => **Tiny and Big : Up That Mountain** est un jeu d'arcade 3d complètement déjanté ou vous devrez partir en quête des caleçons de votre grand-père. | mountain

10 Espace(s) surnuméraire(s) à supprimer. => === Matériel requis  === |    => suggestions : [' ']

31 Forme interrogative ? Mettez un trait d’union. => Rendez vous sur le site officiel pour télécharger Tiny & Big donné en bas de cette page. | rendez vous => suggestions : ['Rendez-vous']
31 Mot inconnu : Tiny => Rendez vous sur le site officiel pour télécharger Tiny & Big donné en bas de cette page. | tiny

33 Mot inconnu : play => ==== Installation avec ./play.it ==== | play
33 Mot inconnu : it => ==== Installation avec ./play.it ==== | it

51 Mot inconnu : FIXME => FIXME | fixme

55 Mot inconnu : FIXME => FIXME | fixme

57 Mot inconnu : play => ==== Désinstallation dans le cas d’une installation via ./play.it ==== | play
57 Mot inconnu : it => ==== Désinstallation dans le cas d’une installation via ./play.it ==== | it

59 Mot inconnu : play => Si vous avez installé le jeu via des paquets [[#installation_avecplayit|générés par ./play.it]], vous pouvez le désinstaller comme vous le feriez pour un jeu installé depuis les dépôts Ubuntu. Par exemple via la commande suivante : | play
59 Mot inconnu : it => Si vous avez installé le jeu via des paquets [[#installation_avecplayit|générés par ./play.it]], vous pouvez le désinstaller comme vous le feriez pour un jeu installé depuis les dépôts Ubuntu. Par exemple via la commande suivante : | it
