
4 Mot inconnu : The [[7:10]] => ====== The Elders Scrolls II : Daggerfall ====== <|> the
4 Mot inconnu : Elders [[11:17]] => ====== The Elders Scrolls II : Daggerfall ====== <|> elders
4 Mot inconnu : Scrolls [[18:25]] => ====== The Elders Scrolls II : Daggerfall ====== <|> scrolls
4 Mot inconnu : Daggerfall [[31:41]] => ====== The Elders Scrolls II : Daggerfall ====== <|> daggerfall

8 Mot inconnu : Daggerfall [[0:10]] => Daggerfall est le **deuxième opus de la série des Elders Scrolls** développé par //Bethesda Softworks//. <|> daggerfall
8 Mot inconnu : Elders [[50:56]] => Daggerfall est le **deuxième opus de la série des Elders Scrolls** développé par //Bethesda Softworks//. <|> elders
8 Mot inconnu : Scrolls [[57:64]] => Daggerfall est le **deuxième opus de la série des Elders Scrolls** développé par //Bethesda Softworks//. <|> scrolls
8 Mot inconnu : Bethesda [[83:91]] => Daggerfall est le **deuxième opus de la série des Elders Scrolls** développé par //Bethesda Softworks//. <|> bethesda
8 Mot inconnu : Softworks [[92:101]] => Daggerfall est le **deuxième opus de la série des Elders Scrolls** développé par //Bethesda Softworks//. <|> softworks

9 Mot inconnu : Arena [[50:55]] => Lors de sa sortie en **1996**, il succède alors à Arena et suscite un intérêt grandissant à l'échelle planétaire. <|> arena

11 Pas d’espace après ce signe. [[140:142]] => Ce jeu de rôle en vue subjective a ainsi marqué les esprits par sa grande **liberté d'action** laissé au joueur, et son **univers immense** ( presque deux fois la Grande-Bretagne ). <|> (  => suggestions : (
11 Pas d’espace avant ce signe. [[178:180]] => Ce jeu de rôle en vue subjective a ainsi marqué les esprits par sa grande **liberté d'action** laissé au joueur, et son **univers immense** ( presque deux fois la Grande-Bretagne ). <|>  ) => suggestions : )

13 Mot inconnu : malgrès [[12:19]] => Aujourd'hui malgrès une qualité graphique révolue, il reste considéré par certains joueurs comme la référence en matière de Jeu de Rôle sur PC, et il conserve le record de l'univers le plus vaste jamais conçu pour un jeu vidéo. <|> malgrès
18 Mot inconnu : Mhz [[12:15]] => Pentium 100 Mhz, 16 Mo de RAM <|> mhz

40 Mot inconnu : Daggerfall [[39:49]] => Disposer d'un CD-ROM d'installation de Daggerfall. <|> daggerfall

53 Mot inconnu : dfsetup [[46:53]] => Ensuite, décompressez le contenu de l'archive dfsetup.sh dans le répertoire où ont été téléchargées les archives dagger.zip et arch3d.zip <|> dfsetup
53 Mot inconnu : sh [[54:56]] => Ensuite, décompressez le contenu de l'archive dfsetup.sh dans le répertoire où ont été téléchargées les archives dagger.zip et arch3d.zip <|> sh
53 Mot inconnu : dagger [[113:119]] => Ensuite, décompressez le contenu de l'archive dfsetup.sh dans le répertoire où ont été téléchargées les archives dagger.zip et arch3d.zip <|> dagger
53 Il manque un espace. [[120:123]] => Ensuite, décompressez le contenu de l'archive dfsetup.sh dans le répertoire où ont été téléchargées les archives dagger.zip et arch3d.zip <|> zip => suggestions :  zip
53 Mot inconnu : arch3d [[127:133]] => Ensuite, décompressez le contenu de l'archive dfsetup.sh dans le répertoire où ont été téléchargées les archives dagger.zip et arch3d.zip <|> arch3d
53 Il manque un espace. [[134:137]] => Ensuite, décompressez le contenu de l'archive dfsetup.sh dans le répertoire où ont été téléchargées les archives dagger.zip et arch3d.zip <|> zip => suggestions :  zip

55 Mot inconnu : Daggerfall [[30:40]] => Insérez alors votre CD-ROM de Daggerfall dans le lecteur. <|> daggerfall

57 Mot inconnu : DFsetup [[25:32]] => Puis, lancez le script **DFsetup.sh** à l'aide d'un terminal. <|> dfsetup
57 Mot inconnu : sh [[33:35]] => Puis, lancez le script **DFsetup.sh** à l'aide d'un terminal. <|> sh
59 Mot inconnu : DFsetup [[10:17]] => 	chmod +x DFsetup.sh <|> dfsetup
59 Mot inconnu : sh [[18:20]] => 	chmod +x DFsetup.sh <|> sh

60 Mot inconnu : DFsetup [[3:10]] => 	./DFsetup.sh -d /là/où/vous/voulez/installer/daggerfall <|> dfsetup
60 Mot inconnu : sh [[11:13]] => 	./DFsetup.sh -d /là/où/vous/voulez/installer/daggerfall <|> sh
60 Mot inconnu : daggerfall [[46:56]] => 	./DFsetup.sh -d /là/où/vous/voulez/installer/daggerfall <|> daggerfall

65 Mot inconnu : Daggerfall [[93:103]] => Pour obtenir plus d'informations sur la manière de bien utiliser le script d'installation de Daggerfall pour Linux, taper dans un terminal : <|> daggerfall

66 Mot inconnu : DFsetup [[3:10]] => 	./DFsetup.sh --help <|> dfsetup
66 Mot inconnu : sh [[11:13]] => 	./DFsetup.sh --help <|> sh
66 Mot inconnu : help [[16:20]] => 	./DFsetup.sh --help <|> help
69 Guillemets typographiques ouvrants. [[74:75]] => Si tout ce passe bien vous devriez voir apparaître le message suivant : //"L'installation s'est déroulée avec succès !"//. <|> " => suggestions : « “
69 Guillemets typographiques fermants. [[118:119]] => Si tout ce passe bien vous devriez voir apparaître le message suivant : //"L'installation s'est déroulée avec succès !"//. <|> " => suggestions :  »”
71 Typographie : points de suspension. Utilisez le caractère dédié. [[156:159]] => Voilà c'est terminé ! Il ne vous reste plus qu'à installer le **//patch 2.13//** à l'aide d'un émulateur DOS pour pouvoir apprécier le jeu à sa juste valeur... <|> ... => suggestions : …

78 Mot inconnu : DFsetup [[10:17]] => Le script DFsetup.sh a besoin des deux archives Zip pour fonctionner, c'est pourquoi elles doivent se trouver dans le même répertoire que le script ! <|> dfsetup
78 Mot inconnu : sh [[18:20]] => Le script DFsetup.sh a besoin des deux archives Zip pour fonctionner, c'est pourquoi elles doivent se trouver dans le même répertoire que le script ! <|> sh

86 Forme interrogative ? Mettez un trait d’union. [[0:13]] => Inspirez vous de ce qui suit pour créer votre lanceur personnalisé... <|> inspirez vous => suggestions : Inspirez-vous
86 Typographie : points de suspension. Utilisez le caractère dédié. [[66:69]] => Inspirez vous de ce qui suit pour créer votre lanceur personnalisé... <|> ... => suggestions : …

87 Mot inconnu : DOSBox [[30:36]] => Celui-ci a été réalisé pour **DOSBox** et le synthétiseur MIDI **timidity**. <|> dosbox
87 Mot inconnu : timidity [[65:73]] => Celui-ci a été réalisé pour **DOSBox** et le synthétiseur MIDI **timidity**. <|> timidity

90 Mot inconnu : daggerfall [[8:18]] => === (1) daggerfall === <|> daggerfall

