
5 Mot inconnu : One => =======Acer Aspire One======= | one

9 Pas de majuscule sur les mois. => Lancé par Acer en Juin 2008, cet ultra-portable bon marché et concurrent du Eee PC d'Asus fonctionne assez bien avec les versions d'Ubuntu. Depuis, plusieurs modèles se sont ajoutés pour former la gamme Aspire One. | juin => suggestions : ['juin']
9 Mot inconnu : Eee => Lancé par Acer en Juin 2008, cet ultra-portable bon marché et concurrent du Eee PC d'Asus fonctionne assez bien avec les versions d'Ubuntu. Depuis, plusieurs modèles se sont ajoutés pour former la gamme Aspire One. | eee
9 Mot inconnu : One => Lancé par Acer en Juin 2008, cet ultra-portable bon marché et concurrent du Eee PC d'Asus fonctionne assez bien avec les versions d'Ubuntu. Depuis, plusieurs modèles se sont ajoutés pour former la gamme Aspire One. | one

11 Mot inconnu : One => Il faut remarquer qu'avec l'Aspire One 150, la compilation de acerhdf échoue sous Lucid, alors qu'elle fonctionne correctement sous Karmic. Le ventilateur reste donc bloqué à plein régime. | one
11 Élision de l’article devant un mot commençant par une voyelle. => Il faut remarquer qu'avec l'Aspire One 150, la compilation de acerhdf échoue sous Lucid, alors qu'elle fonctionne correctement sous Karmic. Le ventilateur reste donc bloqué à plein régime. | de  => suggestions : ['d’']
11 Mot inconnu : acerhdf => Il faut remarquer qu'avec l'Aspire One 150, la compilation de acerhdf échoue sous Lucid, alors qu'elle fonctionne correctement sous Karmic. Le ventilateur reste donc bloqué à plein régime. | acerhdf
11 Mot inconnu : Lucid => Il faut remarquer qu'avec l'Aspire One 150, la compilation de acerhdf échoue sous Lucid, alors qu'elle fonctionne correctement sous Karmic. Le ventilateur reste donc bloqué à plein régime. | lucid
11 Mot inconnu : Karmic => Il faut remarquer qu'avec l'Aspire One 150, la compilation de acerhdf échoue sous Lucid, alors qu'elle fonctionne correctement sous Karmic. Le ventilateur reste donc bloqué à plein régime. | karmic

13 Mot inconnu : Netbook => Ubuntu Netbook Edition 10.10 perd à peu près 25% d'autonomie par rapport à la version 9.10, une mise à jour n'est donc pas à conseiller aux personnes nécessitant une longue autonomie. | netbook
13 Mot inconnu : Edition => Ubuntu Netbook Edition 10.10 perd à peu près 25% d'autonomie par rapport à la version 9.10, une mise à jour n'est donc pas à conseiller aux personnes nécessitant une longue autonomie. | edition

15 Mot inconnu : One => <note important>Comme indiqué ci-dessus, de nombreux modèles ont vues le jour dans la gamme des Aspire One au fil des années. Cette page est donc devenu « four-tout » ou il est difficile de retrouver des informations exactes pour votre modèle. Cependant il existe [[liste_portables_acer?do=#aspire_one|un tableau recensent les ordinateurs de la gamme]] testées avec Ubuntu.</note> | one
15 Accord erroné : “page” et “devenu” ne sont pas accordés. => <note important>Comme indiqué ci-dessus, de nombreux modèles ont vues le jour dans la gamme des Aspire One au fil des années. Cette page est donc devenu « four-tout » ou il est difficile de retrouver des informations exactes pour votre modèle. Cependant il existe [[liste_portables_acer?do=#aspire_one|un tableau recensent les ordinateurs de la gamme]] testées avec Ubuntu.</note> | devenu => suggestions : ['devenue']
15 Mot inconnu : liste_portables_acer => <note important>Comme indiqué ci-dessus, de nombreux modèles ont vues le jour dans la gamme des Aspire One au fil des années. Cette page est donc devenu « four-tout » ou il est difficile de retrouver des informations exactes pour votre modèle. Cependant il existe [[liste_portables_acer?do=#aspire_one|un tableau recensent les ordinateurs de la gamme]] testées avec Ubuntu.</note> | liste_portables_acer
15 Il manque un espace. => <note important>Comme indiqué ci-dessus, de nombreux modèles ont vues le jour dans la gamme des Aspire One au fil des années. Cette page est donc devenu « four-tout » ou il est difficile de retrouver des informations exactes pour votre modèle. Cependant il existe [[liste_portables_acer?do=#aspire_one|un tableau recensent les ordinateurs de la gamme]] testées avec Ubuntu.</note> | do => suggestions : [' do']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) |    => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) |  -  => suggestions : [' – ', ' — ', ' − ']
21 Mot inconnu : Atom =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) | atom
21 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) | 1,6 ghz => suggestions : ['1,6\xa0Ghz']
21 Mot inconnu : Ghz =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) | ghz
21 Espace(s) surnuméraire(s) à supprimer. =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) |    => suggestions : [' ']
21 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) | 512 mio => suggestions : ['512\xa0Mio']
21 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) | 8 gio => suggestions : ['8\xa0Gio']
21 Mot inconnu : A110 =>   - Processeur Intel Atom de 1,6 Ghz,  512 Mio de RAM et d'un disque SSD de 8 Gio (A110) | a110

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) |    => suggestions : ['']
