6 Mot inconnu : RipperX => ====== Extracteur de CD audio: RipperX ====== | ripperx

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Insérer un CD audio dans votre lecteur de CD; |    => suggestions : ['']
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Insérer un CD audio dans votre lecteur de CD; |  -  => suggestions : [' – ', ' — ', ' − ']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer **RipperX**; |    => suggestions : ['']
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer **RipperX**; |  -  => suggestions : [' – ', ' — ', ' − ']
28 Mot inconnu : RipperX =>   - Lancer **RipperX**; | ripperx

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquer sur Scan si votre disque n'est pas lu ; |    => suggestions : ['']
29 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquer sur Scan si votre disque n'est pas lu ; |  -  => suggestions : [' – ', ' — ', ' − ']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si vous êtes connecté à internet, cliquer sur%% CDDB %%pour récupérer les informations du CD ; |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si vous êtes connecté à internet, cliquer sur%% CDDB %%pour récupérer les informations du CD ; |  -  => suggestions : [' – ', ' — ', ' − ']
30 Mot inconnu : CDDB =>   - Si vous êtes connecté à internet, cliquer sur%% CDDB %%pour récupérer les informations du CD ; | cddb
30 Il manque un espace. =>   - Si vous êtes connecté à internet, cliquer sur%% CDDB %%pour récupérer les informations du CD ; | pour => suggestions : [' pour']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer l'extraction en cliquant sur "Go!!!"; |    => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer l'extraction en cliquant sur "Go!!!"; |  -  => suggestions : [' – ', ' — ', ' − ']
32 Guillemets typographiques ouvrants. =>   - Lancer l'extraction en cliquant sur "Go!!!"; | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. =>   - Lancer l'extraction en cliquant sur "Go!!!"; | " => suggestions : ['\xa0»', '”']

37 Guillemets typographiques ouvrants. => En cliquant sur "Config", vous pouvez choisir entre-autre,  | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => En cliquant sur "Config", vous pouvez choisir entre-autre,  | " => suggestions : ['\xa0»', '”']
37 Espace(s) en fin de ligne à supprimer. => En cliquant sur "Config", vous pouvez choisir entre-autre,  |   => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le dossier de destination (dossier personnel par défaut); |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Onglet "Wav": le format de sortie sans compression; |    => suggestions : ['']
39 Guillemets typographiques ouvrants. =>   * Onglet "Wav": le format de sortie sans compression; | " => suggestions : ['«\xa0', '“']
39 Guillemets typographiques fermants. =>   * Onglet "Wav": le format de sortie sans compression; | " => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * À noter, l'onglet "Mp3" propose aussi les autres formats d'encodage. |      => suggestions : ['']
41 Guillemets typographiques ouvrants. =>     * À noter, l'onglet "Mp3" propose aussi les autres formats d'encodage. | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>     * À noter, l'onglet "Mp3" propose aussi les autres formats d'encodage. | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La qualité d'encodage. |      => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)**[[https://sourceforge.net/projects/ripperx/|Site officiel du projet]] |    => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Ripper un CD]] |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[ :Asunder]] |    => suggestions : ['']
