
5 Mot inconnu : OpenSim => ====== OpenSim ====== | opensim

9 Mot inconnu : OpenSim => **OpenSim** est un logiciel serveur de monde virtuel en licence BSD. Il permet de se connecter au monde virtuel avec le client SL standard qui est en OpenSource. Ces « régions virtuelles » sont raccordées à des grilles alternatives ou sont indépendantes de toute grille. | opensim
9 Mot inconnu : SL => **OpenSim** est un logiciel serveur de monde virtuel en licence BSD. Il permet de se connecter au monde virtuel avec le client SL standard qui est en OpenSource. Ces « régions virtuelles » sont raccordées à des grilles alternatives ou sont indépendantes de toute grille. | sl
9 Mot inconnu : OpenSource => **OpenSim** est un logiciel serveur de monde virtuel en licence BSD. Il permet de se connecter au monde virtuel avec le client SL standard qui est en OpenSource. Ces « régions virtuelles » sont raccordées à des grilles alternatives ou sont indépendantes de toute grille. | opensource

13 Mot inconnu : OpenSim => Vous allez pouvoir lancer OpenSim le plus simplement possible. Actuellement la version d'Opensim permet de configurer plusieurs régions, mais elle ne permet pas encore d'éditer les avatars, snif. | opensim
13 Mot inconnu : Opensim => Vous allez pouvoir lancer OpenSim le plus simplement possible. Actuellement la version d'Opensim permet de configurer plusieurs régions, mais elle ne permet pas encore d'éditer les avatars, snif. | opensim

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - le mode standalone (développée ci-dessous) : il vous permettra d'installer une sim avec plusieurs régions sur votre propre pc. Vous pourrez également connecter votre sim à un réseau. |       => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - le mode standalone (développée ci-dessous) : il vous permettra d'installer une sim avec plusieurs régions sur votre propre pc. Vous pourrez également connecter votre sim à un réseau. |  -  => suggestions : [' – ', ' — ', ' − ']
15 Mot inconnu : standalone =>      - le mode standalone (développée ci-dessous) : il vous permettra d'installer une sim avec plusieurs régions sur votre propre pc. Vous pourrez également connecter votre sim à un réseau. | standalone
15 Mot inconnu : sim =>      - le mode standalone (développée ci-dessous) : il vous permettra d'installer une sim avec plusieurs régions sur votre propre pc. Vous pourrez également connecter votre sim à un réseau. | sim
15 Mot inconnu : sim =>      - le mode standalone (développée ci-dessous) : il vous permettra d'installer une sim avec plusieurs régions sur votre propre pc. Vous pourrez également connecter votre sim à un réseau. | sim

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - le mode grid : pour faire fonctionner votre propre grille.  |       => suggestions : ['']
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - le mode grid : pour faire fonctionner votre propre grille.  |  -  => suggestions : [' – ', ' — ', ' − ']
16 Mot inconnu : grid =>      - le mode grid : pour faire fonctionner votre propre grille.  | grid
16 Espace(s) en fin de ligne à supprimer. =>      - le mode grid : pour faire fonctionner votre propre grille.  |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - le mode hypergrid : permet de passer d'une grille à une autre ou d'une région stadalone à une grille ou une autre région standalone.  |       => suggestions : ['']
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - le mode hypergrid : permet de passer d'une grille à une autre ou d'une région stadalone à une grille ou une autre région standalone.  |  -  => suggestions : [' – ', ' — ', ' − ']
17 Mot inconnu : hypergrid =>      - le mode hypergrid : permet de passer d'une grille à une autre ou d'une région stadalone à une grille ou une autre région standalone.  | hypergrid
17 Mot inconnu : stadalone =>      - le mode hypergrid : permet de passer d'une grille à une autre ou d'une région stadalone à une grille ou une autre région standalone.  | stadalone
17 Mot inconnu : standalone =>      - le mode hypergrid : permet de passer d'une grille à une autre ou d'une région stadalone à une grille ou une autre région standalone.  | standalone
17 Espace(s) en fin de ligne à supprimer. =>      - le mode hypergrid : permet de passer d'une grille à une autre ou d'une région stadalone à une grille ou une autre région standalone.  |   => suggestions : ['']

26 Mot inconnu : hardy => Depuis hardy (au moins) installez ces paquets : | hardy

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo apt-get install subversion nant mono-gmcs libmono-microsoft8.0-cil \ |     => suggestions : ['']
28 Mot inconnu : sudo =>    sudo apt-get install subversion nant mono-gmcs libmono-microsoft8.0-cil \ | sudo
28 Mot inconnu : apt-get =>    sudo apt-get install subversion nant mono-gmcs libmono-microsoft8.0-cil \ | apt-get
28 Mot inconnu : install =>    sudo apt-get install subversion nant mono-gmcs libmono-microsoft8.0-cil \ | install
28 Mot inconnu : nant =>    sudo apt-get install subversion nant mono-gmcs libmono-microsoft8.0-cil \ | nant
28 Mot inconnu : mono-gmcs =>    sudo apt-get install subversion nant mono-gmcs libmono-microsoft8.0-cil \ | mono-gmcs
28 Mot inconnu : libmono-microsoft8 =>    sudo apt-get install subversion nant mono-gmcs libmono-microsoft8.0-cil \ | libmono-microsoft8

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      libmono-system-runtime2.0-cil libgdiplus libmono-i18n2.0-cil libmono-oracle2.0-cil ruby |       => suggestions : ['']
29 Mot inconnu : libmono-system-runtime2 =>      libmono-system-runtime2.0-cil libgdiplus libmono-i18n2.0-cil libmono-oracle2.0-cil ruby | libmono-system-runtime2
29 Mot inconnu : libgdiplus =>      libmono-system-runtime2.0-cil libgdiplus libmono-i18n2.0-cil libmono-oracle2.0-cil ruby | libgdiplus
29 Mot inconnu : libmono-i18n2 =>      libmono-system-runtime2.0-cil libgdiplus libmono-i18n2.0-cil libmono-oracle2.0-cil ruby | libmono-i18n2
29 Mot inconnu : libmono-oracle2 =>      libmono-system-runtime2.0-cil libgdiplus libmono-i18n2.0-cil libmono-oracle2.0-cil ruby | libmono-oracle2
29 Mot inconnu : ruby =>      libmono-system-runtime2.0-cil libgdiplus libmono-i18n2.0-cil libmono-oracle2.0-cil ruby | ruby

31 Mot inconnu : Opensim => <note important>Depuis la version Opensim 0.6.5 vous aurez peut être besoin d'utiliser la version 2.4 de [[mono]], mais actuellement vous devez la compiler. Voici un lien qui vous y aidera. | opensim
31 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. => <note important>Depuis la version Opensim 0.6.5 vous aurez peut être besoin d'utiliser la version 2.4 de [[mono]], mais actuellement vous devez la compiler. Voici un lien qui vous y aidera. | peut être => suggestions : ['peut-être']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

43 Mot inconnu : standalone => ====Mode standalone pour faire connaissance avec l'opensim: ==== | standalone
43 Mot inconnu : opensim => ====Mode standalone pour faire connaissance avec l'opensim: ==== | opensim

46 Confusion probable. Exemples : ce bâtiment, se perdre. => Tout ce qui suit ce passe via le terminal qui ce trouve dans //Applications → Accessoires → Terminal//. | ce => suggestions : ['se']

52 Mot inconnu : with => 0.6.5 Alpha with post-release fixes (préféré)   | with
52 Mot inconnu : post-release => 0.6.5 Alpha with post-release fixes (préféré)   | post-release
52 Espace(s) en fin de ligne à supprimer. => 0.6.5 Alpha with post-release fixes (préféré)   |    => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   svn co http://opensimulator.org/svn/opensim/branches/0.6.5-post-fixes opensim |    => suggestions : ['']
55 Mot inconnu : svn =>   svn co http://opensimulator.org/svn/opensim/branches/0.6.5-post-fixes opensim | svn
55 Mot inconnu : co =>   svn co http://opensimulator.org/svn/opensim/branches/0.6.5-post-fixes opensim | co
55 Mot inconnu : opensim =>   svn co http://opensimulator.org/svn/opensim/branches/0.6.5-post-fixes opensim | opensim

58 Mot inconnu : release => 0.6.5 Alpha release tag | release

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   svn co http://opensimulator.org/svn/opensim/tags/0.6.5-release opensim |    => suggestions : ['']
60 Mot inconnu : svn =>   svn co http://opensimulator.org/svn/opensim/tags/0.6.5-release opensim | svn
60 Mot inconnu : co =>   svn co http://opensimulator.org/svn/opensim/tags/0.6.5-release opensim | co
60 Mot inconnu : opensim =>   svn co http://opensimulator.org/svn/opensim/tags/0.6.5-release opensim | opensim

66 Erreur d’accord probable avec « les fichiers ». => Une fois que tout les fichiers sont téléchargés, ce qui peut prendre un certain temps vu la quantité, entrez dans le dossier tout juste téléchargé : | tout => suggestions : ['tous']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    cd opensim |     => suggestions : ['']
69 Mot inconnu : opensim =>    cd opensim | opensim

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./runprebuild.sh |    => suggestions : ['']
73 Mot inconnu : runprebuild =>   ./runprebuild.sh | runprebuild
73 Mot inconnu : sh =>   ./runprebuild.sh | sh

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   nant |    => suggestions : ['']
77 Mot inconnu : nant =>   nant | nant

79 Mot inconnu : OpenSim => Ensuite vous devez créer un fichier OpenSim.ini dans le dossier bin. Pour cela, copiez simplement le fichier OpenSim.ini.example du même dossier. | opensim
79 Mot inconnu : ini => Ensuite vous devez créer un fichier OpenSim.ini dans le dossier bin. Pour cela, copiez simplement le fichier OpenSim.ini.example du même dossier. | ini
79 Mot inconnu : bin => Ensuite vous devez créer un fichier OpenSim.ini dans le dossier bin. Pour cela, copiez simplement le fichier OpenSim.ini.example du même dossier. | bin

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd bin |    => suggestions : ['']
83 Mot inconnu : bin =>   cd bin | bin

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp OpenSim.ini.example  OpenSim.ini |    => suggestions : ['']
84 Mot inconnu : cp =>   cp OpenSim.ini.example  OpenSim.ini | cp
84 Espace(s) surnuméraire(s) à supprimer. =>   cp OpenSim.ini.example  OpenSim.ini |    => suggestions : [' ']
84 Mot inconnu : OpenSim =>   cp OpenSim.ini.example  OpenSim.ini | opensim
84 Mot inconnu : ini =>   cp OpenSim.ini.example  OpenSim.ini | ini

87 Mot inconnu : OpenSim => OpenSim est maintenant installé en version Standalone et fonctionnel. | opensim
87 Mot inconnu : Standalone => OpenSim est maintenant installé en version Standalone et fonctionnel. | standalone

91 Mot inconnu : OpenSim => Voilà, on va maintenant lancer ce OpenSim tout fraîchement installé. | opensim

93 Confusion : « fais » est un verbe. Exemples : ce bâtiment, se perdre. => Tout ce fais via le terminal. On commence par entrer dans le dossier ou se trouve le fichier qu'on va exécuter. | ce => suggestions : ['se']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd opensim/bin |    => suggestions : ['']
95 Mot inconnu : opensim =>   cd opensim/bin | opensim

