
5 Mot inconnu : SuperTuxKart [[7:19]] => ====== SuperTuxKart ====== <|> supertuxkart

7 Mot inconnu : SuperTux [[2:10]] => **SuperTux Kart** est un jeu de course de Kart avec Tux et ses compagnons du Libre, principalement amusant et simple à jouer. <|> supertux

8 Mot inconnu : MarioKart [[10:19]] => (clone de MarioKart, mais qui petit à petit, semble s'éloigner du jeu original, pour un résultat des plus intéressant et surprenant...)\\ <|> mariokart
8 Typographie : points de suspension. Utilisez le caractère dédié. [[131:134]] => (clone de MarioKart, mais qui petit à petit, semble s'éloigner du jeu original, pour un résultat des plus intéressant et surprenant...)\\ <|> ... => suggestions : None

11 Mot inconnu : V1 [[37:39]] => Les dernières versions (actuellement V1.2) ont apporté d'importantes améliorations dans le gameplay et les graphismes: meilleure gestion de la physique, utilisation de la nitro et des dérapages. Les sons ont été améliorés, de meilleures musiques sont là, et beaucoup de nouvelles courses et de karts.  <|> v1
11 Mot inconnu : nitro [[171:176]] => Les dernières versions (actuellement V1.2) ont apporté d'importantes améliorations dans le gameplay et les graphismes: meilleure gestion de la physique, utilisation de la nitro et des dérapages. Les sons ont été améliorés, de meilleures musiques sont là, et beaucoup de nouvelles courses et de karts.  <|> nitro
11 Espace(s) en fin de ligne à supprimer. [[300:301]] => Les dernières versions (actuellement V1.2) ont apporté d'importantes améliorations dans le gameplay et les graphismes: meilleure gestion de la physique, utilisation de la nitro et des dérapages. Les sons ont été améliorés, de meilleures musiques sont là, et beaucoup de nouvelles courses et de karts.  <|>   => suggestions : None
12 Espace(s) surnuméraire(s) à supprimer. [[35:37]] =>   * Il y a aussi des **modes de jeu  : Aventure / Multi Joueur (Lan et Internet)/ Ecran Partagé** et des nouveaux items à utiliser. <|>    => suggestions : None
12 Mot inconnu : Lan [[64:67]] =>   * Il y a aussi des **modes de jeu  : Aventure / Multi Joueur (Lan et Internet)/ Ecran Partagé** et des nouveaux items à utiliser. <|> lan
12 Mot inconnu : Ecran [[82:87]] =>   * Il y a aussi des **modes de jeu  : Aventure / Multi Joueur (Lan et Internet)/ Ecran Partagé** et des nouveaux items à utiliser. <|> ecran
13 Pas d’espace après ce signe. [[59:61]] =>   *Vous accédez également à des **affrontements en ligne** ( mêlée générale / football / course /capture de drapeau et contre la montre). <|> (  => suggestions : None
14 Il manque un espace. [[62:69]] =>   * Le jeu dispose également de **nombreuses extensions (kart,circuit...)** //fournis majoritairement librement par la communauté du jeu.// <|> circuit => suggestions : None
14 Typographie : points de suspension. Utilisez le caractère dédié. [[69:72]] =>   * Le jeu dispose également de **nombreuses extensions (kart,circuit...)** //fournis majoritairement librement par la communauté du jeu.// <|> ... => suggestions : None
23 Pléonasme. [[85:102]] => La dernière version est accessible via le paquet snap. Elle offre des améliorations, comme par exemple la mise en place d'un serveur. <|> comme par exemple => suggestions : None

42 Mot inconnu : STK [[36:39]] => <note tip>Les versions actuelles de STK (depuis la 0.7) permettent de télécharger les suppléments directement depuis le menu principal</note> <|> stk

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  === Méthode graphique === <|>   => suggestions : None
75 Guillemets typographiques ouvrants. [[109:110]] => Pour le **mode Solo**, vous pouvez courir en mode « Grand Prix », « Course Rapide », « Contre-la-montre » ou "Suis le meneur". <|> " => suggestions : None
75 Guillemets typographiques fermants. [[124:125]] => Pour le **mode Solo**, vous pouvez courir en mode « Grand Prix », « Course Rapide », « Contre-la-montre » ou "Suis le meneur". <|> " => suggestions : None
77 Accord de nombre erroné avec « les modes » : « Grand » devrait être au pluriel. [[92:97]] => Pour le **mode Multi-joueurs** (avec un écran divisé), vous avez le choix entre les modes « Grand Prix », « Course Rapide », "Combat" et "Suis le meneur".  <|> grand => suggestions : None
77 Guillemets typographiques ouvrants. [[125:126]] => Pour le **mode Multi-joueurs** (avec un écran divisé), vous avez le choix entre les modes « Grand Prix », « Course Rapide », "Combat" et "Suis le meneur".  <|> " => suggestions : None
77 Guillemets typographiques fermants. [[132:133]] => Pour le **mode Multi-joueurs** (avec un écran divisé), vous avez le choix entre les modes « Grand Prix », « Course Rapide », "Combat" et "Suis le meneur".  <|> " => suggestions : None
77 Guillemets typographiques ouvrants. [[137:138]] => Pour le **mode Multi-joueurs** (avec un écran divisé), vous avez le choix entre les modes « Grand Prix », « Course Rapide », "Combat" et "Suis le meneur".  <|> " => suggestions : None
77 Guillemets typographiques fermants. [[152:153]] => Pour le **mode Multi-joueurs** (avec un écran divisé), vous avez le choix entre les modes « Grand Prix », « Course Rapide », "Combat" et "Suis le meneur".  <|> " => suggestions : None
77 Espace(s) en fin de ligne à supprimer. [[154:155]] => Pour le **mode Multi-joueurs** (avec un écran divisé), vous avez le choix entre les modes « Grand Prix », « Course Rapide », "Combat" et "Suis le meneur".  <|>   => suggestions : None

79 Mot inconnu : V0 [[33:35]] => Pour le **mode Histoire**(Depuis V0.8) : une carte recense l'ensemble des épreuves disponibles avec à la clé des coupes en bronze, argent ou or. <|> v0

81 Mot inconnu : Lan [[19:22]] => Pour le **mode jeu Lan** (depuis V0.8): avec différentes formes d'affrontements Courses / Palet / Drapeau... <|> lan
81 Mot inconnu : V0 [[33:35]] => Pour le **mode jeu Lan** (depuis V0.8): avec différentes formes d'affrontements Courses / Palet / Drapeau... <|> v0
81 Typographie : points de suspension. Utilisez le caractère dédié. [[105:108]] => Pour le **mode jeu Lan** (depuis V0.8): avec différentes formes d'affrontements Courses / Palet / Drapeau... <|> ... => suggestions : None

83 Mot inconnu : V0 [[38:40]] => Pour le **mode jeu Internet** (depuis V0.8): avec différentes formes d'affrontements Courses / Palet / Drapeau...   <|> v0
83 Typographie : points de suspension. Utilisez le caractère dédié. [[110:113]] => Pour le **mode jeu Internet** (depuis V0.8): avec différentes formes d'affrontements Courses / Palet / Drapeau...   <|> ... => suggestions : None
83 Espace(s) en fin de ligne à supprimer. [[113:115]] => Pour le **mode jeu Internet** (depuis V0.8): avec différentes formes d'affrontements Courses / Palet / Drapeau...   <|>    => suggestions : None

92 Mot inconnu : writer [[110:116]] => <note>Si le fichier vous donne un message d'erreur quand vous tentez de l'ouvrir, ouvrez-le avec libre office writer et effacez tous les # que vous voyez.</note> <|> writer

