
5 Mot inconnu : Tremulous => ====== Tremulous ====== | tremulous

6 Mot inconnu : Tremulous => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | tremulous
6 Il manque un espace avant la parenthèse. => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | ( => suggestions : [' (']
6 Typographie : points de suspension. Utilisez le caractère dédié. => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | ... => suggestions : ['…']
6 Mot inconnu : FPS => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | fps
6 Il manque un espace avant la parenthèse. => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | ( => suggestions : [' (']
6 Mot inconnu : First => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | first
6 Mot inconnu : person => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | person
6 Mot inconnu : Tremulous => Tremulous((Frémissements...)) est un jeu de tir à la première personne, ou FPS((First person shooter)) dans lequel s'affrontent deux équipes, les humains et les aliens. Les deux équipes sont capables de construire des structures comme des points de largages, qui sont vitaux pour la victoire. Le but de Tremulous est d'éliminer l'équipe opposée ainsi que tous leurs points de largages. | tremulous

