
5 Mot inconnu : Dropbox => ======Utiliser Dropbox sous Ubuntu===== | dropbox

6 Mot inconnu : DropBox => DropBox est une solution de [[cloud|stockage de fichiers (cloud)]]. Plus d'information sur la page principale de [[dropbox|Dropbox]], cette page ne traite que de l'**application Dropbox** pour Linux | dropbox
6 Mot inconnu : dropbox => DropBox est une solution de [[cloud|stockage de fichiers (cloud)]]. Plus d'information sur la page principale de [[dropbox|Dropbox]], cette page ne traite que de l'**application Dropbox** pour Linux | dropbox

16 Mot inconnu : nautilus => Ce paquet s'installe comme une extension nautilus. Il fonctionne si vous avez nautilus. Il existe une commande (dans un terminal) pour télécharger la dernière version de DropBox, une fois **nautilus-dropbox** installé : | nautilus
16 Mot inconnu : nautilus => Ce paquet s'installe comme une extension nautilus. Il fonctionne si vous avez nautilus. Il existe une commande (dans un terminal) pour télécharger la dernière version de DropBox, une fois **nautilus-dropbox** installé : | nautilus
16 Mot inconnu : DropBox => Ce paquet s'installe comme une extension nautilus. Il fonctionne si vous avez nautilus. Il existe une commande (dans un terminal) pour télécharger la dernière version de DropBox, une fois **nautilus-dropbox** installé : | dropbox
16 Mot inconnu : nautilus-dropbox => Ce paquet s'installe comme une extension nautilus. Il fonctionne si vous avez nautilus. Il existe une commande (dans un terminal) pour télécharger la dernière version de DropBox, une fois **nautilus-dropbox** installé : | nautilus-dropbox

23 Mot inconnu : DropBox => Il suffit de télécharger sur le site DropBox le paquet DEB correspondant à votre architecture (32 bits ou 64 bits) : [[https://www.dropbox.com/install]] | dropbox
23 Mot inconnu : DEB => Il suffit de télécharger sur le site DropBox le paquet DEB correspondant à votre architecture (32 bits ou 64 bits) : [[https://www.dropbox.com/install]] | deb

31 Mot inconnu : Dropbox => Ensuite, lancez le démon Dropbox à partir du nouveau fichier .dropbox-dist situé à l'emplacement : <file>~/.dropbox-dist/dropboxd</file> | dropbox
31 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ensuite, lancez le démon Dropbox à partir du nouveau fichier .dropbox-dist situé à l'emplacement : <file>~/.dropbox-dist/dropboxd</file> |  . => suggestions : ['. ', '.']
31 Mot inconnu : dropbox-dist => Ensuite, lancez le démon Dropbox à partir du nouveau fichier .dropbox-dist situé à l'emplacement : <file>~/.dropbox-dist/dropboxd</file> | dropbox-dist
31 Mot inconnu : dropbox-dist => Ensuite, lancez le démon Dropbox à partir du nouveau fichier .dropbox-dist situé à l'emplacement : <file>~/.dropbox-dist/dropboxd</file> | dropbox-dist
31 Mot inconnu : dropboxd => Ensuite, lancez le démon Dropbox à partir du nouveau fichier .dropbox-dist situé à l'emplacement : <file>~/.dropbox-dist/dropboxd</file> | dropboxd

37 Espace(s) en fin de ligne à supprimer. => ^ Version d'Ubuntu ^ Dépôt à ajouter ^  |   => suggestions : ['']

43 Il manque un trait d’union. => Si celle ci ne fonctionne pas, voire la page https://www.dropbox.com/en/help/246. | celle ci => suggestions : ['celle-ci']

47 Mot inconnu : Flatpak => ====Depuis Flatpak ==== | flatpak

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installer Dropbox graphiquement :  |    => suggestions : ['']
50 Mot inconnu : Dropbox =>   * Installer Dropbox graphiquement :  | dropbox
50 Espace(s) en fin de ligne à supprimer. =>   * Installer Dropbox graphiquement :  |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * En allant sur le magasin logiciels flatpak ici : https://flathub.org/apps/details/com.dropbox.Client. |      => suggestions : ['']
51 Accord de nombre erroné avec « le magasin » : « logiciels » devrait être au singulier. =>     * En allant sur le magasin logiciels flatpak ici : https://flathub.org/apps/details/com.dropbox.Client. | logiciels => suggestions : ['logiciel']
51 Mot inconnu : flatpak =>     * En allant sur le magasin logiciels flatpak ici : https://flathub.org/apps/details/com.dropbox.Client. | flatpak

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Cliquer sur l'icône d'installation, et il vous est proposé de démarrer gnome-software => "Ouvrir avec : Installation de l'application (par défaut)". Cliquez sur ok.  |      => suggestions : ['']
52 Guillemets typographiques ouvrants. =>     * Cliquer sur l'icône d'installation, et il vous est proposé de démarrer gnome-software => "Ouvrir avec : Installation de l'application (par défaut)". Cliquez sur ok.  | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : ok =>     * Cliquer sur l'icône d'installation, et il vous est proposé de démarrer gnome-software => "Ouvrir avec : Installation de l'application (par défaut)". Cliquez sur ok.  | ok
52 Espace(s) en fin de ligne à supprimer. =>     * Cliquer sur l'icône d'installation, et il vous est proposé de démarrer gnome-software => "Ouvrir avec : Installation de l'application (par défaut)". Cliquez sur ok.  |   => suggestions : ['']

