
5 Mot inconnu : Amarok => ====== Lecteur Amarok ====== | amarok

6 Mot inconnu : Amarok => <note warning>À partir d'Ubuntu 20.04 Amarok n'est plus le lecteur par défaut de KDE, il est remplacé par Elisa, et a été supprimé des dépôts.</note> | amarok
6 Mot inconnu : KDE => <note warning>À partir d'Ubuntu 20.04 Amarok n'est plus le lecteur par défaut de KDE, il est remplacé par Elisa, et a été supprimé des dépôts.</note> | kde
6 Mot inconnu : Elisa => <note warning>À partir d'Ubuntu 20.04 Amarok n'est plus le lecteur par défaut de KDE, il est remplacé par Elisa, et a été supprimé des dépôts.</note> | elisa

10 Mot inconnu : Amarok => Amarok est également disponible pour Mac OS X et Windows. | amarok

12 Mot inconnu : Amarok => Amarok est un lecteur de contenu audio qui a franchi une nouvelle étape avec sa version 2. Les concepteurs du programme sont complètement repartis de zéro, et les fonctionnalités de l'ancienne version ne sont pas (encore ?) toutes présentes. Néanmoins, après des débuts instables, le lecteur est enfin efficace et affiche de nombreuses possibilités. Vous qui rejoignez Kubuntu, ce lecteur devrait vous séduire ! | amarok

14 Mot inconnu : Amarok => Voici donc à quoi peut ressembler Amarok : | amarok

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une interface entièrement configurable ! Les volets de navigation, de contexte (contenu apportant des informations supplémentaires sur le morceau en cours de lecture) et la liste de lecture sont à présent des widgets ancrables que l'on peut placer où et comme on le souhaite. On peut les redimensionner, les empiler ou les supprimer. |    => suggestions : ['']
20 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * une interface entièrement configurable ! Les volets de navigation, de contexte (contenu apportant des informations supplémentaires sur le morceau en cours de lecture) et la liste de lecture sont à présent des widgets ancrables que l'on peut placer où et comme on le souhaite. On peut les redimensionner, les empiler ou les supprimer. | une => suggestions : ['Une']
20 Mot inconnu : ancrables =>   * une interface entièrement configurable ! Les volets de navigation, de contexte (contenu apportant des informations supplémentaires sur le morceau en cours de lecture) et la liste de lecture sont à présent des widgets ancrables que l'on peut placer où et comme on le souhaite. On peut les redimensionner, les empiler ou les supprimer. | ancrables

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * de nombreux services web dont : |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * accès à [[http://www.jamendo.com/fr/|Jamendo]] et ses artistes indépendants ; |      => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * accès à de nombreuses radios Internet gratuites (Shoutcast) ; |      => suggestions : ['']
24 Mot inconnu : Shoutcast =>     * accès à de nombreuses radios Internet gratuites (Shoutcast) ; | shoutcast

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * liste de lecture dynamique (en fonction de vos goûts !) ;  |    => suggestions : ['']
25 Espace(s) en fin de ligne à supprimer. =>   * liste de lecture dynamique (en fonction de vos goûts !) ;  |   => suggestions : ['']

