
6 Mot inconnu : Alternate => ====== Installer Ubuntu avec l'Alternate CD ====== | alternate

12 Mot inconnu : iso => ===== Obtenir une iso Alternate ===== | iso
12 Mot inconnu : Alternate => ===== Obtenir une iso Alternate ===== | alternate

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://cdimage.ubuntu.com/lubuntu/releases/16.04/release/|Alternate CD Lubuntu 16.04]] |    => suggestions : ['']
13 Mot inconnu : Alternate =>   * [[http://cdimage.ubuntu.com/lubuntu/releases/16.04/release/|Alternate CD Lubuntu 16.04]] | alternate

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://cdimage.ubuntu.com/lubuntu/releases/18.04/release/|Alternate CD Lubuntu 18.04]] |    => suggestions : ['']
14 Mot inconnu : Alternate =>   * [[http://cdimage.ubuntu.com/lubuntu/releases/18.04/release/|Alternate CD Lubuntu 18.04]] | alternate

17 Mot inconnu : Alternate => L'//Alternate CD// vous permet d'installer Lubuntu selon différents modes, selon vos besoins et vos attentes. Tous les modes sont disponibles pour toutes les architectures. | alternate

18 Mot inconnu : mutisystem => <note warning>Le choix des modes n'est pas proposé si l'on amorce à partir d'une clé mutisystem</note> | mutisystem

22 Guillemets typographiques ouvrants. => Pour utiliser ce mode d'installation, lorsque vous réamorcez votre ordinateur avec le CD-ROM d'installation, à l'affichage, sélectionnez **"Installer sur le disque dur"**. | " => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => Pour utiliser ce mode d'installation, lorsque vous réamorcez votre ordinateur avec le CD-ROM d'installation, à l'affichage, sélectionnez **"Installer sur le disque dur"**. | " => suggestions : ['\xa0»', '”']

28 Il manque un trait d’union. => Pour savoir comment faire cette installation, rendez vous ici : [[#Détails sur l'installation en mode par défaut]]. | rendez vous => suggestions : ['rendez-vous']

35 Mot inconnu : OEM => ==== Mode OEM ==== | oem

41 Accord erroné : “Ubuntu” et “installé” ne sont pas accordés. Mettez au féminin pluriel. => Une fois l'installation terminée, vous serez informé du fait qu'Ubuntu a été complètement installé et qu'il est prêt à être livré. | installé => suggestions : ['installée']

45 Guillemets typographiques ouvrants. => ==== Mode "en ligne de commande" ==== | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. => ==== Mode "en ligne de commande" ==== | " => suggestions : ['\xa0»', '”']

46 Mot inconnu : F4 => Au démarrage de l'installation, vous devez choisir votre langue. Juste après cette étape, en appuyant sur F4, vous pouvez choisir une option "installer en ligne de commande".  | f4
46 Guillemets typographiques ouvrants. => Au démarrage de l'installation, vous devez choisir votre langue. Juste après cette étape, en appuyant sur F4, vous pouvez choisir une option "installer en ligne de commande".  | " => suggestions : ['«\xa0', '“']
46 Guillemets typographiques fermants. => Au démarrage de l'installation, vous devez choisir votre langue. Juste après cette étape, en appuyant sur F4, vous pouvez choisir une option "installer en ligne de commande".  | " => suggestions : ['\xa0»', '”']
46 Espace(s) en fin de ligne à supprimer. => Au démarrage de l'installation, vous devez choisir votre langue. Juste après cette étape, en appuyant sur F4, vous pouvez choisir une option "installer en ligne de commande".  |   => suggestions : ['']

48 Guillemets typographiques ouvrants. => Lancez ensuite l'installation, et un système "nu" sera installé : pas de logiciel, pas de gestionnaire de connexion, pas d'interface graphique.  | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. => Lancez ensuite l'installation, et un système "nu" sera installé : pas de logiciel, pas de gestionnaire de connexion, pas d'interface graphique.  | " => suggestions : ['\xa0»', '”']
48 Espace(s) en fin de ligne à supprimer. => Lancez ensuite l'installation, et un système "nu" sera installé : pas de logiciel, pas de gestionnaire de connexion, pas d'interface graphique.  |   => suggestions : ['']
50 Mot inconnu : openbox => Avoir un système en ligne de commande peut avoir deux intérêts : soit pour exécuter des tâches automatisées en libérant la mémoire et le processeur de tout traitement graphique, soit pour être libre d'installer un système totalement customisé, par exemple [[openbox]]. | openbox

54 Mot inconnu : Alternate => Lancez le CD **Alternate**, vous obtiendrez cet écran : | alternate

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * « **Langue** » avec la touche « F2 » ; |      => suggestions : ['']
60 Typographie des composés chimiques. =>     * « **Langue** » avec la touche « F2 » ; | f2 => suggestions : ['F₂']
60 Mot inconnu : F2 =>     * « **Langue** » avec la touche « F2 » ; | f2

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * « **Clavier** » avec la touche « F3 » ; |      => suggestions : ['']
61 Mot inconnu : F3 =>     * « **Clavier** » avec la touche « F3 » ; | f3

