
5 Mot inconnu : Database => ====== Oracle™ Database ====== | database

7 Mot inconnu : SGBDR => Oracle est un système de gestion de base de données relationnel (SGBDR) fourni par Oracle Corporation. | sgbdr

9 Mot inconnu : Edition => Oracle Express Edition 11g R2 est la version allégée gratuite d'Oracle. | edition
9 Mot inconnu : R2 => Oracle Express Edition 11g R2 est la version allégée gratuite d'Oracle. | r2

10 Mot inconnu : sysctr => C'est vraiment facile de l'installer. Vous n'avez pas besoin de créer les utilisateurs d'Oracle, ou de modifier le fichier sysctr.conf. C'est déjà fait dans le paquet. Avec Oracle XE vous n'aurez droit qu'à une base de données (instance) et son **SID** //(Oracle System ID)// vaudra par défaut « XE ».  | sysctr
10 Il manque un espace. => C'est vraiment facile de l'installer. Vous n'avez pas besoin de créer les utilisateurs d'Oracle, ou de modifier le fichier sysctr.conf. C'est déjà fait dans le paquet. Avec Oracle XE vous n'aurez droit qu'à une base de données (instance) et son **SID** //(Oracle System ID)// vaudra par défaut « XE ».  | conf => suggestions : [' conf']
10 Nombre ordinal romain singulier. Exemples : IIᵉ, IIIᵉ, IVᵉ… => C'est vraiment facile de l'installer. Vous n'avez pas besoin de créer les utilisateurs d'Oracle, ou de modifier le fichier sysctr.conf. C'est déjà fait dans le paquet. Avec Oracle XE vous n'aurez droit qu'à une base de données (instance) et son **SID** //(Oracle System ID)// vaudra par défaut « XE ».  | xe => suggestions : ['Xᵉ']
10 Mot inconnu : SID => C'est vraiment facile de l'installer. Vous n'avez pas besoin de créer les utilisateurs d'Oracle, ou de modifier le fichier sysctr.conf. C'est déjà fait dans le paquet. Avec Oracle XE vous n'aurez droit qu'à une base de données (instance) et son **SID** //(Oracle System ID)// vaudra par défaut « XE ».  | sid
10 Mot inconnu : System => C'est vraiment facile de l'installer. Vous n'avez pas besoin de créer les utilisateurs d'Oracle, ou de modifier le fichier sysctr.conf. C'est déjà fait dans le paquet. Avec Oracle XE vous n'aurez droit qu'à une base de données (instance) et son **SID** //(Oracle System ID)// vaudra par défaut « XE ».  | system
10 Nombre ordinal romain singulier. Exemples : IIᵉ, IIIᵉ, IVᵉ… => C'est vraiment facile de l'installer. Vous n'avez pas besoin de créer les utilisateurs d'Oracle, ou de modifier le fichier sysctr.conf. C'est déjà fait dans le paquet. Avec Oracle XE vous n'aurez droit qu'à une base de données (instance) et son **SID** //(Oracle System ID)// vaudra par défaut « XE ».  | xe => suggestions : ['Xᵉ']
10 Espace(s) en fin de ligne à supprimer. => C'est vraiment facile de l'installer. Vous n'avez pas besoin de créer les utilisateurs d'Oracle, ou de modifier le fichier sysctr.conf. C'est déjà fait dans le paquet. Avec Oracle XE vous n'aurez droit qu'à une base de données (instance) et son **SID** //(Oracle System ID)// vaudra par défaut « XE ».  |   => suggestions : ['']

14 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Comme d'habitude, Oracle a besoin de beaucoup de ressources, avec un minimum pour le serveur de 512 Mio de mémoire vive et de 1024 Mio de Swap ainsi que de 1,5 Gio d'espace disque libre. Ces pré-requis sont vérifiés lors de l'installation du paquet. | 512 mio => suggestions : ['512\xa0Mio']
14 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Comme d'habitude, Oracle a besoin de beaucoup de ressources, avec un minimum pour le serveur de 512 Mio de mémoire vive et de 1024 Mio de Swap ainsi que de 1,5 Gio d'espace disque libre. Ces pré-requis sont vérifiés lors de l'installation du paquet. | 1024 mio => suggestions : ['1\xa0024\xa0Mio']
14 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Comme d'habitude, Oracle a besoin de beaucoup de ressources, avec un minimum pour le serveur de 512 Mio de mémoire vive et de 1024 Mio de Swap ainsi que de 1,5 Gio d'espace disque libre. Ces pré-requis sont vérifiés lors de l'installation du paquet. | 1,5 gio => suggestions : ['1,5\xa0Gio']

22 Mot inconnu : deb => Pour les architectures 32 bits vous pouvez télécharger le deb [[http://1drv.ms/1vMWia6|ici]] (uniquement la version 10). ([[http://meandmyubuntulinux.blogspot.com/2013/03/installing-oracle-xe-on-ubuntu-32-bit.html|sources]]) | deb

24 Espace(s) surnuméraire(s) à supprimer. => Si vous avez une architecture 64 bits, la version 11 est disponible  [[http://www.oracle.com/technetwork/database/database-technologies/express-edition/downloads/index.html|ici]] il faut la convertir en deb avec [[alien]] avant de l'installer. ([[http://tuhrig.de/3-ways-of-installing-oracle-xe-11g-on-ubuntu/|sources]]). |    => suggestions : [' ']
24 Mot inconnu : deb => Si vous avez une architecture 64 bits, la version 11 est disponible  [[http://www.oracle.com/technetwork/database/database-technologies/express-edition/downloads/index.html|ici]] il faut la convertir en deb avec [[alien]] avant de l'installer. ([[http://tuhrig.de/3-ways-of-installing-oracle-xe-11g-on-ubuntu/|sources]]). | deb

26 Mot inconnu : apt-get => ==== Avec apt-get ==== | apt-get

30 Mot inconnu : deb => <file>deb http://oss.oracle.com/debian unstable main non-free</file> | deb
30 Mot inconnu : unstable => <file>deb http://oss.oracle.com/debian unstable main non-free</file> | unstable
30 Mot inconnu : non-free => <file>deb http://oss.oracle.com/debian unstable main non-free</file> | non-free

32 Guillemets typographiques ouvrants. => Si vous avez un problème de clé lors de "apt-get update", il faut télécharger et importer la clé du dépôt Oracle : | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : apt-get => Si vous avez un problème de clé lors de "apt-get update", il faut télécharger et importer la clé du dépôt Oracle : | apt-get
32 Mot inconnu : update => Si vous avez un problème de clé lors de "apt-get update", il faut télécharger et importer la clé du dépôt Oracle : | update
32 Guillemets typographiques fermants. => Si vous avez un problème de clé lors de "apt-get update", il faut télécharger et importer la clé du dépôt Oracle : | " => suggestions : ['\xa0»', '”']

58 Mot inconnu : This => > This system does not meet the minimum requirements for swap space | this
58 Mot inconnu : system => > This system does not meet the minimum requirements for swap space | system
58 Mot inconnu : does => > This system does not meet the minimum requirements for swap space | does
58 Mot inconnu : not => > This system does not meet the minimum requirements for swap space | not
58 Mot inconnu : meet => > This system does not meet the minimum requirements for swap space | meet
58 Mot inconnu : the => > This system does not meet the minimum requirements for swap space | the
58 Mot inconnu : requirements => > This system does not meet the minimum requirements for swap space | requirements
58 Mot inconnu : space => > This system does not meet the minimum requirements for swap space | space

60 Mot inconnu : Synaptic => <note help>Lors de l'installation via Synaptic ou Adept un message d'erreur générique appairait, et non pas le message ci-avant.</note> | synaptic
60 Mot inconnu : Adept => <note help>Lors de l'installation via Synaptic ou Adept un message d'erreur générique appairait, et non pas le message ci-avant.</note> | adept

66 Mot inconnu : count => Où « count » est le nombre de Mio à rajouter à votre swap existant pour arriver au 1006 Mio requis par Oracle XE. | count
66 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Où « count » est le nombre de Mio à rajouter à votre swap existant pour arriver au 1006 Mio requis par Oracle XE. | 1006 mio => suggestions : ['1\xa0006\xa0Mio']
66 Nombre ordinal romain singulier. Exemples : IIᵉ, IIIᵉ, IVᵉ… => Où « count » est le nombre de Mio à rajouter à votre swap existant pour arriver au 1006 Mio requis par Oracle XE. | xe => suggestions : ['Xᵉ']

78 Mot inconnu : insufficient => === insufficient diskspace  === | insufficient
78 Mot inconnu : diskspace => === insufficient diskspace  === | diskspace
78 Espace(s) surnuméraire(s) à supprimer. => === insufficient diskspace  === |    => suggestions : [' ']

82 Mot inconnu : You => > You have insufficient diskspace in the destination directory (/usr/lib) to install | you
82 Mot inconnu : insufficient => > You have insufficient diskspace in the destination directory (/usr/lib) to install | insufficient
82 Mot inconnu : diskspace => > You have insufficient diskspace in the destination directory (/usr/lib) to install | diskspace
82 Mot inconnu : the => > You have insufficient diskspace in the destination directory (/usr/lib) to install | the
82 Mot inconnu : directory => > You have insufficient diskspace in the destination directory (/usr/lib) to install | directory
82 Mot inconnu : to => > You have insufficient diskspace in the destination directory (/usr/lib) to install | to
82 Mot inconnu : install => > You have insufficient diskspace in the destination directory (/usr/lib) to install | install

83 Mot inconnu : Database => Oracle Database 10g Express Edition. The install requires at lease 1.5 GB | database
