
4 Mot inconnu : VeraCrypt => ======Chiffrement de fichiers et de partitions avec VeraCrypt====== | veracrypt

6 Mot inconnu : VeraCrypt => VeraCrypt est un logiciel de chiffrement de fichiers et de partitions qui reprend la suite de **TrueCrypt**.\\ | veracrypt
6 Mot inconnu : TrueCrypt => VeraCrypt est un logiciel de chiffrement de fichiers et de partitions qui reprend la suite de **TrueCrypt**.\\ | truecrypt

7 Mot inconnu : Idrassi => Ce fork, principalement développé par le Français Mr Mounir Idrassi, a débuté quelques mois avant la fermeture brutale de son prédécesseur. | idrassi

9 Mot inconnu : VeraCrypt => VeraCrypt est un programme gratuit de chiffrement de partition qui fonctionne sous GNU/Linux, MacOS et Windows. Il est sous double licence Apache v2.0 et collective TrueCrypt v3.1. | veracrypt
9 Mot inconnu : MacOS => VeraCrypt est un programme gratuit de chiffrement de partition qui fonctionne sous GNU/Linux, MacOS et Windows. Il est sous double licence Apache v2.0 et collective TrueCrypt v3.1. | macos
9 Mot inconnu : v2 => VeraCrypt est un programme gratuit de chiffrement de partition qui fonctionne sous GNU/Linux, MacOS et Windows. Il est sous double licence Apache v2.0 et collective TrueCrypt v3.1. | v2
9 Mot inconnu : TrueCrypt => VeraCrypt est un programme gratuit de chiffrement de partition qui fonctionne sous GNU/Linux, MacOS et Windows. Il est sous double licence Apache v2.0 et collective TrueCrypt v3.1. | truecrypt
9 Mot inconnu : v3 => VeraCrypt est un programme gratuit de chiffrement de partition qui fonctionne sous GNU/Linux, MacOS et Windows. Il est sous double licence Apache v2.0 et collective TrueCrypt v3.1. | v3

11 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A compléter | a => suggestions : ['À']

13 Mot inconnu : Veracrypt => Veracrypt chiffre des volumes (fichiers, partitions) ou des systèmes d'exploitation entiers, à la volée. C'est à dire qu'il monte un volume chiffré, dans lequel vous mettez ce que vous voulez. Il est possible de cacher ces fichiers/partitions/OS chiffrés.  | veracrypt
13 Il manque les traits d’union. => Veracrypt chiffre des volumes (fichiers, partitions) ou des systèmes d'exploitation entiers, à la volée. C'est à dire qu'il monte un volume chiffré, dans lequel vous mettez ce que vous voulez. Il est possible de cacher ces fichiers/partitions/OS chiffrés.  | c'est à dire => suggestions : ['C’est-à-dire']
13 Espace(s) en fin de ligne à supprimer. => Veracrypt chiffre des volumes (fichiers, partitions) ou des systèmes d'exploitation entiers, à la volée. C'est à dire qu'il monte un volume chiffré, dans lequel vous mettez ce que vous voulez. Il est possible de cacher ces fichiers/partitions/OS chiffrés.  |   => suggestions : ['']

14 Espace(s) en fin de ligne à supprimer. => Les algorithmes de chiffrement proposés sont nombreux et utilisables en cascade.  |   => suggestions : ['']

15 Mot inconnu : Veracrypt => Évidemment, Veracrypt est open-source, multi-plateforme et utilisable en mode portable (sur une clef-usb). | veracrypt
15 Mot inconnu : clef-usb => Évidemment, Veracrypt est open-source, multi-plateforme et utilisable en mode portable (sur une clef-usb). | clef-usb

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * créer votre propre signature (si ce n'est déjà fait), |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * télécharger la clé publique figurant sur le site de Veracrypt,  |    => suggestions : ['']
37 Mot inconnu : Veracrypt =>   * télécharger la clé publique figurant sur le site de Veracrypt,  | veracrypt
37 Espace(s) en fin de ligne à supprimer. =>   * télécharger la clé publique figurant sur le site de Veracrypt,  |   => suggestions : ['']

