
5 Mot inconnu : DOSBox => ====== DOSBox : émulateur DOS  ====== | dosbox
5 Espace(s) surnuméraire(s) à supprimer. => ====== DOSBox : émulateur DOS  ====== |    => suggestions : [' ']

7 Mot inconnu : DOSBox => **DOSBox** est un excellent émulateur DOS capable de fonctionner sur de nombreux systèmes d'exploitation. | dosbox

9 Mot inconnu : DOSBox => Le but de DOSBox est de vous permettre de jouer à n'importe quel vieux jeu DOS sur votre système d'exploitation moderne. | dosbox

22 Mot inconnu : DOSBox => Quittez DOSBox en tapant : | dosbox

26 Mot inconnu : DOSBox => Il peut être intéressant d'ajouter un dossier pour contenir ce que vous voulez mettre dans le disque dur C de DOSBox. Pour cela on va créer un répertoire, tapez dans le terminal : | dosbox

37 Mot inconnu : mount => mount c ~/dosbox/ | mount
37 Mot inconnu : dosbox => mount c ~/dosbox/ | dosbox

38 Mot inconnu : mount => mount d /media/cdrom/ -t cdrom | mount

40 Mot inconnu : keyb => keyb fr | keyb

42 Mot inconnu : DOSBox => Ainsi lorsque DOSBox démarrera, il prendra en compte le dossier **dosbox** de votre dossier personnel comme lecteur C:\ et démarrera directement dessus. | dosbox
42 Mot inconnu : dosbox => Ainsi lorsque DOSBox démarrera, il prendra en compte le dossier **dosbox** de votre dossier personnel comme lecteur C:\ et démarrera directement dessus. | dosbox

49 Mot inconnu : DOSBox => Sous DOSBox : | dosbox
59 Mot inconnu : floppy => La commande pour monter une disquette, c'est comme pour un disque dur mais avec l'option « -t floppy ». | floppy

60 Mot inconnu : DOSBox => Sous DOSBox : | dosbox

68 Conjugaison erronée. Accord avec “les lettres…”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Il est à noter que DOS n'acceptait que les lettres A et B comme lecteur de disquettes. | a => suggestions : ['ONT']

72 Mot inconnu : Dosbox => Alors là ça se complique un peu, Dosbox permet d'émuler plusieurs sortes de CD-ROM : | dosbox

81 Mot inconnu : DOSBox => Il existe plusieurs façons de lancer un programme avec DOSBox : | dosbox

89 Mot inconnu : Dosbox => puis sous Dosbox : | dosbox

97 Mot inconnu : dosbox => On remarque ici qu'il y a un problème, suivant ce qu'on lance, on peut avoir besoin d'un fichier dosbox.conf différent. Il est néanmoins possible de définir un fichier de config au lancement de DOSBox : | dosbox
97 Il manque un espace. => On remarque ici qu'il y a un problème, suivant ce qu'on lance, on peut avoir besoin d'un fichier dosbox.conf différent. Il est néanmoins possible de définir un fichier de config au lancement de DOSBox : | conf => suggestions : [' conf']
97 Mot inconnu : DOSBox => On remarque ici qu'il y a un problème, suivant ce qu'on lance, on peut avoir besoin d'un fichier dosbox.conf différent. Il est néanmoins possible de définir un fichier de config au lancement de DOSBox : | dosbox

105 Mot inconnu : DOSBox => ==== Lancer DOSBox uniquement pour une application ==== | dosbox

107 Mot inconnu : DOSBox => Il est un peu lourd de lancer DOSBox puis son jeu, pourquoi ne pas lancer le jeu directement dans DOSBox ? | dosbox
107 Mot inconnu : DOSBox => Il est un peu lourd de lancer DOSBox puis son jeu, pourquoi ne pas lancer le jeu directement dans DOSBox ? | dosbox
115 Mot inconnu : dosbox => Il est même possible de tout inclure dans le « dosbox.conf » et donc de ne plus avoir qu'à lancer Dosbox avec le bon « dosbox.conf ». | dosbox
115 Il manque un espace. => Il est même possible de tout inclure dans le « dosbox.conf » et donc de ne plus avoir qu'à lancer Dosbox avec le bon « dosbox.conf ». | conf => suggestions : [' conf']
115 Mot inconnu : Dosbox => Il est même possible de tout inclure dans le « dosbox.conf » et donc de ne plus avoir qu'à lancer Dosbox avec le bon « dosbox.conf ». | dosbox
115 Mot inconnu : dosbox => Il est même possible de tout inclure dans le « dosbox.conf » et donc de ne plus avoir qu'à lancer Dosbox avec le bon « dosbox.conf ». | dosbox
115 Il manque un espace. => Il est même possible de tout inclure dans le « dosbox.conf » et donc de ne plus avoir qu'à lancer Dosbox avec le bon « dosbox.conf ». | conf => suggestions : [' conf']

