
3 Mot inconnu : LiquidSoap => ====== LiquidSoap ====== | liquidsoap

5 Mot inconnu : LiquidSoap => LiquidSoap est un logiciel qui permet d'automatiser votre Radio/Webradio | liquidsoap

9 Mot inconnu : Icecast => Un serveur Icecast/Shoutcast. | icecast
9 Mot inconnu : Shoutcast => Un serveur Icecast/Shoutcast. | shoutcast

17 Accord de nombre erroné : « fichier » devrait être au pluriel. => Une fois installé il vous faut créer un dossier avec les musiques, un autre avec les jingles et y déposer vos fichier .mp3 | fichier => suggestions : ['fichiers']
17 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Une fois installé il vous faut créer un dossier avec les musiques, un autre avec les jingles et y déposer vos fichier .mp3 |  . => suggestions : ['. ', '.']

19 Mot inconnu : Liquidsoap => Liquidsoap n'a pas de fichier de configuration propre pour votre radio, tout fonctionne via un script que vous pouvez soit taper manuellement dans un terminal (Fastidieux) soit dans un fichier .liq (Fichier script propre à liquidsoap) | liquidsoap
19 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Liquidsoap n'a pas de fichier de configuration propre pour votre radio, tout fonctionne via un script que vous pouvez soit taper manuellement dans un terminal (Fastidieux) soit dans un fichier .liq (Fichier script propre à liquidsoap) |  . => suggestions : ['. ', '.']
19 Mot inconnu : liq => Liquidsoap n'a pas de fichier de configuration propre pour votre radio, tout fonctionne via un script que vous pouvez soit taper manuellement dans un terminal (Fastidieux) soit dans un fichier .liq (Fichier script propre à liquidsoap) | liq
19 Mot inconnu : liquidsoap => Liquidsoap n'a pas de fichier de configuration propre pour votre radio, tout fonctionne via un script que vous pouvez soit taper manuellement dans un terminal (Fastidieux) soit dans un fichier .liq (Fichier script propre à liquidsoap) | liquidsoap

21 Avec une unité de mesure, mettez un espace insécable. => Voici un exemple de fichier de script qui couvre presque 90% des besoins d'une webradio dite "classique" | 90% => suggestions : ['90\xa0%']
21 Guillemets typographiques ouvrants. => Voici un exemple de fichier de script qui couvre presque 90% des besoins d'une webradio dite "classique" | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. => Voici un exemple de fichier de script qui couvre presque 90% des besoins d'une webradio dite "classique" | " => suggestions : ['\xa0»', '”']

63 Mot inconnu : root => Pour lancer ce fichier vous ne devez pas être en mode root mais juste en tant q'utilisateur classique, voici la commande: | root
63 Mot inconnu : q'utilisateur => Pour lancer ce fichier vous ne devez pas être en mode root mais juste en tant q'utilisateur classique, voici la commande: | q'utilisateur

69 Mot inconnu : liquidsoap => Vous pouvez maintenant fermer le terminal liquidsoap diffuse bien sur le serveur paramétré | liquidsoap

71 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A savoir: | a => suggestions : ['À']

72 Mot inconnu : liquidsoap => Sur ce script liquidsoap lance automatiquement la playlist, mais il garde une écoute sur le seconf flux (A savoir live.mp3) si il y a du son il coupera la playlist pour vous laisser prendre le direct. | liquidsoap
72 Mot inconnu : seconf => Sur ce script liquidsoap lance automatiquement la playlist, mais il garde une écoute sur le seconf flux (A savoir live.mp3) si il y a du son il coupera la playlist pour vous laisser prendre le direct. | seconf
72 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Sur ce script liquidsoap lance automatiquement la playlist, mais il garde une écoute sur le seconf flux (A savoir live.mp3) si il y a du son il coupera la playlist pour vous laisser prendre le direct. | a => suggestions : ['À']
72 Il faut élider “si” et l’accoler au pronom. => Sur ce script liquidsoap lance automatiquement la playlist, mais il garde une écoute sur le seconf flux (A savoir live.mp3) si il y a du son il coupera la playlist pour vous laisser prendre le direct. | si  => suggestions : ['s’']
