
3 Mot inconnu : wbar => ====== Barre de lancement wbar ====== | wbar

5 Mot inconnu : Wbar => Wbar est une barre de lancement d'applications animée très légère (ou dock) qui apparaît sur le bureau. Un gestionnaire d'effets visuels de bureau permet de profiter pleinement de wbar, néanmoins parfois ils sont aussi la cause de perturbations graphiques du dock. | wbar
5 Mot inconnu : wbar => Wbar est une barre de lancement d'applications animée très légère (ou dock) qui apparaît sur le bureau. Un gestionnaire d'effets visuels de bureau permet de profiter pleinement de wbar, néanmoins parfois ils sont aussi la cause de perturbations graphiques du dock. | wbar

20 Mot inconnu : Wbarconf => ==== Avec Wbarconf (facile). ==== | wbarconf

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le fichier doit commencer par les lignes suivantes:<file># The Bar && Font |    => suggestions : ['']
25 Mot inconnu : The =>   * Le fichier doit commencer par les lignes suivantes:<file># The Bar && Font | the

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * //i//: désigne le chemin vers l’image de fond utilisée pour le dock |      => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * //c//: ne doit pas être renseigné ici |      => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * //t//: indique le chemin vers la police utilisée pour le texte |      => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour ajouter des éléments au dock, utilisez cette syntaxe:<file> |    => suggestions : ['']
35 Mot inconnu : icone => i: /chemin/vers/icone/ | icone

56 Mot inconnu : wbar => ====Lancer wbar au démarrage==== | wbar

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://code.google.com/p/wbar/|Site officiel du projet]] |    => suggestions : ['']
