
5 Mot inconnu : TNEF => ====== TNEF : décoder les fichiers « winmail.dat » ====== | tnef
5 Mot inconnu : winmail => ====== TNEF : décoder les fichiers « winmail.dat » ====== | winmail
5 Mot inconnu : dat => ====== TNEF : décoder les fichiers « winmail.dat » ====== | dat

7 Mot inconnu : email => Si un correspondant vous envoie un email depuis un logiciel comme MS Outlook, il est possible que vous receviez une pièce jointe **winmail.dat**. | email
7 Mot inconnu : Outlook => Si un correspondant vous envoie un email depuis un logiciel comme MS Outlook, il est possible que vous receviez une pièce jointe **winmail.dat**. | outlook
7 Mot inconnu : winmail => Si un correspondant vous envoie un email depuis un logiciel comme MS Outlook, il est possible que vous receviez une pièce jointe **winmail.dat**. | winmail
7 Mot inconnu : dat => Si un correspondant vous envoie un email depuis un logiciel comme MS Outlook, il est possible que vous receviez une pièce jointe **winmail.dat**. | dat

9 Mot inconnu : tnef => **tnef** va vous permettre de décoder ce fichier et donc de récupérer les pièces jointes reçues... | tnef
9 Typographie : points de suspension. Utilisez le caractère dédié. => **tnef** va vous permettre de décoder ce fichier et donc de récupérer les pièces jointes reçues... | ... => suggestions : ['…']

15 Mot inconnu : LookOut => Une solution alternative consiste à installer le module LookOut de Thunderbird. https://addons.mozilla.org/fr/thunderbird/addon/lookout/ | lookout

18 Mot inconnu : TNEF => **Si c'est le lecteur TNEF qui a été installé** | tnef

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Depuis votre lecteur de courriels, enregistrez la pièce jointe //winmail.dat// (dans votre dossier personnel par exemple) ; |    => suggestions : ['']
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Depuis votre lecteur de courriels, enregistrez la pièce jointe //winmail.dat// (dans votre dossier personnel par exemple) ; |  -  => suggestions : [' – ', ' — ', ' − ']
20 Mot inconnu : winmail =>   - Depuis votre lecteur de courriels, enregistrez la pièce jointe //winmail.dat// (dans votre dossier personnel par exemple) ; | winmail
20 Mot inconnu : dat =>   - Depuis votre lecteur de courriels, enregistrez la pièce jointe //winmail.dat// (dans votre dossier personnel par exemple) ; | dat

24 Mot inconnu : LookOut => **Si c'est l'extension LookOut qui a été installée dans Thunderbird** | lookout
