
3 Mot inconnu : Désinstallateur => ====== Désinstallateur d’OS ====== | désinstallateur

5 Mot inconnu : Désinstallateur => Le **Désinstallateur d’OS** (//OS‑Uninstaller// en anglais) est un petit outil qui permet de désinstaller proprement et facilement n’importe quel système d’exploitation (Windows, MacOS, Ubuntu, autre distribution Linux…) de votre ordinateur. | désinstallateur
5 Mot inconnu : Uninstaller => Le **Désinstallateur d’OS** (//OS‑Uninstaller// en anglais) est un petit outil qui permet de désinstaller proprement et facilement n’importe quel système d’exploitation (Windows, MacOS, Ubuntu, autre distribution Linux…) de votre ordinateur. | uninstaller
5 Mot inconnu : MacOS => Le **Désinstallateur d’OS** (//OS‑Uninstaller// en anglais) est un petit outil qui permet de désinstaller proprement et facilement n’importe quel système d’exploitation (Windows, MacOS, Ubuntu, autre distribution Linux…) de votre ordinateur. | macos

10 Mot inconnu : __sauvegardez => <note warning>Attention, __sauvegardez toutes les données de votre PC par sécurité__ , au cas où vous ayez un problème de démarrage de PC après avoir utilisé l'outil((https://forum.ubuntu-fr.org/viewtopic.php?id=2039234)).</note> | __sauvegardez
10 Mot inconnu : sécurité__ => <note warning>Attention, __sauvegardez toutes les données de votre PC par sécurité__ , au cas où vous ayez un problème de démarrage de PC après avoir utilisé l'outil((https://forum.ubuntu-fr.org/viewtopic.php?id=2039234)).</note> | sécurité__
10 Pas d’espace avant une virgule. => <note warning>Attention, __sauvegardez toutes les données de votre PC par sécurité__ , au cas où vous ayez un problème de démarrage de PC après avoir utilisé l'outil((https://forum.ubuntu-fr.org/viewtopic.php?id=2039234)).</note> |  , => suggestions : [',']
10 Il manque un espace avant la parenthèse. => <note warning>Attention, __sauvegardez toutes les données de votre PC par sécurité__ , au cas où vous ayez un problème de démarrage de PC après avoir utilisé l'outil((https://forum.ubuntu-fr.org/viewtopic.php?id=2039234)).</note> | ( => suggestions : [' (']

14 Mot inconnu : Uninstaller => === Disque avec OS‑Uninstaller pré‑installé === | uninstaller

16 Mot inconnu : Uninstaller => Par commodité, ou si le PC où se trouve l’OS à désinstaller n’a pas de connexion internet, vous pouvez télécharger un disque avec OS‑Uninstaller pré‑installé, par exemple [[https://sourceforge.net/projects/boot-repair-cd/files/|Boot-Repair-Disk]]. Démarrez l’ordinateur sur ce disque, choisissez //Essayer Ubuntu//, quittez Boot-Repair, puis lancez OS-Uninstaller via le lanceur en bas à gauche. | uninstaller
16 Mot inconnu : Boot-Repair => Par commodité, ou si le PC où se trouve l’OS à désinstaller n’a pas de connexion internet, vous pouvez télécharger un disque avec OS‑Uninstaller pré‑installé, par exemple [[https://sourceforge.net/projects/boot-repair-cd/files/|Boot-Repair-Disk]]. Démarrez l’ordinateur sur ce disque, choisissez //Essayer Ubuntu//, quittez Boot-Repair, puis lancez OS-Uninstaller via le lanceur en bas à gauche. | boot-repair
