
9 Mot inconnu : Disclamer [[6:15]] => ===== Disclamer ===== <|> disclamer
11 Espace(s) surnuméraire(s) à supprimer. [[131:133]] =>   * Faites attention à vos mots de passe et autres données sensibles qui pourraient traîner dans la liste des données copiées. Vous  devriez les supprimer régulièrement ou régler leur durée de conservation. <|>    => suggestions : [' ']
12 Forme interrogative ? Mettez un trait d’union. [[4:16]] =>   * Assurez vous aussi que vous avez facilement accès aux option qui vous le permettent après l'installation de diodon et avant d'en faire une utilisation massive (cf. bugs connu). <|> assurez vous => suggestions : ['Assurez-vous']
12 Accord de nombre erroné : « option » devrait être au pluriel. [[58:64]] =>   * Assurez vous aussi que vous avez facilement accès aux option qui vous le permettent après l'installation de diodon et avant d'en faire une utilisation massive (cf. bugs connu). <|> option => suggestions : ['options']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
36 Mot inconnu : cli [[258:261]] => Dans Gnome (Ubuntu 20.04 LTS), il n'y a pas moyen d'accéder directement aux préférences de Diodon (clic droit ou clic gauche donnent le même résultat), ou de supprimer une ligne copiée. Pour ce faire, il faut exécuter la commande <code>diodon</code> dans le cli et ensuite faire défiler les entrée de la nouvelle fenêtre diodon ouverte (flèche vers le bas). <|> cli
36 Accord de nombre erroné : « entrée » devrait être au pluriel. [[291:297]] => Dans Gnome (Ubuntu 20.04 LTS), il n'y a pas moyen d'accéder directement aux préférences de Diodon (clic droit ou clic gauche donnent le même résultat), ou de supprimer une ligne copiée. Pour ce faire, il faut exécuter la commande <code>diodon</code> dans le cli et ensuite faire défiler les entrée de la nouvelle fenêtre diodon ouverte (flèche vers le bas). <|> entrée => suggestions : ['entrées']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
