
5 Mot inconnu : Stopmotion => ====== Stopmotion ====== | stopmotion

18 Mot inconnu : Stopmotion => Pour choisir la méthode d'acquisition et d'exportation //Paramètres -> Configurer Stopmotion// ou avec le raccourcis //ctrl+p// | stopmotion
18 Accord de nombre erroné : « raccourcis » est au pluriel. => Pour choisir la méthode d'acquisition et d'exportation //Paramètres -> Configurer Stopmotion// ou avec le raccourcis //ctrl+p// | le => suggestions : ['les']
18 Accord de nombre erroné : « raccourcis » devrait être au singulier. => Pour choisir la méthode d'acquisition et d'exportation //Paramètres -> Configurer Stopmotion// ou avec le raccourcis //ctrl+p// | raccourcis => suggestions : ['raccourci']
18 Mot inconnu : ctrl => Pour choisir la méthode d'acquisition et d'exportation //Paramètres -> Configurer Stopmotion// ou avec le raccourcis //ctrl+p// | ctrl

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

36 Mot inconnu : gimp => Un bouton avec le logo de Gimp permet d'ouvrir l'image sélectionnée dans le logiciel de retouche d'images [[gimp]] | gimp

38 Mot inconnu : tar => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. | tar
38 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. |  . => suggestions : ['. ', '.']
38 Mot inconnu : sto => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. | sto
38 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. |  . => suggestions : ['. ', '.']
38 Mot inconnu : dat => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. | dat
38 Mot inconnu : gedit => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. | gedit
38 Accord avec la forme verbale “sont” : “présent” devrait être au pluriel. => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. | présent => suggestions : ['présents']
38 Mot inconnu : sounds => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. | sounds
38 Accord avec “l’ autre…” incorrect. Conjugaison erronée ou accord nom/adjectif incorrect. => Le projet est enregistré dans un fichier compressé [[tar]] avec l'extension .sto qui contient un dossier nommé comme le projet. Dans ce dossier se trouve un fichier avec l'extension .dat nommé lui aussi comme le projet que l'on peut ouvrir avec un éditeur de texte comme [[gedit]]. Puis deux autres dossiers sont présent, l'un nommé sounds, l'autre nommé images qui contient toutes les images en format jpg. Vous pouvez récupérer toutes les images directement dans ce dossier. | images => suggestions : ['image']

