
4 Mot inconnu : KmyMoney => ====== KmyMoney ====== | kmymoney

5 Mot inconnu : KmyMoney => **KmyMoney** est destiné aussi bien aux particuliers qu'aux associations qui souhaitent gérer leurs comptes sur un ordinateur avec un logiciel puissant mais simple. | kmymoney

7 Mot inconnu : KDE => Développé pour [[KDE]], il tourne très bien sur d'autre environnement de bureau tels [[GNOME]] ou [[Xfce]]. Il est partiellement francisé. | kde
7 Mot inconnu : Xfce => Développé pour [[KDE]], il tourne très bien sur d'autre environnement de bureau tels [[GNOME]] ou [[Xfce]]. Il est partiellement francisé. | xfce

12 Mot inconnu : KmyMoney => Ce que KmyMoney sait faire (liste non exhaustive) : | kmymoney

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * interface simple et intuitive ; |      => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * gestion multi-comptes ; |      => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * comptes bancaires, de caisse, d'actif et de passif, gestion d'un portefeuille de valeurs mobilières (actions, SICAV, FCP, etc.) ; |      => suggestions : ['']
16 Mot inconnu : FCP =>     * comptes bancaires, de caisse, d'actif et de passif, gestion d'un portefeuille de valeurs mobilières (actions, SICAV, FCP, etc.) ; | fcp

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * gestion des comptes d'emprunt ; |      => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * gestion multi-devises ; |      => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * possibilité de virements entre comptes ; |      => suggestions : ['']

