
6 Mot inconnu : Glade => ====== Glade : la ligne de code ouvre les fenêtres ====== | glade

8 Mot inconnu : Glade => Glade est un outil interactif de conception d'interface graphique GTK+. \\ | glade

11 Mot inconnu : Glade => **Glade** enregistre les interfaces graphiques en générant des fichiers XML. \\ **GtkBuilder** permet de lire ces fichiers dynamiquement, entendez à l'exécution de l'application. | glade
11 Mot inconnu : GtkBuilder => **Glade** enregistre les interfaces graphiques en générant des fichiers XML. \\ **GtkBuilder** permet de lire ces fichiers dynamiquement, entendez à l'exécution de l'application. | gtkbuilder

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

25 Espace(s) surnuméraire(s) à supprimer. => Pour gagner du temps, nous allons utiliser directement une boîte de dialogue qui comporte déjà 2 parties utiles.  \\ A savoir : |    => suggestions : [' ']
25 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Pour gagner du temps, nous allons utiliser directement une boîte de dialogue qui comporte déjà 2 parties utiles.  \\ A savoir : | a => suggestions : ['À']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une partie vide puis  |    => suggestions : ['']
26 Espace(s) en fin de ligne à supprimer. =>   * une partie vide puis  |   => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une autre dédiée spécifiquement aux boutons.  |    => suggestions : ['']
27 Espace(s) en fin de ligne à supprimer. =>   * une autre dédiée spécifiquement aux boutons.  |   => suggestions : ['']

28 Mot inconnu : Glade => Réalisons donc une interface ressemblant à ceci, avec une arborescence identique à celle proposée sur l’image ci-dessous. Le fichier Glade est disponible dans l’archive et se nomme ''PasswordGenerator.glade''. | glade
28 Guillemets typographiques ouvrants. => Réalisons donc une interface ressemblant à ceci, avec une arborescence identique à celle proposée sur l’image ci-dessous. Le fichier Glade est disponible dans l’archive et se nomme ''PasswordGenerator.glade''. | '' => suggestions : ['«\xa0', '“']
28 Mot inconnu : PasswordGenerator => Réalisons donc une interface ressemblant à ceci, avec une arborescence identique à celle proposée sur l’image ci-dessous. Le fichier Glade est disponible dans l’archive et se nomme ''PasswordGenerator.glade''. | passwordgenerator
28 Mot inconnu : glade => Réalisons donc une interface ressemblant à ceci, avec une arborescence identique à celle proposée sur l’image ci-dessous. Le fichier Glade est disponible dans l’archive et se nomme ''PasswordGenerator.glade''. | glade
28 Guillemets typographiques fermants. => Réalisons donc une interface ressemblant à ceci, avec une arborescence identique à celle proposée sur l’image ci-dessous. Le fichier Glade est disponible dans l’archive et se nomme ''PasswordGenerator.glade''. | '' => suggestions : ['\xa0»', '”']
31 Mot inconnu : checkboxes => Une fois l’interface réalisée, il faut maintenant l’exploiter avec le code Java et lui faire réaliser les actions que l’on souhaite. \\ Tout d’abord, qu’est-ce que l’on voit sur cette interface GTK+ ? \\ On remarque qu’il y a 4 checkboxes correspondant à l’utilisation (case cochée, par défaut) ou non (case décochée) des types de caractères. \\ On voit aussi une barre pour choisir la taille du mot de passe (valeur par défaut 8). On sait tous qu’un vrai mot de passe se compose d’au moins 8 caractères avec alternance majuscules, minuscules, chiffres et caractères spéciaux. Enfin, il y a 3 boutons, un bouton Quitter (qui veut tout dire), un Actualiser qui va permettre de générer le mot de passe (qui se situera dans la champ de texte) et un bouton Copier pour copier le mot de passe dans le presse-papier. Tous ces boutons sont des boutons “basiques” dont l’icône, le label et le mnemonic sont déjà définis. Nous allons donc voir seulement les actions associées à ses boutons. Pour le reste il vous suffira de voir le code. Ce n’est pas très complexe et il y a des commentaires. | checkboxes
31 Conjugaison erronée. Accord avec “un…”. Le verbe devrait être à la 3ᵉ personne du singulier. => Une fois l’interface réalisée, il faut maintenant l’exploiter avec le code Java et lui faire réaliser les actions que l’on souhaite. \\ Tout d’abord, qu’est-ce que l’on voit sur cette interface GTK+ ? \\ On remarque qu’il y a 4 checkboxes correspondant à l’utilisation (case cochée, par défaut) ou non (case décochée) des types de caractères. \\ On voit aussi une barre pour choisir la taille du mot de passe (valeur par défaut 8). On sait tous qu’un vrai mot de passe se compose d’au moins 8 caractères avec alternance majuscules, minuscules, chiffres et caractères spéciaux. Enfin, il y a 3 boutons, un bouton Quitter (qui veut tout dire), un Actualiser qui va permettre de générer le mot de passe (qui se situera dans la champ de texte) et un bouton Copier pour copier le mot de passe dans le presse-papier. Tous ces boutons sont des boutons “basiques” dont l’icône, le label et le mnemonic sont déjà définis. Nous allons donc voir seulement les actions associées à ses boutons. Pour le reste il vous suffira de voir le code. Ce n’est pas très complexe et il y a des commentaires. | actualiser => suggestions : ['Actualisa', 'Actualise', 'Actualisait']
