7 Espace(s) surnuméraire(s) à supprimer. [[24:26]] => ===== Qu'est-ce que Cron  ===== <|>    => suggestions :  

9 Mot inconnu : crontab [[34:41]] => Chaque utilisateur a un fichier **crontab**, lui permettant d'indiquer les actions à exécuter.\\ <|> crontab

12 Mot inconnu : Anacron [[23:30]] => ====Distinction d'avec Anacron==== <|> anacron
20 Espace(s) surnuméraire(s) à supprimer. [[29:31]] => ===== Comment fonctionne Cron  ===== <|>    => suggestions :  
23 Mot inconnu : crontab [[46:53]] => Pour modifier vos tâches planifiées tapez : **crontab -e** (lance un éditeur du fichier crontab)\\ <|> crontab
23 Il manque un espace à côté du tiret. [[53:55]] => Pour modifier vos tâches planifiées tapez : **crontab -e** (lance un éditeur du fichier crontab)\\ <|>  - => suggestions :  –  — 
23 Mot inconnu : crontab [[88:95]] => Pour modifier vos tâches planifiées tapez : **crontab -e** (lance un éditeur du fichier crontab)\\ <|> crontab

26 Mot inconnu : crontab [[74:81]] => Voici une courte description de la structure d'une entrée dans un fichier crontab. Les champs à renseigner sont __dans l'ordre__ (un champ qu'on ne souhaite pas renseigner doit être rempli avec une *) : <|> crontab

36 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[4:7]] => | | 1er | 2nd | 3è | 4è | 5è | <|> 1er => suggestions : 1ᵉʳ
36 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. [[10:13]] => | | 1er | 2nd | 3è | 4è | 5è | <|> 2nd => suggestions : 2ᵈ
36 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[16:18]] => | | 1er | 2nd | 3è | 4è | 5è | <|> 3è => suggestions : 3ᵉ
36 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[21:23]] => | | 1er | 2nd | 3è | 4è | 5è | <|> 4è => suggestions : 4ᵉ
36 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[26:28]] => | | 1er | 2nd | 3è | 4è | 5è | <|> 5è => suggestions : 5ᵉ

39 Mot inconnu : feb [[45:48]] => | valeur | 0-59 | 0-23 | 1-31 | 1-12 ou jan, feb, mar… | 1-7 ou mon, tue, wed… | <|> feb
39 Mot inconnu : mar [[50:53]] => | valeur | 0-59 | 0-23 | 1-31 | 1-12 ou jan, feb, mar… | 1-7 ou mon, tue, wed… | <|> mar
39 Mot inconnu : wed [[74:77]] => | valeur | 0-59 | 0-23 | 1-31 | 1-12 ou jan, feb, mar… | 1-7 ou mon, tue, wed… | <|> wed

42 Espace(s) surnuméraire(s) à supprimer. [[219:221]] => Si __//jour du mois//__ et __//mois//__ sont définis, __//jour de la semaine//__ n'est pas nécessaire. Cependant, si le champ est indiqué en plus, la commande sera exécutée à la date //jour du mois// et //mois// mais AUSSI tous les  //jour de la semaine// définis. <|> ss => suggestions :  

44 Guillemets typographiques ouvrants. [[3:4]] => La "tâche" (non définie ici) sera exécutée 0mn et 0H après le démarrage, le 13e jour du 1er mois (janvier) __ET__ tous les vendredis (5e J. de la semaine). <|> " => suggestions : « “
44 Guillemets typographiques fermants. [[9:10]] => La "tâche" (non définie ici) sera exécutée 0mn et 0H après le démarrage, le 13e jour du 1er mois (janvier) __ET__ tous les vendredis (5e J. de la semaine). <|> " => suggestions :  »”
44 Mot inconnu : mn [[44:46]] => La "tâche" (non définie ici) sera exécutée 0mn et 0H après le démarrage, le 13e jour du 1er mois (janvier) __ET__ tous les vendredis (5e J. de la semaine). <|> mn
44 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[76:79]] => La "tâche" (non définie ici) sera exécutée 0mn et 0H après le démarrage, le 13e jour du 1er mois (janvier) __ET__ tous les vendredis (5e J. de la semaine). <|> 13e => suggestions : 13ᵉ
44 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[88:91]] => La "tâche" (non définie ici) sera exécutée 0mn et 0H après le démarrage, le 13e jour du 1er mois (janvier) __ET__ tous les vendredis (5e J. de la semaine). <|> 1er => suggestions : 1ᵉʳ
44 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[130:132]] => La "tâche" (non définie ici) sera exécutée 0mn et 0H après le démarrage, le 13e jour du 1er mois (janvier) __ET__ tous les vendredis (5e J. de la semaine). <|> is => suggestions : 5ᵉ

46 Mot inconnu : update [[55:61]] => ---- L'exemple ci-dessous exécutera ///usr/bin/apt-get update// à 3:05 (5e minute de la 3e heure), chaque jour de chaque mois (les * dans "jour", "mois" et "jours de la semaine"), avec les droits de l'utilisateur **nomdutilisateur**. <|> update
46 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[72:74]] => ---- L'exemple ci-dessous exécutera ///usr/bin/apt-get update// à 3:05 (5e minute de la 3e heure), chaque jour de chaque mois (les * dans "jour", "mois" et "jours de la semaine"), avec les droits de l'utilisateur **nomdutilisateur**. <|> 5e => suggestions : 5ᵉ
46 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[88:90]] => ---- L'exemple ci-dessous exécutera ///usr/bin/apt-get update// à 3:05 (5e minute de la 3e heure), chaque jour de chaque mois (les * dans "jour", "mois" et "jours de la semaine"), avec les droits de l'utilisateur **nomdutilisateur**. <|> 3e => suggestions : 3ᵉ
46 Guillemets typographiques ouvrants. [[138:139]] => ---- L'exemple ci-dessous exécutera ///usr/bin/apt-get update// à 3:05 (5e minute de la 3e heure), chaque jour de chaque mois (les * dans "jour", "mois" et "jours de la semaine"), avec les droits de l'utilisateur **nomdutilisateur**. <|> " => suggestions : « “
46 Guillemets typographiques fermants. [[143:144]] => ---- L'exemple ci-dessous exécutera ///usr/bin/apt-get update// à 3:05 (5e minute de la 3e heure), chaque jour de chaque mois (les * dans "jour", "mois" et "jours de la semaine"), avec les droits de l'utilisateur **nomdutilisateur**. <|> " => suggestions :  »”
46 Guillemets typographiques ouvrants. [[146:147]] => ---- L'exemple ci-dessous exécutera ///usr/bin/apt-get update// à 3:05 (5e minute de la 3e heure), chaque jour de chaque mois (les * dans "jour", "mois" et "jours de la semaine"), avec les droits de l'utilisateur **nomdutilisateur**. <|> " => suggestions : « “
46 Guillemets typographiques fermants. [[151:152]] => ---- L'exemple ci-dessous exécutera ///usr/bin/apt-get update// à 3:05 (5e minute de la 3e heure), chaque jour de chaque mois (les * dans "jour", "mois" et "jours de la semaine"), avec les droits de l'utilisateur **nomdutilisateur**. <|> " => suggestions :  »”
