
5 Mot inconnu : Compiz => ====== Gestionnaire de configuration des effets visuels (Compiz) ====== | compiz

9 Mot inconnu : CCSM => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | ccsm
9 Mot inconnu : ompiz => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | ompiz
9 Mot inconnu : onfig => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | onfig
9 Mot inconnu : etting => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | etting
9 Mot inconnu : anager => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | anager
9 Mot inconnu : Compiz => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | compiz
9 Guillemets typographiques ouvrants. => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Son gestionnaire de configuration **CCSM** (acronyme de **C**ompiz**C**onfig **S**etting **M**anager), présenté ici, vous permettra de profiter de toutes les possibilités offertes par **Compiz**: Cube 3D, Effet "Exposition", effets lors du déplacement, ouverture, fermeture de fenêtres, transitions lors de changement de bureau, transparence des fenêtres, déroulement des menus, etc.\\ | " => suggestions : ['\xa0»', '”']

26 Mot inconnu : CCSM => Si vous ne souhaitez pas modifier la configuration de ceux-ci, l'installation de **CCSM** n'est pas nécessaire. | ccsm

34 Mot inconnu : Compiz => ==== Lancer la configuration de Compiz==== | compiz

39 Mot inconnu : Compiz => ====Lancer Compiz==== | compiz

40 Mot inconnu : Compiz => <note important>L'activation de Compiz va changer en profondeur vos paramètres d'affichage : risque fréquent d'artefact visuel qui devrait disparaître au prochain redémarrage</note> | compiz

56 Mot inconnu : CCSM => <note tip>**CCSM** contient plusieurs centaines de paramètres, il est facile de tout casser. Le plus simple est de: | ccsm

62 Mot inconnu : Unity => ===Particularité pour Ubuntu Unity=== | unity

67 Mot inconnu : Unity => <note help>La touche SUPER correspond à la touche ** Windows ** ou à la touche ** Pomme ** si vous avez un Mac. Sous [[Unity]] il faudra parfois changer certains raccourcis avec la touche SUPER puisqu'elle est dans bien des cas déjà allouée à d'autres fonctions.</note> | unity

80 Guillemets typographiques ouvrants. => Passons à la configuration de cette "Expo". | " => suggestions : ['«\xa0', '“']
80 Guillemets typographiques fermants. => Passons à la configuration de cette "Expo". | " => suggestions : ['\xa0»', '”']

99 Espace(s) en fin de ligne à supprimer. => Maintenant vous pouvez utiliser la combinaison de touches <Ctrl><Alt>%%<%%->%%>, et vous devriez voir votre cube apparaître et tourner vers la droite (<Ctrl><Alt><%%<-%%>%% le fera tourner vers la gauche).  |   => suggestions : ['']

110 Guillemets typographiques ouvrants. => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | " => suggestions : ['«\xa0', '“']
110 Mot inconnu : Reflection => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | reflection
110 Mot inconnu : and => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | and
110 Mot inconnu : deformation => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | deformation
110 Guillemets typographiques fermants. => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | " => suggestions : ['\xa0»', '”']
110 Guillemets typographiques ouvrants. => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | " => suggestions : ['«\xa0', '“']
110 Mot inconnu : Deformation => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | deformation
110 Guillemets typographiques fermants. => Une fois le [[#cube 3D]] activé et configuré, vous pouvez le transformer en cylindre ou sphère. Vous trouverez cette fonctionnalité dans la catégorie **Effets** -> //"Cube Reflection and deformation"// -> Onglet //"Deformation"//. | " => suggestions : ['\xa0»', '”']

114 Espace(s) en fin de ligne à supprimer. => Pour mettre un fond d'écran différent sur chaque bureau,  |   => suggestions : ['']

135 Mot inconnu : Tab => À la combinaison par défaut pour changer de fenêtre (Tab+alt) peut être ajoutée une autre. Dans **Échelle** -> //Assignations//, dans //Lancer le sélecteur de fenêtres// modifiez le raccourci clavier proposé. | tab
135 Mot inconnu : alt => À la combinaison par défaut pour changer de fenêtre (Tab+alt) peut être ajoutée une autre. Dans **Échelle** -> //Assignations//, dans //Lancer le sélecteur de fenêtres// modifiez le raccourci clavier proposé. | alt

138 Espace(s) surnuméraire(s) à supprimer. => ==== Effets raisonnables à appliquer aux fenêtres  ==== |    => suggestions : [' ']

148 Mot inconnu : Compiz => L'une des raisons principales de configurer **Compiz** est le fait que vous pouvez avoir de la vraie transparence (et pas juste une fausse où on ne peut même pas voir ce qui se passe sur la fenêtre du dessous). C'est toujours l'un des effets les plus impressionnants, que l'on puisse  bouger une fenêtre sur le bureau et que cela soit comme une fenêtre réelle à travers laquelle on peut regarder. | compiz
148 Espace(s) surnuméraire(s) à supprimer. => L'une des raisons principales de configurer **Compiz** est le fait que vous pouvez avoir de la vraie transparence (et pas juste une fausse où on ne peut même pas voir ce qui se passe sur la fenêtre du dessous). C'est toujours l'un des effets les plus impressionnants, que l'on puisse  bouger une fenêtre sur le bureau et que cela soit comme une fenêtre réelle à travers laquelle on peut regarder. |    => suggestions : [' ']

157 Mot inconnu : F9 => Par défaut le raccourci clavier pour activer les widgets est **F9**. Vous pouvez modifier la configuration dans l'onglet //Action// du greffon. | f9

160 Accord de nombre erroné avec « la catégorie » : « Extras » devrait être au singulier. => Activer et paramétrer la fonctionnalité **Capture d'écran** qui se trouve dans la catégorie **Extras**. Une fois activé, il suffit de faire touche <SUPER> + clicGauche pour dessiner un rectangle translucide sur l'écran, et cette zone sera capturée. L'image sera sauvée dans le dossier prédéfini (par défaut sur le bureau). | extras => suggestions : ['Extra']
160 Mot inconnu : clicGauche => Activer et paramétrer la fonctionnalité **Capture d'écran** qui se trouve dans la catégorie **Extras**. Une fois activé, il suffit de faire touche <SUPER> + clicGauche pour dessiner un rectangle translucide sur l'écran, et cette zone sera capturée. L'image sera sauvée dans le dossier prédéfini (par défaut sur le bureau). | clicgauche

163 Espace(s) surnuméraire(s) à supprimer. => Activez  la fonctionnalité **firepaint**, le raccourci par défaut est SUPER + SHIFT + Souris et pour effacer SUPER + SHIFT + C. Pour modifier les raccourcis, double clic dessus. |    => suggestions : [' ']
163 Mot inconnu : firepaint => Activez  la fonctionnalité **firepaint**, le raccourci par défaut est SUPER + SHIFT + Souris et pour effacer SUPER + SHIFT + C. Pour modifier les raccourcis, double clic dessus. | firepaint
163 Mot inconnu : SHIFT => Activez  la fonctionnalité **firepaint**, le raccourci par défaut est SUPER + SHIFT + Souris et pour effacer SUPER + SHIFT + C. Pour modifier les raccourcis, double clic dessus. | shift
163 Mot inconnu : SHIFT => Activez  la fonctionnalité **firepaint**, le raccourci par défaut est SUPER + SHIFT + Souris et pour effacer SUPER + SHIFT + C. Pour modifier les raccourcis, double clic dessus. | shift

167 Mot inconnu : maximumize => ==== Étaler (maximumize) ==== | maximumize

168 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Cette Fonctionnalité permet de faire prendre à une fenêtre toute la place disponible sans chevaucher une autre fenêtre. (Il faudra désactiver au préalable l'option Accessibilité - Négatif pour pouvoir utiliser cette fonctionnalité). |  -  => suggestions : [' – ', ' — ', ' − ']
169 Espace(s) en fin de ligne à supprimer. => Les touches de raccourci : SUPER + M  |   => suggestions : ['']

171 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note>Il y a bien sûr plein d'autres fonctionnalités et beaucoup d'options additionnelles à explorer mais je crois que vous avez expérimenté suffisamment pour trouver le reste par vous-même – et tout personnaliser soi-même est bien plus sympa. Amusez vous bien ! |  mais => suggestions : [', mais']
171 Forme interrogative ? Mettez un trait d’union. => <note>Il y a bien sûr plein d'autres fonctionnalités et beaucoup d'options additionnelles à explorer mais je crois que vous avez expérimenté suffisamment pour trouver le reste par vous-même – et tout personnaliser soi-même est bien plus sympa. Amusez vous bien ! | amusez vous => suggestions : ['Amusez-vous']

179 Mot inconnu : Compiz => Sauf à savoir ce que vous faites, ne supprimez pas le paquet **Compiz**. Si vous rencontrez des problèmes, voir [[#désactiver compiz|ci-dessous comment désactiver Compiz proprement]]. | compiz
179 Mot inconnu : compiz => Sauf à savoir ce que vous faites, ne supprimez pas le paquet **Compiz**. Si vous rencontrez des problèmes, voir [[#désactiver compiz|ci-dessous comment désactiver Compiz proprement]]. | compiz
179 Mot inconnu : Compiz => Sauf à savoir ce que vous faites, ne supprimez pas le paquet **Compiz**. Si vous rencontrez des problèmes, voir [[#désactiver compiz|ci-dessous comment désactiver Compiz proprement]]. | compiz

181 Mot inconnu : Compiz => ====Désactiver Compiz==== | compiz

185 Mot inconnu : Metacity => ===Utiliser Metacity=== | metacity
