
3 Mot inconnu : Photoshop => ====== Adobe Photoshop====== | photoshop

5 Mot inconnu : Photoshop => **Adobe Photoshop** n'est pas disponible en version Linux, en tout cas pas à l'heure actuelle, vous pouvez lire leur réponse [[https://adobe.ly/3Jfdi5H|ici]] | photoshop

13 Mot inconnu : Wine => ===== Wine ===== | wine

16 Mot inconnu : Photoshop => Plusieurs versions d'Adobe Photoshop fonctionnent sous Linux avec Wine. À savoir : | photoshop
16 Mot inconnu : Wine => Plusieurs versions d'Adobe Photoshop fonctionnent sous Linux avec Wine. À savoir : | wine

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Photoshop 7]], fonctionnant parfaitement ; |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Photoshop CS2]], fonctionnant correctement ; |    => suggestions : ['']
19 Mot inconnu : CS2 =>   * [[#Photoshop CS2]], fonctionnant correctement ; | cs2

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Photoshop CS3 et CS4]], fonctionnant assez bien ; |    => suggestions : ['']
20 Mot inconnu : CS3 =>   * [[#Photoshop CS3 et CS4]], fonctionnant assez bien ; | cs3
20 Mot inconnu : CS4 =>   * [[#Photoshop CS3 et CS4]], fonctionnant assez bien ; | cs4

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Photoshop CS5]], fonctionnant assez bien. |    => suggestions : ['']
21 Mot inconnu : CS5 =>   * [[#Photoshop CS5]], fonctionnant assez bien. | cs5

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[#Photoshop CS6]], fonctionnant moyennement bien (certains outils font crasher le logiciel) (marche uniquement en version CS6 Portable avec Wine 1.8.x ou plus recent) |    => suggestions : ['']
22 Mot inconnu : CS6 =>   * [[#Photoshop CS6]], fonctionnant moyennement bien (certains outils font crasher le logiciel) (marche uniquement en version CS6 Portable avec Wine 1.8.x ou plus recent) | cs6
22 Mot inconnu : CS6 =>   * [[#Photoshop CS6]], fonctionnant moyennement bien (certains outils font crasher le logiciel) (marche uniquement en version CS6 Portable avec Wine 1.8.x ou plus recent) | cs6
22 Mot inconnu : Wine =>   * [[#Photoshop CS6]], fonctionnant moyennement bien (certains outils font crasher le logiciel) (marche uniquement en version CS6 Portable avec Wine 1.8.x ou plus recent) | wine
22 Mot inconnu : recent =>   * [[#Photoshop CS6]], fonctionnant moyennement bien (certains outils font crasher le logiciel) (marche uniquement en version CS6 Portable avec Wine 1.8.x ou plus recent) | recent

23 Mot inconnu : Wine => les explications qui suivent, impliquent que [[Wine#installation_de_wine|Wine soit installé]].  | wine
23 Mot inconnu : Wine => les explications qui suivent, impliquent que [[Wine#installation_de_wine|Wine soit installé]].  | wine
23 Espace(s) en fin de ligne à supprimer. => les explications qui suivent, impliquent que [[Wine#installation_de_wine|Wine soit installé]].  |   => suggestions : ['']

25 Mot inconnu : Photoshop => Une liste de versions de Photoshop ainsi que leurs niveaux de compatibilité est aussi disponible sur le site de Wine  [[https://appdb.winehq.org/objectManager.php?sClass=application&iId=17|Ici.]] | photoshop
25 Conjugaison erronée. Accord avec “leurs niveaux…”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Une liste de versions de Photoshop ainsi que leurs niveaux de compatibilité est aussi disponible sur le site de Wine  [[https://appdb.winehq.org/objectManager.php?sClass=application&iId=17|Ici.]] | est => suggestions : ['sont']
25 Mot inconnu : Wine => Une liste de versions de Photoshop ainsi que leurs niveaux de compatibilité est aussi disponible sur le site de Wine  [[https://appdb.winehq.org/objectManager.php?sClass=application&iId=17|Ici.]] | wine
25 Espace(s) surnuméraire(s) à supprimer. => Une liste de versions de Photoshop ainsi que leurs niveaux de compatibilité est aussi disponible sur le site de Wine  [[https://appdb.winehq.org/objectManager.php?sClass=application&iId=17|Ici.]] |    => suggestions : [' ']

26 Mot inconnu : Photoshop => ===== Photoshop 7 ===== | photoshop

30 Mot inconnu : Photoshop => Insérez le CD de Photoshop, double-cliquez sur le Setup.exe et installez Photoshop comme sous Windows. | photoshop
30 Mot inconnu : Setup => Insérez le CD de Photoshop, double-cliquez sur le Setup.exe et installez Photoshop comme sous Windows. | setup
30 Mot inconnu : exe => Insérez le CD de Photoshop, double-cliquez sur le Setup.exe et installez Photoshop comme sous Windows. | exe
30 Mot inconnu : Photoshop => Insérez le CD de Photoshop, double-cliquez sur le Setup.exe et installez Photoshop comme sous Windows. | photoshop

32 Mot inconnu : Wine => === Lancement (optionnel si le raccourci est apparu dans Application ⇒ Wine) === | wine

33 Mot inconnu : Wine => Après l'installation, si le raccourci n'est pas apparu dans Application ⇒ Wine, vous créez un raccourci pour pouvoir l'ouvrir plus facilement. | wine

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * clic-droit sur **Applications**, puis **Éditer le menu**. |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisissez alors l'endroit dans lequel vous souhaitez mettre le raccourci  |    => suggestions : ['']
37 Espace(s) en fin de ligne à supprimer. =>   * Choisissez alors l'endroit dans lequel vous souhaitez mettre le raccourci  |   => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * cliquez sur  **Nouvel élément**.\\ //(Vous pouvez également faire un raccourci sur le bureau : clic-droit sur le bureau ⇒ Créer un lanceur.)// |    => suggestions : ['']
