
3 Mot inconnu : rsnapshot => ====== rsnapshot ====== | rsnapshot

5 Mot inconnu : rsnapshot => **rsnapshot** est une application en ligne de commande de sauvegarde écrite en PERL, et basée sur [[rsync]] qui est lui-même un outil standard, puissant et fiable. | rsnapshot
5 Mot inconnu : rsync => **rsnapshot** est une application en ligne de commande de sauvegarde écrite en PERL, et basée sur [[rsync]] qui est lui-même un outil standard, puissant et fiable. | rsync

7 Mot inconnu : rsnapshot => rsnapshot gère les sauvegardes de manière incrémentielle, et permet à la fois de conserver différentes versions d'un fichier (il n'écrase pas les anciennes versions), et d'éviter la duplication physique des fichiers inchangés.\\ | rsnapshot

10 Mot inconnu : rsnapshot => rsnapshot permet de faire des sauvegardes locales (une copie régulière d’un disque sur un autre) ou distantes (via une connexion SSH) ; rsnapshot tourne alors sur le serveur de backup, et la machine qui se voit ainsi sauvegardée est totalement passive, il faut juste qu’elle ait un serveur SSH activé. | rsnapshot
10 Mot inconnu : SSH => rsnapshot permet de faire des sauvegardes locales (une copie régulière d’un disque sur un autre) ou distantes (via une connexion SSH) ; rsnapshot tourne alors sur le serveur de backup, et la machine qui se voit ainsi sauvegardée est totalement passive, il faut juste qu’elle ait un serveur SSH activé. | ssh
10 Mot inconnu : rsnapshot => rsnapshot permet de faire des sauvegardes locales (une copie régulière d’un disque sur un autre) ou distantes (via une connexion SSH) ; rsnapshot tourne alors sur le serveur de backup, et la machine qui se voit ainsi sauvegardée est totalement passive, il faut juste qu’elle ait un serveur SSH activé. | rsnapshot
10 Mot inconnu : backup => rsnapshot permet de faire des sauvegardes locales (une copie régulière d’un disque sur un autre) ou distantes (via une connexion SSH) ; rsnapshot tourne alors sur le serveur de backup, et la machine qui se voit ainsi sauvegardée est totalement passive, il faut juste qu’elle ait un serveur SSH activé. | backup
10 Mot inconnu : SSH => rsnapshot permet de faire des sauvegardes locales (une copie régulière d’un disque sur un autre) ou distantes (via une connexion SSH) ; rsnapshot tourne alors sur le serveur de backup, et la machine qui se voit ainsi sauvegardée est totalement passive, il faut juste qu’elle ait un serveur SSH activé. | ssh

12 Mot inconnu : rsync => Quelques scripts rsync/ssh pourraient évidemment faire la même chose que rsnapshot, mais rsnapshot est fiable et sa configuration triviale, alors pourquoi s’en passer?((Texte tiré d'un article du site geekfault.org)) | rsync
12 Mot inconnu : ssh => Quelques scripts rsync/ssh pourraient évidemment faire la même chose que rsnapshot, mais rsnapshot est fiable et sa configuration triviale, alors pourquoi s’en passer?((Texte tiré d'un article du site geekfault.org)) | ssh
12 Mot inconnu : rsnapshot => Quelques scripts rsync/ssh pourraient évidemment faire la même chose que rsnapshot, mais rsnapshot est fiable et sa configuration triviale, alors pourquoi s’en passer?((Texte tiré d'un article du site geekfault.org)) | rsnapshot
