
4 Mot inconnu : Half-Life [[7:16]] => ====== Half-Life 2 ====== <|> half-life

7 Mot inconnu : Half-Life² [[2:12]] => **Half-Life²** est un jeu de tir subjectif (FPS) commercial sorti en 2004. Il est enfin disponible nativement sous GNU/Linux (en Beta).  <|> half-life²
7 Mot inconnu : FPS [[44:47]] => **Half-Life²** est un jeu de tir subjectif (FPS) commercial sorti en 2004. Il est enfin disponible nativement sous GNU/Linux (en Beta).  <|> fps
7 Mot inconnu : Beta [[129:133]] => **Half-Life²** est un jeu de tir subjectif (FPS) commercial sorti en 2004. Il est enfin disponible nativement sous GNU/Linux (en Beta).  <|> beta
7 Espace(s) en fin de ligne à supprimer. [[135:136]] => **Half-Life²** est un jeu de tir subjectif (FPS) commercial sorti en 2004. Il est enfin disponible nativement sous GNU/Linux (en Beta).  <|>   => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

19 Mot inconnu : Half-Life² [[0:10]] => Half-Life² peut être installé depuis deux versions du jeu : <|> half-life²
20 Mot inconnu : Steam [[93:98]] =>   * <del>Une version « boîte » sur CD multiples ou un seul DVD</del> (Non pris en charge par Steam. Requiert wine) <|> steam
20 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. [[100:108]] =>   * <del>Une version « boîte » sur CD multiples ou un seul DVD</del> (Non pris en charge par Steam. Requiert wine) <|> requiert => suggestions : ['Requiers']
20 Mot inconnu : wine [[109:113]] =>   * <del>Une version « boîte » sur CD multiples ou un seul DVD</del> (Non pris en charge par Steam. Requiert wine) <|> wine

25 Mot inconnu : Steam [[23:28]] => ==== Installation avec Steam (version téléchargée) ==== <|> steam

31 Mot inconnu : Half-Life² [[46:56]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> half-life²
31 Mot inconnu : Steam [[61:66]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> steam
31 Il manque un espace. [[67:71]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> vous => suggestions : [' Vous']
31 Guillemets typographiques ouvrants. [[114:115]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> " => suggestions : ['«\xa0', '“']
31 Mot inconnu : Bibliotèque [[115:126]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> bibliotèque
31 Guillemets typographiques fermants. [[126:127]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> " => suggestions : ['\xa0»', '”']
31 Mot inconnu : Half [[135:139]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> half
31 Mot inconnu : Life² [[140:145]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> life²
31 Guillemets typographiques ouvrants. [[169:170]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. [[175:176]] => Une fois que vous avez téléchargé et installé Half-Life² via Steam,Vous pouvez le démarrer en allant dans votre //"Bibliotèque"// puis Half Life² et enfin cliquer sur //"jouer"//. <|> " => suggestions : ['\xa0»', '”']

35 Mot inconnu : Steam [[30:35]] => Allez dans votre Bibliothèque Steam puis jeux faites un clic droit sur Half life² et cliquez sur //"Supprimer le contenu Local..."// <|> steam
35 Mot inconnu : Half [[71:75]] => Allez dans votre Bibliothèque Steam puis jeux faites un clic droit sur Half life² et cliquez sur //"Supprimer le contenu Local..."// <|> half
35 Mot inconnu : life² [[76:81]] => Allez dans votre Bibliothèque Steam puis jeux faites un clic droit sur Half life² et cliquez sur //"Supprimer le contenu Local..."// <|> life²
35 Guillemets typographiques ouvrants. [[99:100]] => Allez dans votre Bibliothèque Steam puis jeux faites un clic droit sur Half life² et cliquez sur //"Supprimer le contenu Local..."// <|> " => suggestions : ['«\xa0', '“']
35 Typographie : points de suspension. Utilisez le caractère dédié. [[126:129]] => Allez dans votre Bibliothèque Steam puis jeux faites un clic droit sur Half life² et cliquez sur //"Supprimer le contenu Local..."// <|> ... => suggestions : ['…']
35 Guillemets typographiques fermants. [[129:130]] => Allez dans votre Bibliothèque Steam puis jeux faites un clic droit sur Half life² et cliquez sur //"Supprimer le contenu Local..."// <|> " => suggestions : ['\xa0»', '”']
