5 Mot inconnu : PowerDNS => ====== Serveur DNS : PowerDNS ====== | powerdns

7 Mot inconnu : powerDNS => Cet article a pour but de vous présenter comment installer et configurer un serveur DNS en utilisant l'application **powerDNS**. | powerdns

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Qui dit "//bases de données//", dit "//administration facilitée par une interface web//". |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous n'avez pas besoin de recharger le serveur à l'ajout d'une information de nom. Le serveur ira chercher l'information quand vous l'interrogerez. |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En cas de crash système, et pour peu que vous ayez logé votre serveur de bases de données sur un point de montage séparé, vous ne perdrez pas vos données si vous réinstallez complètement votre système. |    => suggestions : ['']
16 Mot inconnu : mysql => <note tip>L'auteur a par exemple logé tous ses serveurs logiciels dans /home : apache, mysql, serveur de courriel dont les boîtes aux lettres sont dans le répertoire de chaque utilisateur...</note> | mysql
16 Typographie : points de suspension. Utilisez le caractère dédié. => <note tip>L'auteur a par exemple logé tous ses serveurs logiciels dans /home : apache, mysql, serveur de courriel dont les boîtes aux lettres sont dans le répertoire de chaque utilisateur...</note> | ... => suggestions : ['…']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous devez maîtriser les bases de TCP/IP. |    => suggestions : ['']
20 Mot inconnu : TCP =>   * Vous devez maîtriser les bases de TCP/IP. | tcp

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... |    => suggestions : ['']
30 Guillemets typographiques ouvrants. =>   * Le réseau local est ''192.168.251.*'' et se nomme ''bureau.lan''. L'utilisation du TLD fictif "lan" est voulue. Vous pouvez utiliser un autre nom e domaine, comme net, maison, home.lan... | '' => suggestions : ['«\xa0', '“']
