6 Mot inconnu : The [[27:30]] => ====== Ubuntu 10.04 LTS (« The Lucid Lynx ») ====== <|> the
23 Guillemets typographiques ouvrants. [[295:296]] => Ubuntu fait peau neuve et se dote d'une toute nouvelle identité visuelle : nouveau logo et nouveau thème de couleurs reflétant une redéfinition de l'objectif d'Ubuntu. L'idée derrière cette nouvelle charte visuelle est la //légèreté// et la //clarté//((Ubuntu joue ici sur le double sens du mot "light" en anglais (légèreté et lumière).)). Ubuntu croit que la légèreté des logiciels et la transparence de leur processus de développement sont des valeurs importantes, afin que vous puissiez exploiter vos ressources matérielles de manière efficace, que vos logiciels fonctionnent rapidement et que votre environnement puisse être défini selon vos besoins propres. Ubuntu représente une scission avec les autres systèmes d'exploitation propriétaires lourds et une opportunité de satisfaire ceux qui utilisent leur ordinateur pour le travail et le divertissement. <|> " => suggestions : « “
23 Guillemets typographiques fermants. [[301:302]] => Ubuntu fait peau neuve et se dote d'une toute nouvelle identité visuelle : nouveau logo et nouveau thème de couleurs reflétant une redéfinition de l'objectif d'Ubuntu. L'idée derrière cette nouvelle charte visuelle est la //légèreté// et la //clarté//((Ubuntu joue ici sur le double sens du mot "light" en anglais (légèreté et lumière).)). Ubuntu croit que la légèreté des logiciels et la transparence de leur processus de développement sont des valeurs importantes, afin que vous puissiez exploiter vos ressources matérielles de manière efficace, que vos logiciels fonctionnent rapidement et que votre environnement puisse être défini selon vos besoins propres. Ubuntu représente une scission avec les autres systèmes d'exploitation propriétaires lourds et une opportunité de satisfaire ceux qui utilisent leur ordinateur pour le travail et le divertissement. <|> " => suggestions :  »”

34 Mot inconnu : One [[21:24]] => ==== Services Ubuntu One ==== <|> one
35 Mot inconnu : One [[30:33]] =>   * Stockage en ligne (Ubuntu One aujourd'hui abandonné) : désormais, n'importe quel répertoire de votre dossier personnel peut être sélectionné pour synchronisation avec votre compte de stockage en ligne Ubuntu One ; <|> one
35 Mot inconnu : One [[212:215]] =>   * Stockage en ligne (Ubuntu One aujourd'hui abandonné) : désormais, n'importe quel répertoire de votre dossier personnel peut être sélectionné pour synchronisation avec votre compte de stockage en ligne Ubuntu One ; <|> one
36 Mot inconnu : One [[11:14]] =>   * Ubuntu One Music Store : le jukebox Rhythmbox 0.12.7 propose l'accès à Ubuntu One Music Store, un magasin de vente de musique en ligne bien intégré à votre système Ubuntu ; <|> one
36 Mot inconnu : Music [[15:20]] =>   * Ubuntu One Music Store : le jukebox Rhythmbox 0.12.7 propose l'accès à Ubuntu One Music Store, un magasin de vente de musique en ligne bien intégré à votre système Ubuntu ; <|> music
36 Mot inconnu : Rhythmbox [[40:49]] =>   * Ubuntu One Music Store : le jukebox Rhythmbox 0.12.7 propose l'accès à Ubuntu One Music Store, un magasin de vente de musique en ligne bien intégré à votre système Ubuntu ; <|> rhythmbox
36 Mot inconnu : One [[82:85]] =>   * Ubuntu One Music Store : le jukebox Rhythmbox 0.12.7 propose l'accès à Ubuntu One Music Store, un magasin de vente de musique en ligne bien intégré à votre système Ubuntu ; <|> one
36 Mot inconnu : Music [[86:91]] =>   * Ubuntu One Music Store : le jukebox Rhythmbox 0.12.7 propose l'accès à Ubuntu One Music Store, un magasin de vente de musique en ligne bien intégré à votre système Ubuntu ; <|> music
44 Mot inconnu : DeviceKit [[38:47]] =>   * Remplacement du composant HAL par DeviceKit, afin notamment d'améliorer le temps de chargement d'Ubuntu et accélérer la mise et la sortie d'hibernation ; <|> devicekit

48 Mot inconnu : DSDT [[48:52]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> dsdt
48 Mot inconnu : Differenciated [[177:191]] => <note important>**Fin de la prise en charge des DSDT modifiées** \\ Depuis le noyau Linux 2.6.26, il n'est plus possible d'injecter une table d'informations système modifiée (//Differenciated System Description Table, DSDT//) de manière automatique dans une image ramdisk (//initrd//). L'insertion d'une DSDT modifiée nécessite une recompilation systématique du noyau à chaque mise à jour proposée. \\ \\ Cette information est surtout pertinente pour les utilisateurs d'Ubuntu 8.04 LTS qui palliaient ainsi des problèmes de BIOS. La mise à niveau vers cette nouvelle version d'Ubuntu peut donc représenter un frein important pour eux: Necessité d'inclure statiquement une DSDT à un noyau recompilé, de recompiler les modules noyau... 5 à 10 heures selon la puissance processeur et la configuration hardware. <|> differenciated
