
10 Mot inconnu : svp [[10:13]] => Complétez svp ces tableaux avec les ordinateurs que vous avez pu tester. <|> svp

19 Mot inconnu : NB30 [[2:6]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> nb30
19 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|>    => suggestions : [' ']
19 Mot inconnu : bluetooth [[38:47]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> bluetooth
19 Mot inconnu : ok [[48:50]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> ok

22 Mot inconnu : NC130 [[2:7]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|> nc130
22 Espace(s) surnuméraire(s) à supprimer. [[7:9]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|>    => suggestions : [' ']
22 Mot inconnu : Karmic [[47:53]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|> karmic

49 Mot inconnu : Q40 [[2:5]] => | Q40  |  |  |  | ok sur 9.04 | <|> q40
49 Espace(s) surnuméraire(s) à supprimer. [[5:7]] => | Q40  |  |  |  | ok sur 9.04 | <|>    => suggestions : [' ']
49 Mot inconnu : ok [[18:20]] => | Q40  |  |  |  | ok sur 9.04 | <|> ok

50 Mot inconnu : Q210 [[2:6]] => | Q210 |  |  |  | Ok sur 9.10. Presque aucun souci constaté. Seule l'activation des pilotes Nvidia propriétaires crée un problème au niveau des touches de réglage de la luminosité. Il faut utiliser Nvclock pour effectuer ce réglage. | <|> q210
50 Mot inconnu : Ok [[18:20]] => | Q210 |  |  |  | Ok sur 9.10. Presque aucun souci constaté. Seule l'activation des pilotes Nvidia propriétaires crée un problème au niveau des touches de réglage de la luminosité. Il faut utiliser Nvclock pour effectuer ce réglage. | <|> ok
50 Mot inconnu : Nvclock [[198:205]] => | Q210 |  |  |  | Ok sur 9.10. Presque aucun souci constaté. Seule l'activation des pilotes Nvidia propriétaires crée un problème au niveau des touches de réglage de la luminosité. Il faut utiliser Nvclock pour effectuer ce réglage. | <|> nvclock

51 Mot inconnu : Q310 [[2:6]] => | Q310  |  |  |  | ok sur 9.04. Presque tout fonctionne bien et immédiatement, sauf les mises en veille (veille et hibernation) qui nécessitent apparemment l'installation des pilotes propriétaires Nvidia. Une fois installés, plus de problème. En revanche les touches de réglage de la luminosité (FN Down/Up) ont une fâcheuse tendance à geler le clavier, bug qui semble dû à l'installation des pilotes propriétaires... | <|> q310
51 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | Q310  |  |  |  | ok sur 9.04. Presque tout fonctionne bien et immédiatement, sauf les mises en veille (veille et hibernation) qui nécessitent apparemment l'installation des pilotes propriétaires Nvidia. Une fois installés, plus de problème. En revanche les touches de réglage de la luminosité (FN Down/Up) ont une fâcheuse tendance à geler le clavier, bug qui semble dû à l'installation des pilotes propriétaires... | <|>    => suggestions : [' ']
51 Mot inconnu : ok [[19:21]] => | Q310  |  |  |  | ok sur 9.04. Presque tout fonctionne bien et immédiatement, sauf les mises en veille (veille et hibernation) qui nécessitent apparemment l'installation des pilotes propriétaires Nvidia. Une fois installés, plus de problème. En revanche les touches de réglage de la luminosité (FN Down/Up) ont une fâcheuse tendance à geler le clavier, bug qui semble dû à l'installation des pilotes propriétaires... | <|> ok
