
4 Mot inconnu : Scantool => ====== Scantool - logiciel de diagnostic automobile ===== | scantool
4 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Scantool - logiciel de diagnostic automobile ===== |  -  => suggestions : [' – ', ' — ', ' − ']

7 Mot inconnu : Scantool => Scantool est un logiciel open-source conçu par les développeurs de ScanTool.net qui permet de réaliser le diagnostic d'une automobile. | scantool
7 Mot inconnu : ScanTool => Scantool est un logiciel open-source conçu par les développeurs de ScanTool.net qui permet de réaliser le diagnostic d'une automobile. | scantool

9 Guillemets typographiques ouvrants. => Il s'utilise avec un "câble" OBD-II. Ce "câble" convertit un signal CAN-bus en RS-232 (port série). Les données reçues sont alors analysées par le logiciel. | " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Il s'utilise avec un "câble" OBD-II. Ce "câble" convertit un signal CAN-bus en RS-232 (port série). Les données reçues sont alors analysées par le logiciel. | " => suggestions : ['\xa0»', '”']
9 Mot inconnu : OBD-II => Il s'utilise avec un "câble" OBD-II. Ce "câble" convertit un signal CAN-bus en RS-232 (port série). Les données reçues sont alors analysées par le logiciel. | obd-ii
9 Guillemets typographiques ouvrants. => Il s'utilise avec un "câble" OBD-II. Ce "câble" convertit un signal CAN-bus en RS-232 (port série). Les données reçues sont alors analysées par le logiciel. | " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Il s'utilise avec un "câble" OBD-II. Ce "câble" convertit un signal CAN-bus en RS-232 (port série). Les données reçues sont alors analysées par le logiciel. | " => suggestions : ['\xa0»', '”']
9 Mot inconnu : RS-232 => Il s'utilise avec un "câble" OBD-II. Ce "câble" convertit un signal CAN-bus en RS-232 (port série). Les données reçues sont alors analysées par le logiciel. | rs-232

12 Mot inconnu : scantool => Le paquet scantool est disponible dans le dépôt officiel d'ubuntu, il suffit de l'installer via synaptic, avec aptget ou un autre logiciel de gestion de paquets.... | scantool
12 Mot inconnu : synaptic => Le paquet scantool est disponible dans le dépôt officiel d'ubuntu, il suffit de l'installer via synaptic, avec aptget ou un autre logiciel de gestion de paquets.... | synaptic
12 Mot inconnu : aptget => Le paquet scantool est disponible dans le dépôt officiel d'ubuntu, il suffit de l'installer via synaptic, avec aptget ou un autre logiciel de gestion de paquets.... | aptget
12 Typographie : points de suspension. Utilisez le caractère dédié. => Le paquet scantool est disponible dans le dépôt officiel d'ubuntu, il suffit de l'installer via synaptic, avec aptget ou un autre logiciel de gestion de paquets.... | .... => suggestions : ['…']

15 Mot inconnu : COM1 => L'application a été initialement écrite pour DOS, c'est pourquoi la configuration interne utilise les ports COM1, COM2, ... | com1
15 Mot inconnu : COM2 => L'application a été initialement écrite pour DOS, c'est pourquoi la configuration interne utilise les ports COM1, COM2, ... | com2
15 Une de ces ponctuations est superflue. => L'application a été initialement écrite pour DOS, c'est pourquoi la configuration interne utilise les ports COM1, COM2, ... | , . => suggestions : [',', '.']
15 Typographie : points de suspension. Utilisez le caractère dédié. => L'application a été initialement écrite pour DOS, c'est pourquoi la configuration interne utilise les ports COM1, COM2, ... | ... => suggestions : ['…']

17 Mot inconnu : COM1 => Pour contourner le problème sous Linux, la sélection du port COM1 tentera de se connecter à /dev/ttyUSB0 puis /dev/ttyS0, COM2 de se connecter à /dev/ttyUSB1 puis /dev/ttyS1, . | com1
17 Mot inconnu : COM2 => Pour contourner le problème sous Linux, la sélection du port COM1 tentera de se connecter à /dev/ttyUSB0 puis /dev/ttyS0, COM2 de se connecter à /dev/ttyUSB1 puis /dev/ttyS1, . | com2
17 Une de ces ponctuations est superflue. => Pour contourner le problème sous Linux, la sélection du port COM1 tentera de se connecter à /dev/ttyUSB0 puis /dev/ttyS0, COM2 de se connecter à /dev/ttyUSB1 puis /dev/ttyS1, . | , . => suggestions : [',', '.']

21 Mot inconnu : OBD => <note help>Si la connexion avec le périphérique OBD échoue, tenter de démarrer Scantool avec les droits administrateurs.</note> | obd
21 Mot inconnu : Scantool => <note help>Si la connexion avec le périphérique OBD échoue, tenter de démarrer Scantool avec les droits administrateurs.</note> | scantool

23 Mot inconnu : ScanTool => Site officiel ScanTool.net : [[http://www.scantool.net]] | scantool
