
3 Mot inconnu : Birth => ====== Birth of America II ====== | birth
3 Mot inconnu : of => ====== Birth of America II ====== | of
3 Mot inconnu : America => ====== Birth of America II ====== | america

8 Mot inconnu : BOAII => BOAII est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : | boaii
8 Mot inconnu : Ageod => BOAII est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : | ageod
8 Guillemets typographiques ouvrants. => BOAII est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : | " => suggestions : ['«\xa0', '“']
8 Guillemets typographiques fermants. => BOAII est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : | " => suggestions : ['\xa0»', '”']

10 Guillemets typographiques ouvrants. => "Dans Birth of America (Naissance de l'Amérique), le joueur contrôle la destinée de l'un des principaux opposants dans ces deux conflits, et essaie d'atteindre la victoire militaire et politique. C'est une simulation assez complète et détaillée des deux guerres les plus importantes dans l'Amérique coloniale - entre 1755 et 1783 - mais traitée grâce à un nouveau moteur en tour par tour simultané simple et élégant. | " => suggestions : ['«\xa0', '“']
10 Mot inconnu : Birth => "Dans Birth of America (Naissance de l'Amérique), le joueur contrôle la destinée de l'un des principaux opposants dans ces deux conflits, et essaie d'atteindre la victoire militaire et politique. C'est une simulation assez complète et détaillée des deux guerres les plus importantes dans l'Amérique coloniale - entre 1755 et 1783 - mais traitée grâce à un nouveau moteur en tour par tour simultané simple et élégant. | birth
10 Mot inconnu : of => "Dans Birth of America (Naissance de l'Amérique), le joueur contrôle la destinée de l'un des principaux opposants dans ces deux conflits, et essaie d'atteindre la victoire militaire et politique. C'est une simulation assez complète et détaillée des deux guerres les plus importantes dans l'Amérique coloniale - entre 1755 et 1783 - mais traitée grâce à un nouveau moteur en tour par tour simultané simple et élégant. | of
10 Mot inconnu : America => "Dans Birth of America (Naissance de l'Amérique), le joueur contrôle la destinée de l'un des principaux opposants dans ces deux conflits, et essaie d'atteindre la victoire militaire et politique. C'est une simulation assez complète et détaillée des deux guerres les plus importantes dans l'Amérique coloniale - entre 1755 et 1783 - mais traitée grâce à un nouveau moteur en tour par tour simultané simple et élégant. | america
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => "Dans Birth of America (Naissance de l'Amérique), le joueur contrôle la destinée de l'un des principaux opposants dans ces deux conflits, et essaie d'atteindre la victoire militaire et politique. C'est une simulation assez complète et détaillée des deux guerres les plus importantes dans l'Amérique coloniale - entre 1755 et 1783 - mais traitée grâce à un nouveau moteur en tour par tour simultané simple et élégant. |  -  => suggestions : [' – ', ' — ', ' − ']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => "Dans Birth of America (Naissance de l'Amérique), le joueur contrôle la destinée de l'un des principaux opposants dans ces deux conflits, et essaie d'atteindre la victoire militaire et politique. C'est une simulation assez complète et détaillée des deux guerres les plus importantes dans l'Amérique coloniale - entre 1755 et 1783 - mais traitée grâce à un nouveau moteur en tour par tour simultané simple et élégant. |  -  => suggestions : [' – ', ' — ', ' − ']

12 Mot inconnu : Echelle => Echelle: toute l'Amérique du Nord de la Floride au Québec et de la Nouvelle-Angleterre au Mississipi, entre 1755 et 1783. La carte du jeu est divisée en plus de 700 provinces, avec une large diversité de terrains, climats et niveaux de développement. | echelle
12 Mot inconnu : Mississipi => Echelle: toute l'Amérique du Nord de la Floride au Québec et de la Nouvelle-Angleterre au Mississipi, entre 1755 et 1783. La carte du jeu est divisée en plus de 700 provinces, avec une large diversité de terrains, climats et niveaux de développement. | mississipi

14 Avec une unité de mesure, mettez un espace insécable. => Il y a deux camps qui s'opposent dans chacun des 10 scénarios du jeu. Les tours de jeu correspondent à un mois de temps réel. La durée des scénarios peut varier de quelques mois à presque 9 ans. Les joueurs prennent essentiellement en charge l'activité militaire de leur nation. Cela inclut tous les mouvements, mais aussi les levées de forces, la construction de forts et dépôts, les sièges et blocus, les raids sur les villages ennemis et les batailles, tant sur terre que sur mer. | 9 ans => suggestions : ['9\xa0ans']

17 Mot inconnu : Wine => ===== Installation de Wine & DirectX ===== | wine
17 Mot inconnu : DirectX => ===== Installation de Wine & DirectX ===== | directx

20 Mot inconnu : BOAII => ===== Installation de BOAII ===== | boaii

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le site officiel : [[http://www.ageod.com|http://www.ageod.com]] |    => suggestions : ['']
