
3 Mot inconnu : Wars [[11:15]] => ======Blob Wars 2 Blob & Conquer====== <|> wars
3 Accord de nombre erroné avec « 2 » : « Blob » devrait être au pluriel. [[18:22]] => ======Blob Wars 2 Blob & Conquer====== <|> blob => suggestions : ['Blobs']
3 Mot inconnu : Conquer [[25:32]] => ======Blob Wars 2 Blob & Conquer====== <|> conquer

5 Pas d’espace avant une virgule. [[121:123]] => .cette suite est entièrement en 3D et Bob est désormais accompagné dans ses missions par un certain nombre d'autres blobs , principalement connu comme un sidekick Teeka. Le jeu propose un complot beaucoup plus complexe que le jeu précédent et qui contient un certain nombre de cinématiques temps statique et réel. <|>  , => suggestions : [',']
5 Mot inconnu : sidekick [[154:162]] => .cette suite est entièrement en 3D et Bob est désormais accompagné dans ses missions par un certain nombre d'autres blobs , principalement connu comme un sidekick Teeka. Le jeu propose un complot beaucoup plus complexe que le jeu précédent et qui contient un certain nombre de cinématiques temps statique et réel. <|> sidekick
5 Mot inconnu : Teeka [[163:168]] => .cette suite est entièrement en 3D et Bob est désormais accompagné dans ses missions par un certain nombre d'autres blobs , principalement connu comme un sidekick Teeka. Le jeu propose un complot beaucoup plus complexe que le jeu précédent et qui contient un certain nombre de cinématiques temps statique et réel. <|> teeka

7 Pas d’espace avant une virgule. [[57:59]] => Le jeu a été développé sur une période d'environ deux ans , est écrit en C++ et utilise SDL pour son entrée audio et de contrôle et OpenGL pour le rendu de ses graphismes. <|>  , => suggestions : [',']
7 Mot inconnu : SDL [[88:91]] => Le jeu a été développé sur une période d'environ deux ans , est écrit en C++ et utilise SDL pour son entrée audio et de contrôle et OpenGL pour le rendu de ses graphismes. <|> sdl
7 Mot inconnu : OpenGL [[132:138]] => Le jeu a été développé sur une période d'environ deux ans , est écrit en C++ et utilise SDL pour son entrée audio et de contrôle et OpenGL pour le rendu de ses graphismes. <|> opengl

9 Mot inconnu : video [[54:59]] => [[https://www.youtube.com/watch?v=Ai0TJ357VAM|Voir en video]] <|> video
