
3 Mot inconnu : Guake => ====== Guake ====== | guake

13 Mot inconnu : guake => =====Lancer automatiquement guake ===== | guake

14 Mot inconnu : Guake => Dans la version 0.4.2, le terminal Guake est déjà ajouté aux applications au démarrage lors de l'installation. | guake

23 Mot inconnu : guake => Pour modifier la configuration de guake, aller dans le menu : **Système > Guake Preferences** | guake
23 Mot inconnu : Guake => Pour modifier la configuration de guake, aller dans le menu : **Système > Guake Preferences** | guake
23 Mot inconnu : Preferences => Pour modifier la configuration de guake, aller dans le menu : **Système > Guake Preferences** | preferences

25 Mot inconnu : Guake => ==== Modification de la largeur (Guake 0.4.2) ==== | guake

28 Guillemets typographiques ouvrants. => Recherchez maintenant la ligne "width = 100" (à priori ligne 817), et remplacez "100" par la valeur (en pourcentage) que vous souhaitez obtenir. Il ne vous reste plus qu'à enregistrer le fichier, fermer Guake et le relancer. | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : width => Recherchez maintenant la ligne "width = 100" (à priori ligne 817), et remplacez "100" par la valeur (en pourcentage) que vous souhaitez obtenir. Il ne vous reste plus qu'à enregistrer le fichier, fermer Guake et le relancer. | width
28 Guillemets typographiques fermants. => Recherchez maintenant la ligne "width = 100" (à priori ligne 817), et remplacez "100" par la valeur (en pourcentage) que vous souhaitez obtenir. Il ne vous reste plus qu'à enregistrer le fichier, fermer Guake et le relancer. | " => suggestions : ['\xa0»', '”']
28 Guillemets typographiques ouvrants. => Recherchez maintenant la ligne "width = 100" (à priori ligne 817), et remplacez "100" par la valeur (en pourcentage) que vous souhaitez obtenir. Il ne vous reste plus qu'à enregistrer le fichier, fermer Guake et le relancer. | " => suggestions : ['«\xa0', '“']
28 Guillemets typographiques fermants. => Recherchez maintenant la ligne "width = 100" (à priori ligne 817), et remplacez "100" par la valeur (en pourcentage) que vous souhaitez obtenir. Il ne vous reste plus qu'à enregistrer le fichier, fermer Guake et le relancer. | " => suggestions : ['\xa0»', '”']
28 Mot inconnu : Guake => Recherchez maintenant la ligne "width = 100" (à priori ligne 817), et remplacez "100" par la valeur (en pourcentage) que vous souhaitez obtenir. Il ne vous reste plus qu'à enregistrer le fichier, fermer Guake et le relancer. | guake

30 Mot inconnu : __fermer__ => <note importante>Pour que la nouvelle largeur soit prise en compte, Il faut __fermer__ le logiciel Guake, pas uniquement masquer sa fenêtre ! Le plus simple est de faire un clic droit directement dans Guake (ou sur son icône dans la barre de tâche), puis choisir "Quitter".</note> | __fermer__
30 Mot inconnu : Guake => <note importante>Pour que la nouvelle largeur soit prise en compte, Il faut __fermer__ le logiciel Guake, pas uniquement masquer sa fenêtre ! Le plus simple est de faire un clic droit directement dans Guake (ou sur son icône dans la barre de tâche), puis choisir "Quitter".</note> | guake
30 Mot inconnu : Guake => <note importante>Pour que la nouvelle largeur soit prise en compte, Il faut __fermer__ le logiciel Guake, pas uniquement masquer sa fenêtre ! Le plus simple est de faire un clic droit directement dans Guake (ou sur son icône dans la barre de tâche), puis choisir "Quitter".</note> | guake
30 Guillemets typographiques ouvrants. => <note importante>Pour que la nouvelle largeur soit prise en compte, Il faut __fermer__ le logiciel Guake, pas uniquement masquer sa fenêtre ! Le plus simple est de faire un clic droit directement dans Guake (ou sur son icône dans la barre de tâche), puis choisir "Quitter".</note> | " => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. => <note importante>Pour que la nouvelle largeur soit prise en compte, Il faut __fermer__ le logiciel Guake, pas uniquement masquer sa fenêtre ! Le plus simple est de faire un clic droit directement dans Guake (ou sur son icône dans la barre de tâche), puis choisir "Quitter".</note> | " => suggestions : ['\xa0»', '”']

32 Mot inconnu : guake => ==== Erreur lors du premier démarrage (guake v1.0 et suivantes) ==== | guake
32 Mot inconnu : v1 => ==== Erreur lors du premier démarrage (guake v1.0 et suivantes) ==== | v1

36 Mot inconnu : Guake => Il est conseillé de démarrer Guake en ligne de commande lors de sa première utilisation. En effet une erreur en rapport avec gconf peut apparaître. | guake
36 Mot inconnu : gconf => Il est conseillé de démarrer Guake en ligne de commande lors de sa première utilisation. En effet une erreur en rapport avec gconf peut apparaître. | gconf

44 Mot inconnu : ssl_port => <file>ssl_port = self.client.get_string('/system/proxy/secure_port')</file> | ssl_port
