1 Mot inconnu : Centrify [[7:15]] => ====== Centrify ====== <|> centrify

7 Mot inconnu : _Le [[0:3]] => _Le nom d'utilisateur et mot de passe d'un compte Active Directory. <|> _le
7 Mot inconnu : Directory [[57:66]] => _Le nom d'utilisateur et mot de passe d'un compte Active Directory. <|> directory

9 Mot inconnu : _Les [[0:4]] => _Les droits administrateur pour installer des paquets. <|> _les

11 Mot inconnu : _le [[0:3]] => _le dépôt partner d'activé. <|> _le
11 Mot inconnu : partner [[10:17]] => _le dépôt partner d'activé. <|> partner
11 Le verbe devrait être à l’infinitif. [[20:26]] => _le dépôt partner d'activé. <|> activé => suggestions : activer

15 Guillemets typographiques ouvrants. [[30:31]] => Vérifier la présence du dépôt "Partner" dans votre fichier "/etc/apt/sources.list", puis installer le paquet : <|> " => suggestions : « “
15 Mot inconnu : Partner [[31:38]] => Vérifier la présence du dépôt "Partner" dans votre fichier "/etc/apt/sources.list", puis installer le paquet : <|> partner
15 Guillemets typographiques fermants. [[38:39]] => Vérifier la présence du dépôt "Partner" dans votre fichier "/etc/apt/sources.list", puis installer le paquet : <|> " => suggestions :  »”

23 Guillemets typographiques ouvrants. [[10:11]] => Remplacer "domaine.nom" et "utilisateur" par les paramètres de votre AD. <|> " => suggestions : « “
23 Il manque un espace. [[19:22]] => Remplacer "domaine.nom" et "utilisateur" par les paramètres de votre AD. <|> nom => suggestions :  nom
23 Guillemets typographiques fermants. [[22:23]] => Remplacer "domaine.nom" et "utilisateur" par les paramètres de votre AD. <|> " => suggestions :  »”
23 Guillemets typographiques ouvrants. [[27:28]] => Remplacer "domaine.nom" et "utilisateur" par les paramètres de votre AD. <|> " => suggestions : « “
23 Guillemets typographiques fermants. [[39:40]] => Remplacer "domaine.nom" et "utilisateur" par les paramètres de votre AD. <|> " => suggestions :  »”
27 Mot inconnu : TTY [[120:123]] => Pour se connecter avec un utilisateur du domaine sur la machine ubuntu, aller à l'écran de connexion ou sur un terminal/TTY et taper le domaine\votre nom d'utilisateur AD suivi de son mot de passe AD. Un home lui sera créer lors de la première utilisation, un redémarrage est parfois nécessaire avec GDM. <|> tty
27 Après “être”, le verbe ne devrait pas être à l’infinitif. [[218:223]] => Pour se connecter avec un utilisateur du domaine sur la machine ubuntu, aller à l'écran de connexion ou sur un terminal/TTY et taper le domaine\votre nom d'utilisateur AD suivi de son mot de passe AD. Un home lui sera créer lors de la première utilisation, un redémarrage est parfois nécessaire avec GDM. <|> créer => suggestions : créécrééecrééescréés
27 Mot inconnu : GDM [[300:303]] => Pour se connecter avec un utilisateur du domaine sur la machine ubuntu, aller à l'écran de connexion ou sur un terminal/TTY et taper le domaine\votre nom d'utilisateur AD suivi de son mot de passe AD. Un home lui sera créer lors de la première utilisation, un redémarrage est parfois nécessaire avec GDM. <|> gdm
