
5 Mot inconnu : Rainy => ====== Rainy ====== | rainy

7 Mot inconnu : hebergé => \\ Il peut facilement être hebergé sur votre serveur personnel, NAS ou RaspberryPi, et vous permet le garder le contrôle sur vos données. | hebergé
7 Mot inconnu : NAS => \\ Il peut facilement être hebergé sur votre serveur personnel, NAS ou RaspberryPi, et vous permet le garder le contrôle sur vos données. | nas
7 Mot inconnu : RaspberryPi => \\ Il peut facilement être hebergé sur votre serveur personnel, NAS ou RaspberryPi, et vous permet le garder le contrôle sur vos données. | raspberrypi

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note>Il est conseillé d'installer **mono-complete** pour éviter les exceptions de bibliothèque manquante.</note> |   => suggestions : ['']
15 Mot inconnu : mono-complete =>  <note>Il est conseillé d'installer **mono-complete** pour éviter les exceptions de bibliothèque manquante.</note> | mono-complete

18 Mot inconnu : Rainy => Rainy n'est pas encore disponible dans les dépôts officiels, on peut utiliser | rainy

19 Mot inconnu : GitHub => Récupérer la dernière version disponible sur le [[https://github.com/Dynalon/Rainy/releases/|GitHub de Rainy]] | github
19 Mot inconnu : Rainy => Récupérer la dernière version disponible sur le [[https://github.com/Dynalon/Rainy/releases/|GitHub de Rainy]] | rainy

26 Mot inconnu : Editer => === Editer settings.conf === | editer
26 Mot inconnu : settings => === Editer settings.conf === | settings
26 Il manque un espace. => === Editer settings.conf === | conf => suggestions : [' conf']

31 Mot inconnu : password => # password for the administration web interface | password
31 Mot inconnu : the => # password for the administration web interface | the

32 Mot inconnu : AdminPassword => AdminPassword: "VOTRE_MOT_DE_PASSE", | adminpassword
32 Guillemets typographiques ouvrants. => AdminPassword: "VOTRE_MOT_DE_PASSE", | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : VOTRE_MOT_DE_PASSE => AdminPassword: "VOTRE_MOT_DE_PASSE", | votre_mot_de_passe
32 Guillemets typographiques fermants. => AdminPassword: "VOTRE_MOT_DE_PASSE", | " => suggestions : ['\xa0»', '”']

34 Mot inconnu : parametrer => Et parametrer le chemin ou seront stockée les données (par défaut: "./data/"):  | parametrer
34 Guillemets fermants. => Et parametrer le chemin ou seront stockée les données (par défaut: "./data/"):  |  " => suggestions : ['\xa0»', '”']
34 Espace(s) en fin de ligne à supprimer. => Et parametrer le chemin ou seront stockée les données (par défaut: "./data/"):  |   => suggestions : ['']

36 Mot inconnu : the => # the path used for data storage (notes, metadata, ssl certs), | the
36 Mot inconnu : path => # the path used for data storage (notes, metadata, ssl certs), | path
36 Mot inconnu : used => # the path used for data storage (notes, metadata, ssl certs), | used
36 Mot inconnu : storage => # the path used for data storage (notes, metadata, ssl certs), | storage
36 Mot inconnu : metadata => # the path used for data storage (notes, metadata, ssl certs), | metadata
36 Mot inconnu : ssl => # the path used for data storage (notes, metadata, ssl certs), | ssl
36 Mot inconnu : certs => # the path used for data storage (notes, metadata, ssl certs), | certs

37 Mot inconnu : writable => # must be writable. | writable

38 Mot inconnu : empty => # if empty, the current directory is used | empty
38 Mot inconnu : the => # if empty, the current directory is used | the
38 Mot inconnu : current => # if empty, the current directory is used | current
38 Mot inconnu : directory => # if empty, the current directory is used | directory
38 Mot inconnu : is => # if empty, the current directory is used | is
38 Mot inconnu : used => # if empty, the current directory is used | used

39 Mot inconnu : DataPath => DataPath: "./data/", | datapath
39 Guillemets fermants. => DataPath: "./data/", |  " => suggestions : ['\xa0»', '”']

41 Mot inconnu : Parametrage => === Parametrage SSL=== | parametrage
41 Mot inconnu : SSL => === Parametrage SSL=== | ssl

42 Mot inconnu : FIXME => FIXME | fixme

44 Mot inconnu : Rainy => === Lancer Rainy === | rainy

45 Mot inconnu : Rainy => Pour lancer Rainy, entrer dans un terminal: | rainy

49 Mot inconnu : debugger => Si vous voulez le mode bavard pour debugger, vous pouvez changer le niveau de log avec l'option -vvvv. | debugger
49 Il manque un espace à côté du tiret. => Si vous voulez le mode bavard pour debugger, vous pouvez changer le niveau de log avec l'option -vvvv. |  - => suggestions : [' – ', ' — ']
