12 Mot inconnu : Download => Vous pouvez directement télécharger le code en cliquant sur « [[https://sourceforge.net/p/hurrican/code/HEAD/tarball|Download Snapshot]] ». | download
12 Mot inconnu : Snapshot => Vous pouvez directement télécharger le code en cliquant sur « [[https://sourceforge.net/p/hurrican/code/HEAD/tarball|Download Snapshot]] ». | snapshot
22 Mot inconnu : hurrican-code => Le code est téléchargé dans le dossier « hurrican-code. » | hurrican-code

28 Mot inconnu : make => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | make
28 Mot inconnu : libsdl1 => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | libsdl1
28 Mot inconnu : dev => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | dev
28 Mot inconnu : libsdl-image1 => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | libsdl-image1
28 Mot inconnu : dev => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | dev
28 Mot inconnu : libsdl-mixer1 => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | libsdl-mixer1
28 Mot inconnu : dev => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | dev
28 Mot inconnu : libmodplug-dev => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | libmodplug-dev
28 Mot inconnu : libegl1-mesa-dev => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | libegl1-mesa-dev
28 Mot inconnu : libgl2ps-dev => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | libgl2ps-dev
28 Mot inconnu : libcogl-gles2-dev => Il faut installer make, g++, libsdl1.2-dev, libsdl-image1.2-dev, libsdl-mixer1.2-dev, libmodplug-dev, libegl1-mesa-dev, libgl2ps-dev libcogl-gles2-dev | libcogl-gles2-dev

42 Mot inconnu : src => Entrez dans le dossier src, ouvrez un terminal et tapez : | src

54 Mot inconnu : hurricanlinux => Pour jouer, cliquez sur le fichier //hurricanlinux//. Le lancement du jeu ne comporte pas de difficulté particulière. Vous pouvez par exemple régler le détail de l'image et les contrôles (clavier ou manette). Les manettes de type Xbox 360 fonctionnent parfaitement. | hurricanlinux
54 Mot inconnu : Xbox => Pour jouer, cliquez sur le fichier //hurricanlinux//. Le lancement du jeu ne comporte pas de difficulté particulière. Vous pouvez par exemple régler le détail de l'image et les contrôles (clavier ou manette). Les manettes de type Xbox 360 fonctionnent parfaitement. | xbox
