
4 Mot inconnu : Compiz => ====== Compiz: Extensions supplémentaires====== | compiz

5 Espace(s) en fin de ligne à supprimer. => <note warning>  |   => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les liens de téléchargements ne sont plus valides. |    => suggestions : ['']

20 Espace(s) en fin de ligne à supprimer. => ====Installation des bibliothèques pour la compilation des extensions supplémentaires====  |   => suggestions : ['']

22 Mot inconnu : LTS => Pour **Ubuntu 8.04 LTS** ou **Ubuntu 9.04** et aussi les versions de **Kubuntu** correspondantes : | lts

27 Mot inconnu : compiz-bcop => <note tip>Ne pas installer **compiz-bcop**, comme on le voit dans certaines documentations.</note> | compiz-bcop

29 Mot inconnu : Screensaver => ====Plugins additionnels Screensaver==== | screensaver

33 Mot inconnu : Screensaver => **Screensaver** est un écran de veille permettant d'avoir le cube de compiz-fusion en rotation. | screensaver
33 Mot inconnu : compiz-fusion => **Screensaver** est un écran de veille permettant d'avoir le cube de compiz-fusion en rotation. | compiz-fusion

35 Accord de nombre erroné : « Plugins » devrait être au singulier. => Pour **Installation** du **Plugins** indiquer dans un terminal : | plugins => suggestions : ['Plugin']

48 Mot inconnu : Atlantis2 => ====Plugins additionnels Atlantis2==== | atlantis2

52 Mot inconnu : Atlantis2 => **Atlantis2** est un aquarium permettant d'avoir certains animaux marins à l'intérieur du cube  | atlantis2
52 Espace(s) en fin de ligne à supprimer. => **Atlantis2** est un aquarium permettant d'avoir certains animaux marins à l'intérieur du cube  |   => suggestions : ['']

54 Accord de nombre erroné : « Plugins » devrait être au singulier. => Pour **Installation** du **Plugins** indiquer dans un terminal : | plugins => suggestions : ['Plugin']

67 Mot inconnu : Rubik's => ====Plugins additionnels Rubik's cube==== | rubik's

71 Mot inconnu : Rubik's => **Rubik's cube** est un plugin permettant de transformer le cube de compiz-fusion en rubik's Cube | rubik's
71 Mot inconnu : compiz-fusion => **Rubik's cube** est un plugin permettant de transformer le cube de compiz-fusion en rubik's Cube | compiz-fusion
71 Mot inconnu : rubik's => **Rubik's cube** est un plugin permettant de transformer le cube de compiz-fusion en rubik's Cube | rubik's

86 Mot inconnu : Freewins => ====Plugins additionnels Freewins==== | freewins

90 Mot inconnu : Freewins => **Freewins** est un plugins permettant d'avoir l'effet Aero Glass de windows vista. | freewins
90 Accord de nombre erroné : « plugins » devrait être au singulier. => **Freewins** est un plugins permettant d'avoir l'effet Aero Glass de windows vista. | plugins => suggestions : ['plugin']
90 Mot inconnu : Aero => **Freewins** est un plugins permettant d'avoir l'effet Aero Glass de windows vista. | aero
90 Mot inconnu : vista => **Freewins** est un plugins permettant d'avoir l'effet Aero Glass de windows vista. | vista

92 Accord de nombre erroné : « Plugins » devrait être au singulier. => Pour **Installation** du **Plugins** indiquer dans un terminal : | plugins => suggestions : ['Plugin']

104 Mot inconnu : Stackswitch => ====Plugins additionnels Stackswitch==== | stackswitch

106 Mot inconnu : Stackswitch => **Stackswitch** est un plugins permettant de basculer entre les applications (alt+tab).  | stackswitch
106 Accord de nombre erroné : « plugins » devrait être au singulier. => **Stackswitch** est un plugins permettant de basculer entre les applications (alt+tab).  | plugins => suggestions : ['plugin']
106 Mot inconnu : alt => **Stackswitch** est un plugins permettant de basculer entre les applications (alt+tab).  | alt
