
4 Mot inconnu : PDFChain => ====== PDFChain ====== | pdfchain

6 Mot inconnu : PDFChain => **PDFChain** est un programme en ligne de commande permettant d'effectuer certaines manipulations de documents PDF. Il peut fusionner des documents, les séparer, y ajouter des arrière-plans, des tampons ou des pièces jointes. Il fournit également des outils plus avancés. | pdfchain

10 Mot inconnu : PDFChain => PDFChain est l'interface graphique de l’outil en ligne de commande PDF Toolkit (PDFtk). | pdfchain
10 Mot inconnu : Toolkit => PDFChain est l'interface graphique de l’outil en ligne de commande PDF Toolkit (PDFtk). | toolkit
10 Mot inconnu : PDFtk => PDFChain est l'interface graphique de l’outil en ligne de commande PDF Toolkit (PDFtk). | pdftk

18 Mot inconnu : PDFTK => <note help>PDFTK sur lequel est basé PDFChain ne fonctionne pas avec les formulaires PDF en version 1.6 ([[http://web.archive.org/web/20080211115400/http://www.accesspdf.com/article.php/20050708071835171|source]]). En pratique, la plupart des fonctions testées ci-dessous fonctionnent avec ces versions de pdf.</note> | pdftk
18 Mot inconnu : PDFChain => <note help>PDFTK sur lequel est basé PDFChain ne fonctionne pas avec les formulaires PDF en version 1.6 ([[http://web.archive.org/web/20080211115400/http://www.accesspdf.com/article.php/20050708071835171|source]]). En pratique, la plupart des fonctions testées ci-dessous fonctionnent avec ces versions de pdf.</note> | pdfchain
18 Formatage des grands nombres. => <note help>PDFTK sur lequel est basé PDFChain ne fonctionne pas avec les formulaires PDF en version 1.6 ([[http://web.archive.org/web/20080211115400/http://www.accesspdf.com/article.php/20050708071835171|source]]). En pratique, la plupart des fonctions testées ci-dessous fonctionnent avec ces versions de pdf.</note> | 20050708071835171 => suggestions : ['20\xa0050\xa0708\xa0071\xa0835\xa0171']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifiez que vous êtes dans l'onglet "Catenate" |    => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifiez que vous êtes dans l'onglet "Catenate" |  -  => suggestions : [' – ', ' — ', ' − ']
21 Guillemets typographiques ouvrants. =>   - Vérifiez que vous êtes dans l'onglet "Catenate" | " => suggestions : ['«\xa0', '“']
21 Mot inconnu : Catenate =>   - Vérifiez que vous êtes dans l'onglet "Catenate" | catenate
21 Guillemets typographiques fermants. =>   - Vérifiez que vous êtes dans l'onglet "Catenate" | " => suggestions : ['\xa0»', '”']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ajouter les documents à fusionner en cliquant sur le + en bas de l'interface |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ajouter les documents à fusionner en cliquant sur le + en bas de l'interface |  -  => suggestions : [' – ', ' — ', ' − ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Éventuellement : |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Éventuellement : |  -  => suggestions : [' – ', ' — ', ' − ']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - Ajuster éventuellement l'ordre des documents en utilisant les flèches en bas de l'interface |       => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - Ajuster éventuellement l'ordre des documents en utilisant les flèches en bas de l'interface |  -  => suggestions : [' – ', ' — ', ' − ']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. |       => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. |  -  => suggestions : [' – ', ' — ', ' − ']
25 Erreur d’accord probable avec “les”. =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | toute => suggestions : ['toutes']
25 Guillemets typographiques ouvrants. =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | " => suggestions : ['«\xa0', '“']
25 Mot inconnu : end =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | end
25 Guillemets typographiques fermants. =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | " => suggestions : ['\xa0»', '”']
25 Accord de nombre erroné avec « les pages » : « impaire » devrait être au pluriel. =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | impaire => suggestions : ['impaires']
25 Guillemets typographiques ouvrants. =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | " => suggestions : ['«\xa0', '“']
25 Mot inconnu : All =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | all
25 Guillemets typographiques fermants. =>      - Si vous ne voulez pas fusionner toute les pages d'un document, indiquez-le en cliquant sur "1-end" sur ce document et en mentionnant les pages à fusionner. Vous pouvez aussi mentionner que les pages impaire ou paire en cliquant sur "All". La colonne PN indique le nombre de pages du document. | " => suggestions : ['\xa0»', '”']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - Orientez les pages en cliquant sur 0° de la colonne Rotation du fichier à tourner |       => suggestions : ['']
