
4 Mot inconnu : GoogleDrive [[16:27]] => ====== Utiliser GoogleDrive sous Ubuntu====== <|> googledrive
11 Si “To” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[199:204]] => Le stockage Google Drive existe (même si on ne l'utilise pas) pour toute personne titulaire d'un compte Google, et est gratuit jusqu'à 15 Go, puis de l'espace supplémentaire peut être acheté jusqu'à 30 To. 100 Go coûtent 1,99€ par mois, 1 To 9,99€/mois, jusqu'à 30 To pour 299,99 €/mois. Une fois acheté, cet espace sert aussi sur la messagerie de Google : Gmail. <|> 30 to => suggestions : ['30\xa0To']
11 Si “To” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[237:241]] => Le stockage Google Drive existe (même si on ne l'utilise pas) pour toute personne titulaire d'un compte Google, et est gratuit jusqu'à 15 Go, puis de l'espace supplémentaire peut être acheté jusqu'à 30 To. 100 Go coûtent 1,99€ par mois, 1 To 9,99€/mois, jusqu'à 30 To pour 299,99 €/mois. Une fois acheté, cet espace sert aussi sur la messagerie de Google : Gmail. <|> 1 to => suggestions : ['1\xa0To']
11 Si “To” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[262:267]] => Le stockage Google Drive existe (même si on ne l'utilise pas) pour toute personne titulaire d'un compte Google, et est gratuit jusqu'à 15 Go, puis de l'espace supplémentaire peut être acheté jusqu'à 30 To. 100 Go coûtent 1,99€ par mois, 1 To 9,99€/mois, jusqu'à 30 To pour 299,99 €/mois. Une fois acheté, cet espace sert aussi sur la messagerie de Google : Gmail. <|> 30 to => suggestions : ['30\xa0To']

12 Espace(s) en fin de ligne à supprimer. [[154:155]] => Une application est nécessaire à la synchronisation, ce qui crée un dossier //Google Drive// dans lequel il suffit de déposer les dossiers à synchroniser.  <|>   => suggestions : ['']

17 Espace(s) surnuméraire(s) à supprimer. [[5:44]] => ^ Nom                                       ^ Licence                ^  GUI  ^ Synchro ^ Multi OS            ^ Multi cloud ^ Commentaires ^ <|>                                         => suggestions : [' ']
17 Espace(s) surnuméraire(s) à supprimer. [[53:69]] => ^ Nom                                       ^ Licence                ^  GUI  ^ Synchro ^ Multi OS            ^ Multi cloud ^ Commentaires ^ <|>                  => suggestions : [' ']
17 Espace(s) surnuméraire(s) à supprimer. [[75:77]] => ^ Nom                                       ^ Licence                ^  GUI  ^ Synchro ^ Multi OS            ^ Multi cloud ^ Commentaires ^ <|>    => suggestions : [' ']
17 Espace(s) surnuméraire(s) à supprimer. [[97:109]] => ^ Nom                                       ^ Licence                ^  GUI  ^ Synchro ^ Multi OS            ^ Multi cloud ^ Commentaires ^ <|>              => suggestions : [' ']
