
5 Mot inconnu : conkyForecast => ====== La météo avec conkyForecast ====== | conkyforecast

10 Mot inconnu : conkyForecast => **conkyForecast** est un script écrit en Python qui permet d'afficher la météo sur le bureau grâce à [[Conky]]. Les informations sont récupérées sur le site [[http://www.weather.com/|Weather.com]] à l'aide du service XOAP.  | conkyforecast
10 Mot inconnu : Conky => **conkyForecast** est un script écrit en Python qui permet d'afficher la météo sur le bureau grâce à [[Conky]]. Les informations sont récupérées sur le site [[http://www.weather.com/|Weather.com]] à l'aide du service XOAP.  | conky
10 Mot inconnu : Weather => **conkyForecast** est un script écrit en Python qui permet d'afficher la météo sur le bureau grâce à [[Conky]]. Les informations sont récupérées sur le site [[http://www.weather.com/|Weather.com]] à l'aide du service XOAP.  | weather
10 Mot inconnu : XOAP => **conkyForecast** est un script écrit en Python qui permet d'afficher la météo sur le bureau grâce à [[Conky]]. Les informations sont récupérées sur le site [[http://www.weather.com/|Weather.com]] à l'aide du service XOAP.  | xoap
10 Espace(s) en fin de ligne à supprimer. => **conkyForecast** est un script écrit en Python qui permet d'afficher la météo sur le bureau grâce à [[Conky]]. Les informations sont récupérées sur le site [[http://www.weather.com/|Weather.com]] à l'aide du service XOAP.  |   => suggestions : ['']

12 Avec une unité de mesure, mettez un espace insécable. => L'ensemble est extrêmement configurable et les prévisions peuvent être paramétrées jusqu'à 5 jours. | 5 jours => suggestions : ['5\xa0jours']

14 Mot inconnu : weather => <note important>Le service de fourniture des données weather.com a changé depuis la mi novembre. Pour continuer à pouvoir recevoir les données météo,  | weather
14 Accord de genre erroné : « mi » est masculin. => <note important>Le service de fourniture des données weather.com a changé depuis la mi novembre. Pour continuer à pouvoir recevoir les données météo,  | la => suggestions : ['le']
14 S’il s’agit d’un seul mot, il manque un trait d’union. => <note important>Le service de fourniture des données weather.com a changé depuis la mi novembre. Pour continuer à pouvoir recevoir les données météo,  | mi novembre => suggestions : ['mi-novembre']
14 Espace(s) en fin de ligne à supprimer. => <note important>Le service de fourniture des données weather.com a changé depuis la mi novembre. Pour continuer à pouvoir recevoir les données météo,  |   => suggestions : ['']

15 Espace(s) en fin de ligne à supprimer. => il faut maintenant souscrire à un abonnement aux tarifs plutôt dissuasifs.  |   => suggestions : ['']

16 Forme interrogative ? Mettez un trait d’union. => Rendez vous sur le forum ubuntu-fr à cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=697371&p=1|adresse]] pour une alternative à conkyForecast.</note> | rendez vous => suggestions : ['Rendez-vous']
16 Mot inconnu : ubuntu-fr => Rendez vous sur le forum ubuntu-fr à cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=697371&p=1|adresse]] pour une alternative à conkyForecast.</note> | ubuntu-fr
16 Mot inconnu : conkyForecast => Rendez vous sur le forum ubuntu-fr à cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=697371&p=1|adresse]] pour une alternative à conkyForecast.</note> | conkyforecast

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Savoir se servir du [[terminal]] |    => suggestions : ['']

35 Mot inconnu : XOAP => =====Inscription au service XOAP (Weather.com) ===== | xoap
35 Mot inconnu : Weather => =====Inscription au service XOAP (Weather.com) ===== | weather

37 Mot inconnu : conkyForecast => **a)** Pour que **conkyForecast** puisse récupérer les informations de la météo, il est nécessaire de s'inscrire [[http://www.weather.com/services/xmloap.html|ici]] (gratuit) : | conkyforecast

39 Guillemets typographiques ouvrants. => **b)** Une fois sur le site cliquer sur le lien 'Register' en haut à droit. | ' => suggestions : ['“', '‘', '‹']
39 Mot inconnu : Register => **b)** Une fois sur le site cliquer sur le lien 'Register' en haut à droit. | register
39 Guillemets typographiques fermants. => **b)** Une fois sur le site cliquer sur le lien 'Register' en haut à droit. | ' => suggestions : ['”', '’', '›']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Partner ID  : xxxxxxx** |    => suggestions : ['']
42 Mot inconnu : Partner =>   * **Partner ID  : xxxxxxx** | partner
42 Espace(s) surnuméraire(s) à supprimer. =>   * **Partner ID  : xxxxxxx** |    => suggestions : [' ']
42 Mot inconnu : xxxxxxx =>   * **Partner ID  : xxxxxxx** | xxxxxxx

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **License Key: xxxxxxx** |    => suggestions : ['']
43 Mot inconnu : License =>   * **License Key: xxxxxxx** | license
43 Mot inconnu : Key =>   * **License Key: xxxxxxx** | key
43 Mot inconnu : xxxxxxx =>   * **License Key: xxxxxxx** | xxxxxxx

47 Guillemets typographiques ouvrants. => **d)** Dans le mail de confirmation il est conseillé de télécharger le dossier 'sdk'. Ce dernier contient l'ensemble des icônes météo en couleur utilisées par le site :  | ' => suggestions : ['“', '‘', '‹']
47 Mot inconnu : sdk => **d)** Dans le mail de confirmation il est conseillé de télécharger le dossier 'sdk'. Ce dernier contient l'ensemble des icônes météo en couleur utilisées par le site :  | sdk
47 Accord de nombre erroné avec « utilisées ». => **d)** Dans le mail de confirmation il est conseillé de télécharger le dossier 'sdk'. Ce dernier contient l'ensemble des icônes météo en couleur utilisées par le site :  | couleur => suggestions : ['couleurs']
47 Accord de nombre erroné avec « couleur ». => **d)** Dans le mail de confirmation il est conseillé de télécharger le dossier 'sdk'. Ce dernier contient l'ensemble des icônes météo en couleur utilisées par le site :  | utilisées => suggestions : ['utilisée']
47 Espace(s) en fin de ligne à supprimer. => **d)** Dans le mail de confirmation il est conseillé de télécharger le dossier 'sdk'. Ce dernier contient l'ensemble des icônes météo en couleur utilisées par le site :  |   => suggestions : ['']

52 Guillemets typographiques ouvrants. => **f)** Lancer la recherche et notez le code qui se trouve dans la barre d'adresse sous la forme 'FRXX000'. | ' => suggestions : ['“', '‘', '‹']
52 Mot inconnu : FRXX000 => **f)** Lancer la recherche et notez le code qui se trouve dans la barre d'adresse sous la forme 'FRXX000'. | frxx000
54 Mot inconnu : FRXX0076 => Exemple : Code Paris : **FRXX0076** | frxx0076

58 Mot inconnu : ConkyForecast => ====ConkyForecast.config ==== | conkyforecast
58 Il manque un espace. => ====ConkyForecast.config ==== | config => suggestions : [' config']

60 Mot inconnu : conkyForecast => Les paramètres principaux comme la langue, le format de l'heure, la date, ainsi que vos identifiants se trouvent dans le fichier **''~/.conkyForecast.config''**.  | conkyforecast
60 Guillemets typographiques fermants. => Les paramètres principaux comme la langue, le format de l'heure, la date, ainsi que vos identifiants se trouvent dans le fichier **''~/.conkyForecast.config''**.  | '' => suggestions : ['\xa0»', '”']
60 Espace(s) en fin de ligne à supprimer. => Les paramètres principaux comme la langue, le format de l'heure, la date, ainsi que vos identifiants se trouvent dans le fichier **''~/.conkyForecast.config''**.  |   => suggestions : ['']

62 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Ce fichier n'existe pas encore mais nous allons le créer  |  mais => suggestions : [', mais']
62 Espace(s) en fin de ligne à supprimer. => Ce fichier n'existe pas encore mais nous allons le créer  |   => suggestions : ['']

67 Conjugaison erronée. Accord avec “Copier”. Le verbe devrait être à la 3ᵉ personne du singulier. => Copier Collez le code ci-dessous en remplaçant les XXXXX par les informations qui vous avez réceptionnées de [[http://www.weather.com/]] : | collez => suggestions : ['Colle']
67 Mot inconnu : XXXXX => Copier Collez le code ci-dessous en remplaçant les XXXXX par les informations qui vous avez réceptionnées de [[http://www.weather.com/]] : | xxxxx
67 Ce verbe devrait être un participe passé au masculin singulier. => Copier Collez le code ci-dessous en remplaçant les XXXXX par les informations qui vous avez réceptionnées de [[http://www.weather.com/]] : | réceptionnées => suggestions : ['réceptionné']

