
5 Mot inconnu : Bacula => ====== Bacula : sauvegarder régulièrement son PC ====== | bacula

8 Mot inconnu : Bacula => **Bacula** est un logiciel open source de sauvegarde professionnel. Il permet de sauvegarder le contenu d'un PC, ou plusieurs PC en réseau. | bacula

10 Mot inconnu : Bacula => Bacula dispose de très nombreuses fonctionnalités. Utilisé correctement vous serez toujours certain de pouvoir restaurer n'importe quel fichier, à n'importe quelle date (retrouver un texte par exemple tel qu'il était rédigé il y a deux mois, sachant que vous l'avez modifié 10 fois depuis, etc.) | bacula

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

29 Espace(s) en fin de ligne à supprimer. => Ce tutoriel est destiné à ceux qui souhaitent sauvegarder automatiquement leur configuration et leurs fichiers, afin de ne rien perdre en cas de crash disque, de corruption de données (ou simplement de suppression de fichiers trop rapide).  |   => suggestions : ['']

40 Mot inconnu : Lucid => <note> Pour Lucid (10.4) il faut modifier le fichier **/etc/dovecot/dovecot.conf** afin de donner le type de mailbox. | lucid
40 Mot inconnu : mailbox => <note> Pour Lucid (10.4) il faut modifier le fichier **/etc/dovecot/dovecot.conf** afin de donner le type de mailbox. | mailbox

41 Mot inconnu : mail_location => Autrement dit, il faut ajouter dans /etc/dovecot/dovecot.conf la ligne : <file>mail_location = mbox:~/mail:INBOX=/var/mail/%u</file> | mail_location
41 Mot inconnu : mbox => Autrement dit, il faut ajouter dans /etc/dovecot/dovecot.conf la ligne : <file>mail_location = mbox:~/mail:INBOX=/var/mail/%u</file> | mbox
41 Il manque un espace. => Autrement dit, il faut ajouter dans /etc/dovecot/dovecot.conf la ligne : <file>mail_location = mbox:~/mail:INBOX=/var/mail/%u</file> | inbox => suggestions : [' INBOX']
41 Mot inconnu : INBOX => Autrement dit, il faut ajouter dans /etc/dovecot/dovecot.conf la ligne : <file>mail_location = mbox:~/mail:INBOX=/var/mail/%u</file> | inbox
41 Il manque un espace. => Autrement dit, il faut ajouter dans /etc/dovecot/dovecot.conf la ligne : <file>mail_location = mbox:~/mail:INBOX=/var/mail/%u</file> | u => suggestions : [' u']

45 Mot inconnu : restart => /etc/init.d/dovecot restart | restart

59 Mot inconnu : gparted => <note warning>Attention avec l'utilisation de **gparted**! Ne vous trompez pas de disque dur, vous risquez de formater (effacer) votre propre installation d'Ubuntu! Assurez-vous de formater le disque dur ne CONTENANT PAS votre installation, votre installation étant le plus souvent sur le disque sda (premier disque IDE/SATA). </note> | gparted
59 Mot inconnu : sda => <note warning>Attention avec l'utilisation de **gparted**! Ne vous trompez pas de disque dur, vous risquez de formater (effacer) votre propre installation d'Ubuntu! Assurez-vous de formater le disque dur ne CONTENANT PAS votre installation, votre installation étant le plus souvent sur le disque sda (premier disque IDE/SATA). </note> | sda
59 Mot inconnu : SATA => <note warning>Attention avec l'utilisation de **gparted**! Ne vous trompez pas de disque dur, vous risquez de formater (effacer) votre propre installation d'Ubuntu! Assurez-vous de formater le disque dur ne CONTENANT PAS votre installation, votre installation étant le plus souvent sur le disque sda (premier disque IDE/SATA). </note> | sata

67 Mot inconnu : Bacula => ==== Configuration de Bacula ==== | bacula

70 Mot inconnu : bacula => === Niveau de sauvegarde pour bacula === | bacula

74 Mot inconnu : Differentielle => | **Differentielle**\\ (Differential) | Une sauvegarde qui inclut tous les fichiers modifiés depuis le lancement de la dernière sauvegarde complète (Full).\\ Notez que d'autres logiciels de sauvegarde peuvent définir ceci différemment. | | differentielle
74 Mot inconnu : Differential => | **Differentielle**\\ (Differential) | Une sauvegarde qui inclut tous les fichiers modifiés depuis le lancement de la dernière sauvegarde complète (Full).\\ Notez que d'autres logiciels de sauvegarde peuvent définir ceci différemment. | | differential

75 Mot inconnu : Incrementale => | **Incrementale**\\ (Incremental) | Une sauvegarde qui inclut tous les fichiers modifiés depuis le lancement de la dernière sauvegarde complète (Full), différentielle, ou incrémentale.\\ Normalement spécifié dans la directive //Level// (niveau) dans la définition de la ressource //Job//, ou dans une ressource //Schedule//. | | incrementale
75 Mot inconnu : Incremental => | **Incrementale**\\ (Incremental) | Une sauvegarde qui inclut tous les fichiers modifiés depuis le lancement de la dernière sauvegarde complète (Full), différentielle, ou incrémentale.\\ Normalement spécifié dans la directive //Level// (niveau) dans la définition de la ressource //Job//, ou dans une ressource //Schedule//. | | incremental
75 Mot inconnu : Level => | **Incrementale**\\ (Incremental) | Une sauvegarde qui inclut tous les fichiers modifiés depuis le lancement de la dernière sauvegarde complète (Full), différentielle, ou incrémentale.\\ Normalement spécifié dans la directive //Level// (niveau) dans la définition de la ressource //Job//, ou dans une ressource //Schedule//. | | level
75 Mot inconnu : Schedule => | **Incrementale**\\ (Incremental) | Une sauvegarde qui inclut tous les fichiers modifiés depuis le lancement de la dernière sauvegarde complète (Full), différentielle, ou incrémentale.\\ Normalement spécifié dans la directive //Level// (niveau) dans la définition de la ressource //Job//, ou dans une ressource //Schedule//. | | schedule

80 Mot inconnu : Edition => === Edition de /etc/bacula/bacula-dir.conf === | edition

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans JobDefs, ajouter : |    => suggestions : ['']
84 Mot inconnu : JobDefs =>   * Dans JobDefs, ajouter : | jobdefs

86 Mot inconnu : JobDefs => JobDefs { | jobdefs

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   .... |    => suggestions : ['']
87 Typographie : points de suspension. Utilisez le caractère dédié. =>   .... | .... => suggestions : ['…']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # cf http://www.bacula.org/en/dev-manual/Automated_Disk_Backup.html |    => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Full Backup Pool = Full-Pool |    => suggestions : ['']
89 Mot inconnu : Backup =>   Full Backup Pool = Full-Pool | backup

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Incremental Backup Pool = Inc-Pool |    => suggestions : ['']
90 Mot inconnu : Incremental =>   Incremental Backup Pool = Inc-Pool | incremental
90 Mot inconnu : Backup =>   Incremental Backup Pool = Inc-Pool | backup
90 Mot inconnu : Inc-Pool =>   Incremental Backup Pool = Inc-Pool | inc-pool

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Differential Backup Pool = Diff-Pool |    => suggestions : ['']
91 Mot inconnu : Differential =>   Differential Backup Pool = Diff-Pool | differential
91 Mot inconnu : Backup =>   Differential Backup Pool = Diff-Pool | backup
91 Mot inconnu : Diff-Pool =>   Differential Backup Pool = Diff-Pool | diff-pool

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # fin modif  |    => suggestions : ['']
92 Espace(s) en fin de ligne à supprimer. =>   # fin modif  |   => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ...... |    => suggestions : ['']
93 Typographie : succession de points. Utilisez le caractère dédié. =>   ...... | ...... => suggestions : ['……']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Définir le 1er Job de sauvegarde |    => suggestions : ['']
97 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>   * Définir le 1er Job de sauvegarde | 1er => suggestions : ['1ᵉʳ']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = "BackupConti" |    => suggestions : ['']
100 Mot inconnu : Name =>   Name = "BackupConti" | name
100 Guillemets typographiques ouvrants. =>   Name = "BackupConti" | " => suggestions : ['«\xa0', '“']
100 Mot inconnu : BackupConti =>   Name = "BackupConti" | backupconti
100 Guillemets typographiques fermants. =>   Name = "BackupConti" | " => suggestions : ['\xa0»', '”']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   JobDefs = "DefaultJob" |    => suggestions : ['']
101 Mot inconnu : JobDefs =>   JobDefs = "DefaultJob" | jobdefs
101 Guillemets typographiques ouvrants. =>   JobDefs = "DefaultJob" | " => suggestions : ['«\xa0', '“']
101 Mot inconnu : DefaultJob =>   JobDefs = "DefaultJob" | defaultjob
101 Guillemets typographiques fermants. =>   JobDefs = "DefaultJob" | " => suggestions : ['\xa0»', '”']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Write Bootstrap = "/opt/SAUVEGARDE/bacula/Client1.bsr" |    => suggestions : ['']
102 Mot inconnu : Write =>   Write Bootstrap = "/opt/SAUVEGARDE/bacula/Client1.bsr" | write
102 Mot inconnu : Bootstrap =>   Write Bootstrap = "/opt/SAUVEGARDE/bacula/Client1.bsr" | bootstrap

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Définir où seront créées les restaurations |    => suggestions : ['']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = "RestoreFiles" |    => suggestions : ['']
109 Mot inconnu : Name =>   Name = "RestoreFiles" | name
109 Guillemets typographiques ouvrants. =>   Name = "RestoreFiles" | " => suggestions : ['«\xa0', '“']
109 Mot inconnu : RestoreFiles =>   Name = "RestoreFiles" | restorefiles
109 Guillemets typographiques fermants. =>   Name = "RestoreFiles" | " => suggestions : ['\xa0»', '”']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #changer la ligne ci-dessous |    => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Where = /opt/SAUVEGARDE/bacula-restores |    => suggestions : ['']
111 Mot inconnu : Where =>   Where = /opt/SAUVEGARDE/bacula-restores | where

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déclarer ce qu'on va sauver |    => suggestions : ['']

116 Mot inconnu : FileSet => FileSet {  Name = "Full Set" | fileset
116 Mot inconnu : Name => FileSet {  Name = "Full Set" | name
116 Guillemets typographiques ouvrants. => FileSet {  Name = "Full Set" | " => suggestions : ['«\xa0', '“']
116 Guillemets typographiques fermants. => FileSet {  Name = "Full Set" | " => suggestions : ['\xa0»', '”']

117 Mot inconnu : Include => Include { | include

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Options { |    => suggestions : ['']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     signature = MD5 |      => suggestions : ['']
119 Mot inconnu : MD5 =>     signature = MD5 | md5

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     compression=GZIP |      => suggestions : ['']
120 Mot inconnu : GZIP =>     compression=GZIP | gzip

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /etc |    => suggestions : ['']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon_nom_d'utilisateur |    => suggestions : ['']
123 Guillemets typographiques ouvrants. =>   File = /home/mon_nom_d'utilisateur | ' => suggestions : ['“', '‘', '‹']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon_second_utilisateur |    => suggestions : ['']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déclarer ce qu'on ne veut pas sauver |    => suggestions : ['']

129 Mot inconnu : Exclude => Exclude { | exclude

130 Mot inconnu : proc => #    File = /proc | proc

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/tmp |    => suggestions : ['']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/Modèles |    => suggestions : ['']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/.thumbnails |    => suggestions : ['']
134 Mot inconnu : thumbnails =>   File = /home/mon nom d utilisateur/.thumbnails | thumbnails

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   File = /home/mon nom d utilisateur/.mozilla/firefox/e3s99zut.default/Cache |    => suggestions : ['']
