6 Mot inconnu : gFTP => ====== Client FTP : gFTP ====== | gftp

8 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => gFTP est un client FTP simple et rapide, à l'instar de FileZilla sous Windows. Il apporte une interface graphique (GTK+) au client en ligne de commande //ftp//. | gftp => suggestions : ['Gftp']
8 Mot inconnu : gFTP => gFTP est un client FTP simple et rapide, à l'instar de FileZilla sous Windows. Il apporte une interface graphique (GTK+) au client en ligne de commande //ftp//. | gftp
8 Mot inconnu : FileZilla => gFTP est un client FTP simple et rapide, à l'instar de FileZilla sous Windows. Il apporte une interface graphique (GTK+) au client en ligne de commande //ftp//. | filezilla

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Hôte** : Entrez ici l'adresse du serveur FTP auquel vous souhaitez vous connecter. Prenons l'exemple du serveur des pages persos de Free, entrez //ftpperso.free.fr//. |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Hôte** : Entrez ici l'adresse du serveur FTP auquel vous souhaitez vous connecter. Prenons l'exemple du serveur des pages persos de Free, entrez //ftpperso.free.fr//. |  -  => suggestions : [' – ', ' — ', ' − ']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Port** : Entrez ici le port de connexion auquel le client FTP doit se connecter. Par défaut le port des serveurs FTP est 21, mais si le serveur auquel vous souhaitez vous connecter possède un port différent, entrez ce dernier dans ce champ. |    => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Port** : Entrez ici le port de connexion auquel le client FTP doit se connecter. Par défaut le port des serveurs FTP est 21, mais si le serveur auquel vous souhaitez vous connecter possède un port différent, entrez ce dernier dans ce champ. |  -  => suggestions : [' – ', ' — ', ' − ']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Utilisateur** : Si le serveur FTP auquel vous tentez d'accéder possède un accès anonyme, entrez //anonymous//, sinon, entrez votre nom d'utilisateur ou "login" nécessaire pour accéder au serveur. |    => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Utilisateur** : Si le serveur FTP auquel vous tentez d'accéder possède un accès anonyme, entrez //anonymous//, sinon, entrez votre nom d'utilisateur ou "login" nécessaire pour accéder au serveur. |  -  => suggestions : [' – ', ' — ', ' − ']
32 Mot inconnu : anonymous =>   - **Utilisateur** : Si le serveur FTP auquel vous tentez d'accéder possède un accès anonyme, entrez //anonymous//, sinon, entrez votre nom d'utilisateur ou "login" nécessaire pour accéder au serveur. | anonymous
32 Guillemets typographiques ouvrants. =>   - **Utilisateur** : Si le serveur FTP auquel vous tentez d'accéder possède un accès anonyme, entrez //anonymous//, sinon, entrez votre nom d'utilisateur ou "login" nécessaire pour accéder au serveur. | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. =>   - **Utilisateur** : Si le serveur FTP auquel vous tentez d'accéder possède un accès anonyme, entrez //anonymous//, sinon, entrez votre nom d'utilisateur ou "login" nécessaire pour accéder au serveur. | " => suggestions : ['\xa0»', '”']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Mot de passe** : Si le serveur FTP possède un accès anonyme, n'entrez pas de mot de passe, sinon, entrez le mot de passe nécessaire à l'accès au serveur. |    => suggestions : ['']
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Mot de passe** : Si le serveur FTP possède un accès anonyme, n'entrez pas de mot de passe, sinon, entrez le mot de passe nécessaire à l'accès au serveur. |  -  => suggestions : [' – ', ' — ', ' − ']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Type de connexion** : Vous avez ici le choix entre cinq types de connexion (FTP, HTTP, Local, SSH2, et FSP). Prenons encore l'exemple du serveur des pages persos de Free, qui est un serveur FTP, choisissez FTP. |    => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Type de connexion** : Vous avez ici le choix entre cinq types de connexion (FTP, HTTP, Local, SSH2, et FSP). Prenons encore l'exemple du serveur des pages persos de Free, qui est un serveur FTP, choisissez FTP. |  -  => suggestions : [' – ', ' — ', ' − ']
34 Mot inconnu : SSH2 =>   - **Type de connexion** : Vous avez ici le choix entre cinq types de connexion (FTP, HTTP, Local, SSH2, et FSP). Prenons encore l'exemple du serveur des pages persos de Free, qui est un serveur FTP, choisissez FTP. | ssh2
