
6 Mot inconnu : Tagainijisho => ====== Tagainijisho ====== | tagainijisho

8 Mot inconnu : GPLv3 => Dictionnaire et assistant d'apprentissage du japonais (kanjis), sous licence libre (GPLv3). | gplv3

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Puissantes options de recherche à la fois pour le vocabulaire et les kanjis, comme partie du discours, JLPT niveau, etc |    => suggestions : ['']
9 Mot inconnu : JLPT =>   * Puissantes options de recherche à la fois pour le vocabulaire et les kanjis, comme partie du discours, JLPT niveau, etc | jlpt

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Présentation des résultats qui se concentre sur les entrées que vous devez étudier, |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Beaucoup d'informations contextuelles relatives à votre étude, comme transitif / intransitif équivalents des verbes, étude des mots en utilisant un même kanji, etc |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Animations Kanji ordre des traits pour les plus de 6000 kanjis, |    => suggestions : ['']
12 Accord de nombre erroné avec « Animations Kanji » : « ordre » devrait être au pluriel. =>   * Animations Kanji ordre des traits pour les plus de 6000 kanjis, | ordre => suggestions : ['ordres']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Marquage et les notes, |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Modes d'apprentissage Flashcard-like, |    => suggestions : ['']
14 Mot inconnu : Flashcard-like =>   * Modes d'apprentissage Flashcard-like, | flashcard-like

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Impression de livrets de poche pliables pour l'étude hors ligne, |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Interface disponible en anglais ou en français, des dictionnaires partiellement traduit dans d'autres langues que l'anglais,... |    => suggestions : ['']
16 Erreur de numérisation ? Virgules au lieu de points ? =>   * Interface disponible en anglais ou en français, des dictionnaires partiellement traduit dans d'autres langues que l'anglais,... | ,... => suggestions : ['….']
16 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Interface disponible en anglais ou en français, des dictionnaires partiellement traduit dans d'autres langues que l'anglais,... | ... => suggestions : ['…']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Site officiel : https://www.tagaini.net/ |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Portail [[Japonais]] |    => suggestions : ['']
