
4 Mot inconnu : Aeolus => ====== Aeolus ====== | aeolus

5 Mot inconnu : Aeolus => **Aeolus** est un émulateur destiné uniquement à la reproduction de qualité d'un son de grandes orgues et à la simulation de leur jeu. Les sons sont synthétisés et non samplés. Ce programme n'est guère vorace en ressources et tourne sans problème sur une machine disposant d'un processeur cadencé à 1 GHz, avec 256 MB de mémoire vive. | aeolus
5 Mot inconnu : samplés => **Aeolus** est un émulateur destiné uniquement à la reproduction de qualité d'un son de grandes orgues et à la simulation de leur jeu. Les sons sont synthétisés et non samplés. Ce programme n'est guère vorace en ressources et tourne sans problème sur une machine disposant d'un processeur cadencé à 1 GHz, avec 256 MB de mémoire vive. | samplés
5 Mot inconnu : MB => **Aeolus** est un émulateur destiné uniquement à la reproduction de qualité d'un son de grandes orgues et à la simulation de leur jeu. Les sons sont synthétisés et non samplés. Ce programme n'est guère vorace en ressources et tourne sans problème sur une machine disposant d'un processeur cadencé à 1 GHz, avec 256 MB de mémoire vive. | mb

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée ; |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'au moins un [[http://linuxmao.org/Surfaces+de+contr%C3%B4le?structure=Accueil+Materiel|clavier MIDI]] pour contrôler le logiciel. |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez Qjackctl. Appuyez sur le bouton **Démarrer**. |    => suggestions : ['']
21 Mot inconnu : Qjackctl =>   * Lancez Qjackctl. Appuyez sur le bouton **Démarrer**. | qjackctl

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez l'application depuis le menu Applications -> Son et vidéo -> Aeolus. |    => suggestions : ['']
22 Mot inconnu : Aeolus =>   * Lancez l'application depuis le menu Applications -> Son et vidéo -> Aeolus. | aeolus

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : |    => suggestions : ['']
23 Mot inconnu : Qjackctl =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | qjackctl
23 Mot inconnu : Aeolus =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | aeolus
23 Écriture invariable. Utilisez un point médian. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | sortie⋅s => suggestions : ['sortie·s']
23 Écriture invariable. Utilisez un point médian. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | clavier⋅s => suggestions : ['clavier·s']
23 Guillemets typographiques ouvrants. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | " => suggestions : ['\xa0»', '”']
23 Guillemets typographiques ouvrants. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | '' => suggestions : ['«\xa0', '“']
23 Mot inconnu : Shift =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | shift
23 Guillemets typographiques fermants. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | '' => suggestions : ['\xa0»', '”']
23 Guillemets typographiques ouvrants. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | '' => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   * Dans Qjackctl, appuyez sur le bouton **Graphe**. Dans la fenêtre qui s'ouvre, connectez votre ou vos claviers MIDI à Aeolus en sélectionnant la/les sortie⋅s du/des clavier⋅s et le port "in" du logiciel grâce à ''Shift'' ou ''Contrôle'' puis en cliquant sur **Connecter** dans la barre d'outils. Vous devriez obtenir quelque chose comme cette image : | '' => suggestions : ['\xa0»', '”']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Puis procédez de même avec les sorties audio d'Aeolus et les entrées entrées du système. |    => suggestions : ['']
27 Mot inconnu : Aeolus =>   * Puis procédez de même avec les sorties audio d'Aeolus et les entrées entrées du système. | aeolus
27 Doublon. =>   * Puis procédez de même avec les sorties audio d'Aeolus et les entrées entrées du système. | entrées entrées => suggestions : ['entrées']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous remarquerez qu'Aeolus dispose de plusieurs registres (P, I, II et III) qui correspondent au pédalier (P) et aux différents claviers ou registres des grandes orgues. |    => suggestions : ['']
31 Mot inconnu : Aeolus =>   * Vous remarquerez qu'Aeolus dispose de plusieurs registres (P, I, II et III) qui correspondent au pédalier (P) et aux différents claviers ou registres des grandes orgues. | aeolus

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. |    => suggestions : ['']
35 Guillemets typographiques ouvrants. =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | " => suggestions : ['\xa0»', '”']
35 Mot inconnu : Aeolus =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | aeolus
35 Guillemets typographiques ouvrants. =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | " => suggestions : ['«\xa0', '“']
35 Mot inconnu : Keyboards =>   * Vous devez indiquer quel clavier MIDI pilote quel registre. Pour ce faire cliquez sur le bouton "Midi" en bas à droite de la fenêtre principale d'Aeolus. Une autre fenêtre s'ouvre. Sur l'axe des abscisses vous voyez des nombres de 1 à 16 qui correspondent à tous les claviers MIDI que vous pouvez connecter. Sur l'axe des ordonnées vous allez vous intéresser à la partie "Keyboards" (les "Claviers" sont ceux d'Aeolus, pas les claviers physiques dont vous disposez). Vous ne pouvez piloter qu'un clavier d'Aeolus avec un clavier MIDI. Mais il existe un possibilité pour synchroniser les autres registres sur ce clavier. Ici nous choisissons de piloter le pédalier avec le seul clavier MIDI à disposition. | keyboards
