
5 Mot inconnu : NeverNoid => ====== NeverNoid ====== | nevernoid

9 Mot inconnu : Nevernoid => **Nevernoid** est un freeware basé sur le jeu breakout sorti en 1976, et a été écrit en Pascal. | nevernoid
9 Mot inconnu : freeware => **Nevernoid** est un freeware basé sur le jeu breakout sorti en 1976, et a été écrit en Pascal. | freeware
9 Mot inconnu : breakout => **Nevernoid** est un freeware basé sur le jeu breakout sorti en 1976, et a été écrit en Pascal. | breakout

11 S’il s’agit d’une action que le sujet doit accomplir, le verbe devrait être à l’infinitif. => Vous dirigez une barre horizontale et devez renvoyez une balle afin de casser des briques. | renvoyez => suggestions : ['renvoyer']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Télécharger l'archive du jeu en cliquant sur [[http://download.softpedia.ro/dl/07b399e5e5cf804fc45850fc19933d62/499e8e15/500008309/linux/games/NeverNoid_v12_linux_x86.tar.gz|ce lien]]. |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) |    => suggestions : ['']
17 Guillemets typographiques ouvrants. =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) | " => suggestions : ['\xa0»', '”']
17 Guillemets typographiques ouvrants. =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) | '' => suggestions : ['«\xa0', '“']
17 Mot inconnu : tar =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) | tar
17 Il manque un espace à côté du tiret. =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) |  - => suggestions : [' – ', ' — ']
17 Mot inconnu : xvf =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) | xvf
17 Guillemets typographiques fermants. =>   -Extraire l'archive (sur Ubuntu: clic-droit sur le fichier puis "Extraire ici") ((ou avec le terminal: ''tar -xvf NeverNoid_v12_linux_x86.tar.gz'')) | '' => suggestions : ['\xa0»', '”']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Se placer dans le dossier du jeu((avec Nautilus ou avec le terminal: ''cd nevernoid'')) |    => suggestions : ['']
18 Il manque un espace avant la parenthèse. =>   -Se placer dans le dossier du jeu((avec Nautilus ou avec le terminal: ''cd nevernoid'')) | ( => suggestions : [' (']
18 Mot inconnu : Nautilus =>   -Se placer dans le dossier du jeu((avec Nautilus ou avec le terminal: ''cd nevernoid'')) | nautilus
18 Guillemets typographiques ouvrants. =>   -Se placer dans le dossier du jeu((avec Nautilus ou avec le terminal: ''cd nevernoid'')) | '' => suggestions : ['«\xa0', '“']
18 Mot inconnu : nevernoid =>   -Se placer dans le dossier du jeu((avec Nautilus ou avec le terminal: ''cd nevernoid'')) | nevernoid
18 Guillemets typographiques fermants. =>   -Se placer dans le dossier du jeu((avec Nautilus ou avec le terminal: ''cd nevernoid'')) | '' => suggestions : ['\xa0»', '”']

23 Il manque un espace avant la parenthèse. => Lancer((double-clic avec Nautilus, ou avec le terminal: ''./nevernoid'')) le fichier **nevernoid** qui se trouve dans le dossier du jeu. | ( => suggestions : [' (']
23 Mot inconnu : Nautilus => Lancer((double-clic avec Nautilus, ou avec le terminal: ''./nevernoid'')) le fichier **nevernoid** qui se trouve dans le dossier du jeu. | nautilus
23 Guillemets fermants. => Lancer((double-clic avec Nautilus, ou avec le terminal: ''./nevernoid'')) le fichier **nevernoid** qui se trouve dans le dossier du jeu. |  '' => suggestions : ['\xa0»', '”']
23 Mot inconnu : nevernoid => Lancer((double-clic avec Nautilus, ou avec le terminal: ''./nevernoid'')) le fichier **nevernoid** qui se trouve dans le dossier du jeu. | nevernoid
23 Guillemets typographiques fermants. => Lancer((double-clic avec Nautilus, ou avec le terminal: ''./nevernoid'')) le fichier **nevernoid** qui se trouve dans le dossier du jeu. | '' => suggestions : ['\xa0»', '”']
23 Mot inconnu : nevernoid => Lancer((double-clic avec Nautilus, ou avec le terminal: ''./nevernoid'')) le fichier **nevernoid** qui se trouve dans le dossier du jeu. | nevernoid
29 Mot inconnu : nevernoid => ==== Cacher le dossier « nevernoid » ==== | nevernoid
34 Mot inconnu : nevernoid => Pour cacher le dossier « nevernoid »: | nevernoid

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancer Nautilus. |    => suggestions : ['']
35 Mot inconnu : Nautilus =>   * Lancer Nautilus. | nautilus

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sur le dossier « nevernoid » faites //clic-droit → Renommer//. |    => suggestions : ['']
36 Mot inconnu : nevernoid =>   * Sur le dossier « nevernoid » faites //clic-droit → Renommer//. | nevernoid

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Donnez-lui le nom de « .nevernoid ». |    => suggestions : ['']
37 Mettez des guillemets fermants plutôt qu’ouvrants. =>   * Donnez-lui le nom de « .nevernoid ». |  « => suggestions : ['\xa0»', '”']
37 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Donnez-lui le nom de « .nevernoid ». |  . => suggestions : ['. ', '.']
37 Mot inconnu : nevernoid =>   * Donnez-lui le nom de « .nevernoid ». | nevernoid

41 Mot inconnu : nevernoid => La commande permettant de lancer nevernoid est ''dossier_ou_se_trouve_nevernoid/nevernoid'' | nevernoid
41 Guillemets typographiques ouvrants. => La commande permettant de lancer nevernoid est ''dossier_ou_se_trouve_nevernoid/nevernoid'' | '' => suggestions : ['«\xa0', '“']
41 Mot inconnu : dossier_ou_se_trouve_nevernoid => La commande permettant de lancer nevernoid est ''dossier_ou_se_trouve_nevernoid/nevernoid'' | dossier_ou_se_trouve_nevernoid
41 Mot inconnu : nevernoid => La commande permettant de lancer nevernoid est ''dossier_ou_se_trouve_nevernoid/nevernoid'' | nevernoid
41 Guillemets typographiques fermants. => La commande permettant de lancer nevernoid est ''dossier_ou_se_trouve_nevernoid/nevernoid'' | '' => suggestions : ['\xa0»', '”']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.doubledev.com/|Site officiel]] |    => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://linux.softpedia.com/get/GAMES-ENTERTAINMENT/Arcade/NeverNoid-8309.shtml|Miroirs de telechargement]] |    => suggestions : ['']
46 Mot inconnu : telechargement =>   * [[https://linux.softpedia.com/get/GAMES-ENTERTAINMENT/Arcade/NeverNoid-8309.shtml|Miroirs de telechargement]] | telechargement
50 Il manque un espace. => //Contributeurs : [[utilisateurs:evax]], YannUbuntu.// | evax => suggestions : [' evax']
50 Mot inconnu : YannUbuntu => //Contributeurs : [[utilisateurs:evax]], YannUbuntu.// | yannubuntu
