
4 Guillemets typographiques ouvrants. => ====== Session "Gnome Flashback" ====== | " => suggestions : ['«\xa0', '“']
4 Guillemets typographiques fermants. => ====== Session "Gnome Flashback" ====== | " => suggestions : ['\xa0»', '”']
14 Guillemets typographiques ouvrants. => ===== Remarque : ce que la session "flashback" n'est pas ===== | " => suggestions : ['«\xa0', '“']
14 Guillemets typographiques fermants. => ===== Remarque : ce que la session "flashback" n'est pas ===== | " => suggestions : ['\xa0»', '”']

22 Guillemets typographiques ouvrants. => ==== Ce n'est pas "GNOME Classique" ==== | " => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => ==== Ce n'est pas "GNOME Classique" ==== | " => suggestions : ['\xa0»', '”']

24 Guillemets typographiques ouvrants. => Le bureau [[gnome-shell|GNOME Shell]] propose officiellement depuis sa version 3.8 une interface alternative reprenant vaguement l'organisation de GNOME 2.x, et nommée "GNOME Classique". Cette session est activement développée et maintenue par les développeurs de GNOME. | " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. => Le bureau [[gnome-shell|GNOME Shell]] propose officiellement depuis sa version 3.8 une interface alternative reprenant vaguement l'organisation de GNOME 2.x, et nommée "GNOME Classique". Cette session est activement développée et maintenue par les développeurs de GNOME. | " => suggestions : ['\xa0»', '”']

26 Guillemets typographiques ouvrants. => Pour l'installer, installez simplement Gnome Shell, et pour s'y connecter, cliquez sur le petit engrenage en dessous du champ pour rentrer son mot de passe à la connexion. "GNOME Classique" devrait vous être proposé au coté de "Gnome (défaut)" et de vos éventuels autres environnements. | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. => Pour l'installer, installez simplement Gnome Shell, et pour s'y connecter, cliquez sur le petit engrenage en dessous du champ pour rentrer son mot de passe à la connexion. "GNOME Classique" devrait vous être proposé au coté de "Gnome (défaut)" et de vos éventuels autres environnements. | " => suggestions : ['\xa0»', '”']
26 Confusion : “coté” est le participe passé du verbe “coter”. => Pour l'installer, installez simplement Gnome Shell, et pour s'y connecter, cliquez sur le petit engrenage en dessous du champ pour rentrer son mot de passe à la connexion. "GNOME Classique" devrait vous être proposé au coté de "Gnome (défaut)" et de vos éventuels autres environnements. | coté => suggestions : ['côté']
26 Guillemets typographiques ouvrants. => Pour l'installer, installez simplement Gnome Shell, et pour s'y connecter, cliquez sur le petit engrenage en dessous du champ pour rentrer son mot de passe à la connexion. "GNOME Classique" devrait vous être proposé au coté de "Gnome (défaut)" et de vos éventuels autres environnements. | " => suggestions : ['«\xa0', '“']

30 Accord avec le sujet “Ce” : “MATE” devrait être au masculin singulier. => ==== Ce n'est pas MATE ==== | mate => suggestions : ['MATÉ', 'MAT']
34 Guillemets typographiques ouvrants. => ==== Ce n'est pas Gnome 2 : principales différences entre Gnome 2.x et la session "flashback" ==== | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => ==== Ce n'est pas Gnome 2 : principales différences entre Gnome 2.x et la session "flashback" ==== | " => suggestions : ['\xa0»', '”']

