
6 Mot inconnu : Flex => ======  Lenovo Flex 2-14 ====== | flex

8 Mot inconnu : lenovo => <note important>Il existe plusieurs versions du lenovo flex 2 14, en particulier en ce qui concerne le WIFI et le bluetooth</note> | lenovo
8 Mot inconnu : flex => <note important>Il existe plusieurs versions du lenovo flex 2 14, en particulier en ce qui concerne le WIFI et le bluetooth</note> | flex
8 Mot inconnu : bluetooth => <note important>Il existe plusieurs versions du lenovo flex 2 14, en particulier en ce qui concerne le WIFI et le bluetooth</note> | bluetooth

21 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Casque audio ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^ | touchpad

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  *Selon version matériel  |   => suggestions : ['']
27 Espace(s) en fin de ligne à supprimer. =>  *Selon version matériel  |   => suggestions : ['']

39 Guillemets typographiques ouvrants. => Le démarrage depuis la clé doit être spécifié dans le "boot menu", et des réglages [[UEFI]] / [[BIOS]] peuvent être nécessaires. | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : boot => Le démarrage depuis la clé doit être spécifié dans le "boot menu", et des réglages [[UEFI]] / [[BIOS]] peuvent être nécessaires. | boot
39 Guillemets typographiques fermants. => Le démarrage depuis la clé doit être spécifié dans le "boot menu", et des réglages [[UEFI]] / [[BIOS]] peuvent être nécessaires. | " => suggestions : ['\xa0»', '”']
39 Mot inconnu : UEFI => Le démarrage depuis la clé doit être spécifié dans le "boot menu", et des réglages [[UEFI]] / [[BIOS]] peuvent être nécessaires. | uefi

41 Guillemets typographiques ouvrants. => L'accès se fait par défaut par le "novo bouton" | " => suggestions : ['«\xa0', '“']
41 Mot inconnu : novo => L'accès se fait par défaut par le "novo bouton" | novo
41 Guillemets typographiques fermants. => L'accès se fait par défaut par le "novo bouton" | " => suggestions : ['\xa0»', '”']

43 Guillemets isolés. => === Le bouton " novo " === |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
43 Mot inconnu : novo => === Le bouton " novo " === | novo
43 Guillemets isolés. => === Le bouton " novo " === |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']

45 Pas d’espace après ce signe. => Un bouton ( novo button ) est dédié aux démarrages spécifiques et permet, ordinateur éteins, de démarrer directement aux choix suivants :  | (  => suggestions : ['(']
45 Mot inconnu : novo => Un bouton ( novo button ) est dédié aux démarrages spécifiques et permet, ordinateur éteins, de démarrer directement aux choix suivants :  | novo
45 Mot inconnu : button => Un bouton ( novo button ) est dédié aux démarrages spécifiques et permet, ordinateur éteins, de démarrer directement aux choix suivants :  | button
45 Pas d’espace avant ce signe. => Un bouton ( novo button ) est dédié aux démarrages spécifiques et permet, ordinateur éteins, de démarrer directement aux choix suivants :  |  ) => suggestions : [')']
45 Espace(s) en fin de ligne à supprimer. => Un bouton ( novo button ) est dédié aux démarrages spécifiques et permet, ordinateur éteins, de démarrer directement aux choix suivants :  |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Bios menu ** : l'accès au paramétrage du BIOS / UEFI, |    => suggestions : ['']
46 Mot inconnu : UEFI =>   * ** Bios menu ** : l'accès au paramétrage du BIOS / UEFI, | uefi

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Boot menu ** : choix de démarrage dont clé usb (usb hdd) |    => suggestions : ['']
47 Mot inconnu : Boot =>   * ** Boot menu ** : choix de démarrage dont clé usb (usb hdd) | boot
47 Mot inconnu : usb =>   * ** Boot menu ** : choix de démarrage dont clé usb (usb hdd) | usb
47 Mot inconnu : usb =>   * ** Boot menu ** : choix de démarrage dont clé usb (usb hdd) | usb
