
4 Mot inconnu : Catalyst => ====== Pilote AMD Catalyst™ ====== | catalyst

7 Accord erroné : “besoins” et “couvert” ne sont pas accordés. Mettez au pluriel. => Il peut être une solution par exemple pour une application utilisant une configuration vidéo particulière pour une carte graphique très récente dont les besoins ne sont pas encore couvert par le pilote libre chargé par défaut.\\ | couvert => suggestions : ['couverts']

8 Pas d’espace après ce signe. => Si vous ne rencontrez pas de problème, utilisez de préférence le pilote libre installé par défaut, son développement [[ https://cgit.freedesktop.org/mesa/mesa/log/ |progresse rapidement]]. | [  => suggestions : ['[']

12 Il manque un espace. => Sous %%GNU/Linux%%, on peut regrouper les cartes graphiques ATI Radeon en 3 catégories avec un pilote propriétaire Catalyst spécifique. | gnu => suggestions : [' GNU']
12 Mot inconnu : ATI => Sous %%GNU/Linux%%, on peut regrouper les cartes graphiques ATI Radeon en 3 catégories avec un pilote propriétaire Catalyst spécifique. | ati
12 Mot inconnu : Radeon => Sous %%GNU/Linux%%, on peut regrouper les cartes graphiques ATI Radeon en 3 catégories avec un pilote propriétaire Catalyst spécifique. | radeon
12 Mot inconnu : Catalyst => Sous %%GNU/Linux%%, on peut regrouper les cartes graphiques ATI Radeon en 3 catégories avec un pilote propriétaire Catalyst spécifique. | catalyst

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  </note> |   => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée; |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir son système à jour; |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir [[#désinstallation|désinstallé]] tout pilote propriétaire avant l’installation d'une nouvelle version; |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisir le pilote propriétaire %%AMD%% désiré;  |    => suggestions : ['']
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisir le pilote propriétaire %%AMD%% désiré;  |  -  => suggestions : [' – ', ' — ', ' − ']
39 Il manque un espace. =>   - Choisir le pilote propriétaire %%AMD%% désiré;  | amd => suggestions : [' AMD']
39 Espace(s) en fin de ligne à supprimer. =>   - Choisir le pilote propriétaire %%AMD%% désiré;  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  |    => suggestions : ['']
40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  |  -  => suggestions : [' – ', ' — ', ' − ']
40 Guillemets typographiques ouvrants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques ouvrants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  | " => suggestions : ['\xa0»', '”']
40 Espace(s) en fin de ligne à supprimer. =>   - "Appliquer les changements" (ou "activez" sur l'ancienne version du gestionnaire)  |   => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fermer le gestionnaire; |    => suggestions : ['']
