
5 Mot inconnu : Player => ====== Simulateur robotique Player/Stage ====== | player

7 Mot inconnu : You => > <<All the world's a stage, And all the men and women merely players.>> William Shakespeare, As You Like It  | you
7 Mot inconnu : It => > <<All the world's a stage, And all the men and women merely players.>> William Shakespeare, As You Like It  | it
7 Espace(s) en fin de ligne à supprimer. => > <<All the world's a stage, And all the men and women merely players.>> William Shakespeare, As You Like It  |   => suggestions : ['']

9 Mot inconnu : Player => **Player/Stage** est un projet permettant la simulation de robot sur votre ordinateur. | player

11 Mot inconnu : Player => Bien que nous appelions ici le simulateur « Player/Stage », Player n'est pas un simulateur mais une couche d'abstraction entre un robot physique et votre programme. Stage est une simulateur 2D sur lequel Player peut s'appuyer. Stage peut accepter un ou plusieurs robots permettant ainsi de simuler les comportements collaboratifs. | player
11 Mot inconnu : Player => Bien que nous appelions ici le simulateur « Player/Stage », Player n'est pas un simulateur mais une couche d'abstraction entre un robot physique et votre programme. Stage est une simulateur 2D sur lequel Player peut s'appuyer. Stage peut accepter un ou plusieurs robots permettant ainsi de simuler les comportements collaboratifs. | player
11 Accord de genre erroné : « simulateur » est masculin. => Bien que nous appelions ici le simulateur « Player/Stage », Player n'est pas un simulateur mais une couche d'abstraction entre un robot physique et votre programme. Stage est une simulateur 2D sur lequel Player peut s'appuyer. Stage peut accepter un ou plusieurs robots permettant ainsi de simuler les comportements collaboratifs. | une => suggestions : ['un']
11 Accord de genre erroné : « une » est un déterminant féminin. => Bien que nous appelions ici le simulateur « Player/Stage », Player n'est pas un simulateur mais une couche d'abstraction entre un robot physique et votre programme. Stage est une simulateur 2D sur lequel Player peut s'appuyer. Stage peut accepter un ou plusieurs robots permettant ainsi de simuler les comportements collaboratifs. | simulateur => suggestions : ['simulatrice']
11 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => Bien que nous appelions ici le simulateur « Player/Stage », Player n'est pas un simulateur mais une couche d'abstraction entre un robot physique et votre programme. Stage est une simulateur 2D sur lequel Player peut s'appuyer. Stage peut accepter un ou plusieurs robots permettant ainsi de simuler les comportements collaboratifs. | 2d => suggestions : ['2ᵈ']
11 Mot inconnu : Player => Bien que nous appelions ici le simulateur « Player/Stage », Player n'est pas un simulateur mais une couche d'abstraction entre un robot physique et votre programme. Stage est une simulateur 2D sur lequel Player peut s'appuyer. Stage peut accepter un ou plusieurs robots permettant ainsi de simuler les comportements collaboratifs. | player

13 Mot inconnu : Player => Player se trouve donc à la fois sur le robot et sur le poste de développement. La configuration de celui-ci permet de l'interfacer avec les capteurs et les actionneurs du robot, ou avec l'environnement de simulation fournit par stage. | player
15 Mot inconnu : Player => Le modèle « Player/Stage » permet d'unifier le développement et de faciliter l'échange entre collaborateurs. Il permet de tester rapidement et à moindre coût le comportement de votre programme. | player

22 Mot inconnu : Player => Il existe actuellement trois méthodes pour installer le projet Player sur Ubuntu. | player

27 Accord erroné : “dernière” et “conseillé” ne sont pas accordés. => Cette dernière méthode est conseillé. | conseillé => suggestions : ['conseillée']

28 Accord de nombre erroné : « besoin » devrait être au pluriel. => La première méthode est fastidieuse et a réservé à des besoin spécifiques. Le seconde méthode ne vous permet pas d'obtenir la version actuelle de Player/Stage. | besoin => suggestions : ['besoins']
28 Accord de genre erroné : « seconde » est féminin. => La première méthode est fastidieuse et a réservé à des besoin spécifiques. Le seconde méthode ne vous permet pas d'obtenir la version actuelle de Player/Stage. | le => suggestions : ['La']
28 Accord de genre erroné : « Le » est un déterminant masculin. => La première méthode est fastidieuse et a réservé à des besoin spécifiques. Le seconde méthode ne vous permet pas d'obtenir la version actuelle de Player/Stage. | seconde => suggestions : ['second', 'secondé']
28 Mot inconnu : Player => La première méthode est fastidieuse et a réservé à des besoin spécifiques. Le seconde méthode ne vous permet pas d'obtenir la version actuelle de Player/Stage. | player

32 Mot inconnu : install => Suivre les instructions du fichier [[https://github.com/rtv/Stage/blob/master/INSTALL.txt|install de github]]. Voir aussi [[https://github.com/rtv/Stage/issues/69|ici]]. | install
32 Mot inconnu : github => Suivre les instructions du fichier [[https://github.com/rtv/Stage/blob/master/INSTALL.txt|install de github]]. Voir aussi [[https://github.com/rtv/Stage/issues/69|ici]]. | github

33 Mot inconnu : FIXME => FIXME | fixme

37 Mot inconnu : FIXME => FIXME le ppa est obsolète. | fixme

38 Mot inconnu : Player => L'équipe du projet Player/Stage, par l'intermédiaire de Toby Collett (alias thjc), a mis en place un PPA nommé Linux Robotics Studio. Celui-ci a pour but de réunir tous les projets open-source lié à la robotique. | player
38 Mot inconnu : Toby => L'équipe du projet Player/Stage, par l'intermédiaire de Toby Collett (alias thjc), a mis en place un PPA nommé Linux Robotics Studio. Celui-ci a pour but de réunir tous les projets open-source lié à la robotique. | toby
38 Mot inconnu : Collett => L'équipe du projet Player/Stage, par l'intermédiaire de Toby Collett (alias thjc), a mis en place un PPA nommé Linux Robotics Studio. Celui-ci a pour but de réunir tous les projets open-source lié à la robotique. | collett
38 Mot inconnu : thjc => L'équipe du projet Player/Stage, par l'intermédiaire de Toby Collett (alias thjc), a mis en place un PPA nommé Linux Robotics Studio. Celui-ci a pour but de réunir tous les projets open-source lié à la robotique. | thjc
38 Mot inconnu : Robotics => L'équipe du projet Player/Stage, par l'intermédiaire de Toby Collett (alias thjc), a mis en place un PPA nommé Linux Robotics Studio. Celui-ci a pour but de réunir tous les projets open-source lié à la robotique. | robotics

49 Mot inconnu : FIXME => FIXME | fixme
