
6 Mot inconnu : Deluge => ====== Deluge ====== | deluge

13 Espace(s) en fin de ligne à supprimer. => == Fonctionnalités de base ==  |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Affichage dans une seule fenêtre des téléchargements simultanés |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des priorités de téléchargement (par torrent, mais aussi pour chacun des fichiers compris dans un torrent) |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supporte la Mainline DHT,  |    => suggestions : ['']
16 Mot inconnu : Mainline =>   * Supporte la Mainline DHT,  | mainline
16 Mot inconnu : DHT =>   * Supporte la Mainline DHT,  | dht
16 Espace(s) en fin de ligne à supprimer. =>   * Supporte la Mainline DHT,  |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supporte l'UPnP et le mappage des ports NAT-PMP |    => suggestions : ['']
17 Mot inconnu : UPnP =>   * Supporte l'UPnP et le mappage des ports NAT-PMP | upnp
17 Mot inconnu : NAT-PMP =>   * Supporte l'UPnP et le mappage des ports NAT-PMP | nat-pmp

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supporte le chiffrement des flux |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supporte le µTorrent Peer Exchange |    => suggestions : ['']
19 Mot inconnu : µTorrent =>   * Supporte le µTorrent Peer Exchange | µtorrent
19 Mot inconnu : Exchange =>   * Supporte le µTorrent Peer Exchange | exchange

21 Espace(s) en fin de ligne à supprimer. => == Greffons intégrés ==  |   => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Création de torrents |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déplacements de torrents (une fois le téléchargement entamé) |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sauvegarde de différents paramétrages pour une utilisation "nomade" |    => suggestions : ['']
24 Guillemets typographiques ouvrants. =>   * Sauvegarde de différents paramétrages pour une utilisation "nomade" | " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. =>   * Sauvegarde de différents paramétrages pour une utilisation "nomade" | " => suggestions : ['\xa0»', '”']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Blocage d'IP par import de listes noires |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Affichage graphique des flux entrants et sortants |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Planificateur |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Support des flux RSS |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

36 Mot inconnu : Desktop => ==== Version Desktop ==== | desktop

43 Mot inconnu : Deluge => Il peut être intéressant d'installer Deluge dans ce mode si vous avez un ordinateur qui tourne en permanence et qui n'a pas d'écran ou de mode graphique installé. Vous pourrez y accéder depuis un autre poste au travers d'une interface web très proche de la version desktop. | deluge
43 Mot inconnu : desktop => Il peut être intéressant d'installer Deluge dans ce mode si vous avez un ordinateur qui tourne en permanence et qui n'a pas d'écran ou de mode graphique installé. Vous pourrez y accéder depuis un autre poste au travers d'une interface web très proche de la version desktop. | desktop

51 Mot inconnu : securité => Premièrement, par securité, nous allons créer un utilisateur ''deluge''. C'est avec les privilèges de cet utilisateur que le serveur sera lancé pour des raisons de sécurité. | securité
51 Guillemets typographiques ouvrants. => Premièrement, par securité, nous allons créer un utilisateur ''deluge''. C'est avec les privilèges de cet utilisateur que le serveur sera lancé pour des raisons de sécurité. | '' => suggestions : ['«\xa0', '“']
51 Mot inconnu : deluge => Premièrement, par securité, nous allons créer un utilisateur ''deluge''. C'est avec les privilèges de cet utilisateur que le serveur sera lancé pour des raisons de sécurité. | deluge
51 Guillemets typographiques fermants. => Premièrement, par securité, nous allons créer un utilisateur ''deluge''. C'est avec les privilèges de cet utilisateur que le serveur sera lancé pour des raisons de sécurité. | '' => suggestions : ['\xa0»', '”']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

55 Mot inconnu : Deluge => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | deluge
55 Guillemets typographiques ouvrants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['«\xa0', '“']
55 Mot inconnu : deluge => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | deluge
55 Guillemets typographiques fermants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['«\xa0', '“']
55 Mot inconnu : deluge => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | deluge
55 Guillemets typographiques fermants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['«\xa0', '“']
55 Mot inconnu : deluge => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | deluge
55 Guillemets typographiques fermants. => Il est intéressant d'en profiter pour inclure les utilisateurs qui vont utiliser Deluge dans le groupe ''deluge'' afin qu'ils puissent facilement récupérer les fichiers téléchargés. En effet, les fichiers téléchargés seront la propriété de l'utilisateur ''deluge'' du groupe ''deluge'', donc initialement inaccessibles aux autres utilisateurs de votre machine. Exemple pour inclure l'utilisateur ''Toto'' au groupe ''deluge'' : | '' => suggestions : ['\xa0»', '”']
