
7 Mot inconnu : Pspice => ======Pspice====== | pspice

10 Mot inconnu : Pspice => **Pspice** est un logiciel de simulation électronique propriétaire permettant notamment d'étudier des montages électriques, de tracer des diagrammes de Bode, de calculer des gains, etc. | pspice

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer du logiciel d'installation setup.exe permettant son installation sous Windows. |    => suggestions : ['']
18 Mot inconnu : setup =>   * Disposer du logiciel d'installation setup.exe permettant son installation sous Windows. | setup
18 Mot inconnu : exe =>   * Disposer du logiciel d'installation setup.exe permettant son installation sous Windows. | exe

26 Mot inconnu : Wine => ====Début d'installation via Wine==== | wine

29 Mot inconnu : setup => Ensuite, double-cliquer sur le setup.exe qui lancera la procédure d'installation standard. | setup
29 Mot inconnu : exe => Ensuite, double-cliquer sur le setup.exe qui lancera la procédure d'installation standard. | exe

31 Mot inconnu : Schematics => <note>Il faut cocher les cases Schematics ET Capture lorsqu'il est demandé de sélectionner un des deux. Sinon, il sera impossible de lancer une simulation (fichier de configuration absent).</note> | schematics

33 Mot inconnu : OrCAD_Demo => Cependant, bien que l'installation se soit bien passée, certaines fonctionnalités demeurent inaccessibles. Pour y avoir accès, il faut d'abord déplacer le dossier OrCAD_Demo apparu dans ~/.wine/drive_c/Program Files vers un emplacement ne contenant pas d'espace (Pspice ne les apprécie pas). | orcad_demo
33 Mot inconnu : wine => Cependant, bien que l'installation se soit bien passée, certaines fonctionnalités demeurent inaccessibles. Pour y avoir accès, il faut d'abord déplacer le dossier OrCAD_Demo apparu dans ~/.wine/drive_c/Program Files vers un emplacement ne contenant pas d'espace (Pspice ne les apprécie pas). | wine
33 Mot inconnu : drive_c => Cependant, bien que l'installation se soit bien passée, certaines fonctionnalités demeurent inaccessibles. Pour y avoir accès, il faut d'abord déplacer le dossier OrCAD_Demo apparu dans ~/.wine/drive_c/Program Files vers un emplacement ne contenant pas d'espace (Pspice ne les apprécie pas). | drive_c
33 Mot inconnu : Program => Cependant, bien que l'installation se soit bien passée, certaines fonctionnalités demeurent inaccessibles. Pour y avoir accès, il faut d'abord déplacer le dossier OrCAD_Demo apparu dans ~/.wine/drive_c/Program Files vers un emplacement ne contenant pas d'espace (Pspice ne les apprécie pas). | program
33 Mot inconnu : Pspice => Cependant, bien que l'installation se soit bien passée, certaines fonctionnalités demeurent inaccessibles. Pour y avoir accès, il faut d'abord déplacer le dossier OrCAD_Demo apparu dans ~/.wine/drive_c/Program Files vers un emplacement ne contenant pas d'espace (Pspice ne les apprécie pas). | pspice

35 Mot inconnu : wine => Par exemple, je l'ai déplacé vers ~/.wine/drive_c | wine
35 Mot inconnu : drive_c => Par exemple, je l'ai déplacé vers ~/.wine/drive_c | drive_c

37 Mot inconnu : wine => ====Configuration de wine==== | wine

43 Mot inconnu : winetricks => ./winetricks dcom98</code> | winetricks
43 Mot inconnu : dcom98 => ./winetricks dcom98</code> | dcom98

50 Mot inconnu : wine => Cela ouvre le menu de configuration de wine. | wine

52 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir de là : | a => suggestions : ['À']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * aller à l'onglet Application |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sélectionner "windows 98" comme version de windows (à la place de "windows XP"). |    => suggestions : ['']
54 Guillemets typographiques ouvrants. =>   * sélectionner "windows 98" comme version de windows (à la place de "windows XP"). | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * sélectionner "windows 98" comme version de windows (à la place de "windows XP"). | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * sélectionner "windows 98" comme version de windows (à la place de "windows XP"). | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : XP =>   * sélectionner "windows 98" comme version de windows (à la place de "windows XP"). | xp
54 Guillemets typographiques fermants. =>   * sélectionner "windows 98" comme version de windows (à la place de "windows XP"). | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * aller à l'onglet Librairies. |    => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). |    => suggestions : ['']
56 Guillemets typographiques ouvrants. =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : overrides =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | overrides
56 Guillemets typographiques fermants. =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | " => suggestions : ['\xa0»', '”']
56 Mot inconnu : ole32 =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | ole32
56 Mot inconnu : oleaut32 =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | oleaut32
56 Mot inconnu : rpcrt4 =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | rpcrt4
56 Guillemets typographiques ouvrants. =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : Edit =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | edit
56 Guillemets typographiques fermants. =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : when =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | when
56 Mot inconnu : builtin =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | builtin
56 Guillemets typographiques fermants. =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. =>   * sélectionner les trois "overrides" ole32, oleaut32 et rpcrt4 puis cliquer sur "Edit" et, enfin, choisir "Native when builtin" à la place de "Native (windows). | " => suggestions : ['«\xa0', '“']

59 Mot inconnu : PSPICEEV => Enfin, il faut remplacer le fichier PSPICEEV.INI qui se trouve dans le dossier ~/.wine/drive_c/windows par celui provenant d'une installation propre sur windows puis l'éditer pour avoir les chemins corrects.  | pspiceev
