
2 Espace(s) en fin de ligne à supprimer. [[4:5]] => ----  <|>   => suggestions : ['']

5 Mot inconnu : Anbox [[7:12]] => ====== Anbox - Android in a Box ====== <|> anbox
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[12:15]] => ====== Anbox - Android in a Box ====== <|>  -  => suggestions : [' – ', ' — ', ' − ']

9 Mot inconnu : Anbox [[31:36]] => <note warning>L'installation d'Anbox crée une grande quantité de dossiers et de fichiers qui s'avèrent quasiment impossible à désinstaller ! \\ <|> anbox
12 Mot inconnu : Uninstall [[23:32]] => suivie de l'option « 2.Uninstall » laisse une énorme quantité de dossiers et de fichiers dans le système.</note> <|> uninstall

16 Mot inconnu : Anbox [[22:27]] => ===== Installation de Anbox ===== <|> anbox

28 Mot inconnu : Anbox [[14:19]] => ====Installer Anbox, via snap==== <|> anbox

29 Mot inconnu : Anbox [[44:49]] => <note>Seule méthode officielle soutenue par Anbox (cf voir site, au 28/10/2020)</note> <|> anbox

33 Mot inconnu : Anbox [[21:26]] => **Pour mettre à jour Anbox via snap, faire :** <|> anbox

36 Mot inconnu : Anbox [[37:42]] => <note important>Il est possible qu'**Anbox ne s'installe pas si votre CPU est trop ancien**. <|> anbox

46 Mot inconnu : zesty [[42:47]] => Dans ce cas, essayez le dépôt (testé sous zesty) : <|> zesty

48 Mot inconnu : zsj [[25:28]] => https://ftp.ustclug.org/~zsj/anbox/ <|> zsj
48 Mot inconnu : anbox [[29:34]] => https://ftp.ustclug.org/~zsj/anbox/ <|> anbox

54 Mot inconnu : Anbox [[49:54]] => Pour lancer l'application, cliquer sur l'icône** Anbox Applica....** <|> anbox
54 Mot inconnu : Applica [[55:62]] => Pour lancer l'application, cliquer sur l'icône** Anbox Applica....** <|> applica
54 Typographie : points de suspension. Utilisez le caractère dédié. [[62:66]] => Pour lancer l'application, cliquer sur l'icône** Anbox Applica....** <|> .... => suggestions : ['…']

59 Guillemets typographiques ouvrants. [[21:22]] => Cliquer sur l'onglet "settings", ajouter la langue française et supprimer éventuellement la langue anglaise. <|> " => suggestions : ['«\xa0', '“']
59 Mot inconnu : settings [[22:30]] => Cliquer sur l'onglet "settings", ajouter la langue française et supprimer éventuellement la langue anglaise. <|> settings
59 Guillemets typographiques fermants. [[30:31]] => Cliquer sur l'onglet "settings", ajouter la langue française et supprimer éventuellement la langue anglaise. <|> " => suggestions : ['\xa0»', '”']

65 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Télécharger "Generic_fr_FR.kcm" à partir de https://sourceforge.net/projects/androidx86rc2te/files/ <|> -  => suggestions : ['—\xa0', '–\xa0']
