
5 Mot inconnu : mbr => ====== Que trouve-t-on comme programme dans le mbr ====== | mbr

7 Pour la moitié de “tour”, écrivez “demi-tour”. => Si vous êtes arrivés sur cette page par erreur, faites demi tour sans tarder car ici se trouve l'antre de la bête :-( - où il ne faut pas connaître la peur car vous allez découvrir les entrailles de votre machine. 8-o | demi tour => suggestions : ['demi-tour']
7 Pas d’espace après ce signe. => Si vous êtes arrivés sur cette page par erreur, faites demi tour sans tarder car ici se trouve l'antre de la bête :-( - où il ne faut pas connaître la peur car vous allez découvrir les entrailles de votre machine. 8-o | (  => suggestions : ['(']
7 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Si vous êtes arrivés sur cette page par erreur, faites demi tour sans tarder car ici se trouve l'antre de la bête :-( - où il ne faut pas connaître la peur car vous allez découvrir les entrailles de votre machine. 8-o |  -  => suggestions : [' – ', ' — ', ' − ']
7 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Si vous êtes arrivés sur cette page par erreur, faites demi tour sans tarder car ici se trouve l'antre de la bête :-( - où il ne faut pas connaître la peur car vous allez découvrir les entrailles de votre machine. 8-o |  car => suggestions : [', car']

9 Mot inconnu : mbr => Le mbr est le premier secteur du disque chargé en mémoire lors du démarrage d'un ordinateur. Il a pour fonction principale de rechercher une partition où se trouve un système d'exploitation à lancer. | mbr

11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Avant tout il faudra vérifier que la table des partitions est conforme - à défaut un message d'erreur sera affiché. |  -  => suggestions : [' – ', ' — ', ' − ']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

24 Mot inconnu : boot => Vient ensuite la recherche de périphériques de démarrage selon l'ordre de boot. | boot

26 Accord de nombre erroné : « bios » est au pluriel. => Le bios charge alors le premier secteur du disque (512 octets) en mémoire vive à l'adresse 0000:7C00 | le => suggestions : ['Les']
26 Accord de nombre erroné : « bios » devrait être au singulier. => Le bios charge alors le premier secteur du disque (512 octets) en mémoire vive à l'adresse 0000:7C00 | bios => suggestions : ['bio']
26 Mot inconnu : C00 => Le bios charge alors le premier secteur du disque (512 octets) en mémoire vive à l'adresse 0000:7C00 | c00

30 Mot inconnu : C00 => Une fois le chargement terminé et sans erreur, l'exécution se poursuit à l'adresse 0000:7C00, et donc suit les instructions qui figurent dans le premier secteur du mbr | c00
30 Mot inconnu : mbr => Une fois le chargement terminé et sans erreur, l'exécution se poursuit à l'adresse 0000:7C00, et donc suit les instructions qui figurent dans le premier secteur du mbr | mbr

32 Mot inconnu : UEFI => <note tip>Lors d'un démarrage en mode UEFI avec un disque GPT, le mbr (protector) ne semble quasiment pas utilisé et seul l'emplacement de l'en-tête GPT est nécessaire (unique entrée de la table des partitions du mbr protector)</note> | uefi
32 Mot inconnu : GPT => <note tip>Lors d'un démarrage en mode UEFI avec un disque GPT, le mbr (protector) ne semble quasiment pas utilisé et seul l'emplacement de l'en-tête GPT est nécessaire (unique entrée de la table des partitions du mbr protector)</note> | gpt
32 Mot inconnu : mbr => <note tip>Lors d'un démarrage en mode UEFI avec un disque GPT, le mbr (protector) ne semble quasiment pas utilisé et seul l'emplacement de l'en-tête GPT est nécessaire (unique entrée de la table des partitions du mbr protector)</note> | mbr
32 Mot inconnu : protector => <note tip>Lors d'un démarrage en mode UEFI avec un disque GPT, le mbr (protector) ne semble quasiment pas utilisé et seul l'emplacement de l'en-tête GPT est nécessaire (unique entrée de la table des partitions du mbr protector)</note> | protector
32 Mot inconnu : GPT => <note tip>Lors d'un démarrage en mode UEFI avec un disque GPT, le mbr (protector) ne semble quasiment pas utilisé et seul l'emplacement de l'en-tête GPT est nécessaire (unique entrée de la table des partitions du mbr protector)</note> | gpt
32 Mot inconnu : mbr => <note tip>Lors d'un démarrage en mode UEFI avec un disque GPT, le mbr (protector) ne semble quasiment pas utilisé et seul l'emplacement de l'en-tête GPT est nécessaire (unique entrée de la table des partitions du mbr protector)</note> | mbr
32 Mot inconnu : protector => <note tip>Lors d'un démarrage en mode UEFI avec un disque GPT, le mbr (protector) ne semble quasiment pas utilisé et seul l'emplacement de l'en-tête GPT est nécessaire (unique entrée de la table des partitions du mbr protector)</note> | protector

35 Mot inconnu : mbr => Nous avons vu comment afficher le contenu du mbr ; ici il faudra effectuer deux opérations : | mbr

38 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - effectuer une copie de la partie exécutable du mbr (les 440 premiers octets) sous la forme d'un fichier | -  => suggestions : ['—\xa0', '–\xa0']
38 Mot inconnu : mbr => - effectuer une copie de la partie exécutable du mbr (les 440 premiers octets) sous la forme d'un fichier | mbr

