
3 Mot inconnu : xcompmgr => ====== xcompmgr ====== | xcompmgr
5 Espace(s) en fin de ligne à supprimer. => Il est possible sous Ubuntu d'afficher des ombres sous les fenêtres. Ces ombres embelliront grandement votre bureau !  |   => suggestions : ['']

7 Mot inconnu : Xcompmgr => Xcompmgr peut aussi gérer la transparence. | xcompmgr

10 Mot inconnu : Xcompmgr => Xcompmgr est particulièrement utile pour les gestionnaires de fenêtres qui ne gèrent pas les ombres ou la transparence, comme [[openbox|openbox]]. | xcompmgr

12 Mot inconnu : fglrx => <note important>Les ombres ne peuvent s'obtenir en utilisant le module //fglrx// pour les cartes ATI Radeon. Il faut revenir au module de base //ati//, qui est alors... très lent.</note> | fglrx
12 Mot inconnu : ATI => <note important>Les ombres ne peuvent s'obtenir en utilisant le module //fglrx// pour les cartes ATI Radeon. Il faut revenir au module de base //ati//, qui est alors... très lent.</note> | ati
12 Mot inconnu : Radeon => <note important>Les ombres ne peuvent s'obtenir en utilisant le module //fglrx// pour les cartes ATI Radeon. Il faut revenir au module de base //ati//, qui est alors... très lent.</note> | radeon
12 Mot inconnu : ati => <note important>Les ombres ne peuvent s'obtenir en utilisant le module //fglrx// pour les cartes ATI Radeon. Il faut revenir au module de base //ati//, qui est alors... très lent.</note> | ati
12 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Les ombres ne peuvent s'obtenir en utilisant le module //fglrx// pour les cartes ATI Radeon. Il faut revenir au module de base //ati//, qui est alors... très lent.</note> | ... => suggestions : ['…']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

25 Mot inconnu : Xorg => ===== Configuration de Xorg ===== | xorg

31 Guillemets typographiques ouvrants. => Si une section "Extensions" existe déjà ajoutez-y simplement la ligne suivante pour indiquer à xorg de charger "Composite" : | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Si une section "Extensions" existe déjà ajoutez-y simplement la ligne suivante pour indiquer à xorg de charger "Composite" : | " => suggestions : ['\xa0»', '”']
31 Mot inconnu : xorg => Si une section "Extensions" existe déjà ajoutez-y simplement la ligne suivante pour indiquer à xorg de charger "Composite" : | xorg
31 Guillemets typographiques ouvrants. => Si une section "Extensions" existe déjà ajoutez-y simplement la ligne suivante pour indiquer à xorg de charger "Composite" : | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Si une section "Extensions" existe déjà ajoutez-y simplement la ligne suivante pour indiquer à xorg de charger "Composite" : | " => suggestions : ['\xa0»', '”']

32 Espace(s) surnuméraire(s) à supprimer. => <file>Option          "Composite"     "Enable"</file> |            => suggestions : [' ']
32 Guillemets typographiques ouvrants. => <file>Option          "Composite"     "Enable"</file> | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => <file>Option          "Composite"     "Enable"</file> | " => suggestions : ['\xa0»', '”']
32 Guillemets typographiques ouvrants. => <file>Option          "Composite"     "Enable"</file> | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : Enable => <file>Option          "Composite"     "Enable"</file> | enable
32 Guillemets typographiques fermants. => <file>Option          "Composite"     "Enable"</file> | " => suggestions : ['\xa0»', '”']

35 Guillemets typographiques ouvrants. => <file>Section "Extensions" | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. => <file>Section "Extensions" | " => suggestions : ['\xa0»', '”']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option          "Composite"     "Enable" |      => suggestions : ['']
36 Espace(s) surnuméraire(s) à supprimer. =>     Option          "Composite"     "Enable" |            => suggestions : [' ']
36 Guillemets typographiques ouvrants. =>     Option          "Composite"     "Enable" | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. =>     Option          "Composite"     "Enable" | " => suggestions : ['\xa0»', '”']
36 Guillemets typographiques ouvrants. =>     Option          "Composite"     "Enable" | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : Enable =>     Option          "Composite"     "Enable" | enable
36 Guillemets typographiques fermants. =>     Option          "Composite"     "Enable" | " => suggestions : ['\xa0»', '”']

37 Mot inconnu : EndSection => EndSection</file> | endsection

41 Mot inconnu : nvidia => ==== Pour les cartes graphiques nvidia ==== | nvidia

43 Mot inconnu : nvidia => Si vous utilisez une carte graphique nvidia, il nous faut ajouter une autre modification au fichier de configuration de Xorg. | nvidia
43 Mot inconnu : Xorg => Si vous utilisez une carte graphique nvidia, il nous faut ajouter une autre modification au fichier de configuration de Xorg. | xorg

46 Guillemets typographiques ouvrants. => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : Device => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | device
46 Guillemets typographiques fermants. => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | " => suggestions : ['\xa0»', '”']
46 Mot inconnu : GLXComposite => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | glxcomposite
46 Guillemets typographiques ouvrants. => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : AllowGLXWithComposite => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | allowglxwithcomposite
46 Guillemets typographiques fermants. => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | " => suggestions : ['\xa0»', '”']
46 Guillemets typographiques ouvrants. => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : True => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | true
46 Guillemets typographiques fermants. => Trouvez la section "Device" et ajoutez-y cette ligne pour activer GLXComposite : <file>Option "AllowGLXWithComposite" "True"</file> | " => suggestions : ['\xa0»', '”']

48 Guillemets typographiques ouvrants. => La section "Device" de mon fichier de configuration de Xorg ressemble à : | " => suggestions : ['«\xa0', '“']
48 Mot inconnu : Device => La section "Device" de mon fichier de configuration de Xorg ressemble à : | device
48 Guillemets typographiques fermants. => La section "Device" de mon fichier de configuration de Xorg ressemble à : | " => suggestions : ['\xa0»', '”']
48 Mot inconnu : Xorg => La section "Device" de mon fichier de configuration de Xorg ressemble à : | xorg

50 Guillemets typographiques ouvrants. => <file>Section "Device" | " => suggestions : ['«\xa0', '“']
50 Mot inconnu : Device => <file>Section "Device" | device
50 Guillemets typographiques fermants. => <file>Section "Device" | " => suggestions : ['\xa0»', '”']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier    "NVIDIA Corporation NV34 [GeForce FX 5200]" |      => suggestions : ['']
51 Espace(s) surnuméraire(s) à supprimer. =>     Identifier    "NVIDIA Corporation NV34 [GeForce FX 5200]" |      => suggestions : [' ']
51 Guillemets typographiques ouvrants. =>     Identifier    "NVIDIA Corporation NV34 [GeForce FX 5200]" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : NV34 =>     Identifier    "NVIDIA Corporation NV34 [GeForce FX 5200]" | nv34
51 Mot inconnu : GeForce =>     Identifier    "NVIDIA Corporation NV34 [GeForce FX 5200]" | geforce
51 Mot inconnu : FX =>     Identifier    "NVIDIA Corporation NV34 [GeForce FX 5200]" | fx

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Driver        "nvidia" |      => suggestions : ['']
52 Espace(s) surnuméraire(s) à supprimer. =>     Driver        "nvidia" |          => suggestions : [' ']
52 Guillemets typographiques ouvrants. =>     Driver        "nvidia" | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : nvidia =>     Driver        "nvidia" | nvidia
52 Guillemets typographiques fermants. =>     Driver        "nvidia" | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     BusID        "PCI:1:0:0" |      => suggestions : ['']
53 Mot inconnu : BusID =>     BusID        "PCI:1:0:0" | busid
53 Espace(s) surnuméraire(s) à supprimer. =>     BusID        "PCI:1:0:0" |          => suggestions : [' ']
53 Guillemets typographiques ouvrants. =>     BusID        "PCI:1:0:0" | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : PCI =>     BusID        "PCI:1:0:0" | pci
53 Il manque un espace. =>     BusID        "PCI:1:0:0" | 1 => suggestions : [' 1']
53 Guillemets typographiques fermants. =>     BusID        "PCI:1:0:0" | " => suggestions : ['\xa0»', '”']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option        "RenderAccel"        "True" |      => suggestions : ['']
54 Espace(s) surnuméraire(s) à supprimer. =>     Option        "RenderAccel"        "True" |          => suggestions : [' ']
54 Guillemets typographiques ouvrants. =>     Option        "RenderAccel"        "True" | " => suggestions : ['«\xa0', '“']
