11 Mot inconnu : update [[4:10]] => apt update</code> </note> <|> update

16 Guillemets typographiques ouvrants. [[119:120]] => Ce script crée un système complet dans /opt/ltsp/i386 (dans le cas le plus fréquent où les postes clients sont de type "i386" ainsi que le serveur). <|> " => suggestions : « “
16 Mot inconnu : i386 [[120:124]] => Ce script crée un système complet dans /opt/ltsp/i386 (dans le cas le plus fréquent où les postes clients sont de type "i386" ainsi que le serveur). <|> i386
16 Guillemets typographiques fermants. [[124:125]] => Ce script crée un système complet dans /opt/ltsp/i386 (dans le cas le plus fréquent où les postes clients sont de type "i386" ainsi que le serveur). <|> " => suggestions :  »”

21 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:2]] => en n'oubliant pas de copier les sources.list du serveur en chroot. Soyez patient, selon la vitesse de votre connexion Internet et la puissance de votre serveur, la construction peut prendre plusieurs minutes …  <|> en => suggestions : En
21 Mot inconnu : list [[40:44]] => en n'oubliant pas de copier les sources.list du serveur en chroot. Soyez patient, selon la vitesse de votre connexion Internet et la puissance de votre serveur, la construction peut prendre plusieurs minutes …  <|> list
21 Pas d’espace avant le signe “…”. [[207:209]] => en n'oubliant pas de copier les sources.list du serveur en chroot. Soyez patient, selon la vitesse de votre connexion Internet et la puissance de votre serveur, la construction peut prendre plusieurs minutes …  <|>  … => suggestions : …
21 Espace(s) en fin de ligne à supprimer. [[209:210]] => en n'oubliant pas de copier les sources.list du serveur en chroot. Soyez patient, selon la vitesse de votre connexion Internet et la puissance de votre serveur, la construction peut prendre plusieurs minutes …  <|>  
61 Espace(s) en fin de ligne à supprimer. [[7:8]] => Trucs :  <|>  

65 Mot inconnu : dhcpd [[23:28]] => ===== Configuration du dhcpd.conf sur un autre serveur ===== <|> dhcpd
65 Il manque un espace. [[29:33]] => ===== Configuration du dhcpd.conf sur un autre serveur ===== <|> conf => suggestions :  conf
67 Mot inconnu : ISC [[360:363]] => Dans le cas où vous installez le serveur ltsp sur un réseau déjà équipé d'un serveur DHCP, vous ne pourrez pas l'utiliser sous peine de créer des conflits sur le réseau. Vous devez dans ce cas configurer le fichier ///etc/dhcpd.conf// ou ///etc/dhcp3/dhcpd.conf// en fonction du serveur. Attention, les paramètres ne sont valables que dans le cas du DHCP de l'ISC. <|> isc
68 Mot inconnu : dhcpd [[195:200]] => Vous serez obligés d'utiliser le serveur DHCP en mode adressé ou statique, ce qui veut dire qu'il faudra entrer les adresses ethernet des clients et l'adresse IP correspondante dans le fichier //dhcpd.conf//. <|> dhcpd
68 Il manque un espace. [[201:205]] => Vous serez obligés d'utiliser le serveur DHCP en mode adressé ou statique, ce qui veut dire qu'il faudra entrer les adresses ethernet des clients et l'adresse IP correspondante dans le fichier //dhcpd.conf//. <|> conf => suggestions :  conf

82 Mot inconnu : next-server [[71:82]] => La différence principale avec la configuration décrite plus haut est **next-server** qui donne l'adresse du serveur LTSP aux clients légers ainsi une fois qu'ils ont récupéré leurs adresse IP, ils savent qui contacter. <|> next-server
82 Accord de nombre erroné avec « adresse ». [[175:180]] => La différence principale avec la configuration décrite plus haut est **next-server** qui donne l'adresse du serveur LTSP aux clients légers ainsi une fois qu'ils ont récupéré leurs adresse IP, ils savent qui contacter. <|> leurs => suggestions : leur
82 Accord de nombre erroné avec « leurs » : « adresse » devrait être au pluriel. [[181:188]] => La différence principale avec la configuration décrite plus haut est **next-server** qui donne l'adresse du serveur LTSP aux clients légers ainsi une fois qu'ils ont récupéré leurs adresse IP, ils savent qui contacter. <|> adresse => suggestions : adresses

113 Mot inconnu : tomsrtbt [[104:112]] => Dans ce cas, si le client léger est équipé d'un lecteur de disquette, on peut y insérer une disquette **tomsrtbt** (//Tom's Root Boot//). Ou bien, si le client léger dispose d'un lecteur CD-ROM, on peut démarrer avec un CD Linux, comme Knoppix. S'il n'est pas possible de lancer Linux sur le client léger pour découvrir le type de le carte réseau, le seul moyen restant est d'installer la carte réseau sur une machine où cela est possible. <|> tomsrtbt
113 Mot inconnu : Tom's [[118:123]] => Dans ce cas, si le client léger est équipé d'un lecteur de disquette, on peut y insérer une disquette **tomsrtbt** (//Tom's Root Boot//). Ou bien, si le client léger dispose d'un lecteur CD-ROM, on peut démarrer avec un CD Linux, comme Knoppix. S'il n'est pas possible de lancer Linux sur le client léger pour découvrir le type de le carte réseau, le seul moyen restant est d'installer la carte réseau sur une machine où cela est possible. <|> tom's
113 Accord de genre erroné : « carte » est féminin. [[331:333]] => Dans ce cas, si le client léger est équipé d'un lecteur de disquette, on peut y insérer une disquette **tomsrtbt** (//Tom's Root Boot//). Ou bien, si le client léger dispose d'un lecteur CD-ROM, on peut démarrer avec un CD Linux, comme Knoppix. S'il n'est pas possible de lancer Linux sur le client léger pour découvrir le type de le carte réseau, le seul moyen restant est d'installer la carte réseau sur une machine où cela est possible. <|> le => suggestions : la
113 Incohérence avec “de le” : “carte” est une forme verbale conjuguée. [[334:339]] => Dans ce cas, si le client léger est équipé d'un lecteur de disquette, on peut y insérer une disquette **tomsrtbt** (//Tom's Root Boot//). Ou bien, si le client léger dispose d'un lecteur CD-ROM, on peut démarrer avec un CD Linux, comme Knoppix. S'il n'est pas possible de lancer Linux sur le client léger pour découvrir le type de le carte réseau, le seul moyen restant est d'installer la carte réseau sur une machine où cela est possible. <|> carte => suggestions : carter

138 Mot inconnu : bootrom [[65:72]] => Une fois sauvegardé sur le disque dur, il faut ensuite copier le bootrom sur une disquette. Insérez une disquette dans le lecteur et lancez la commander suivante : <|> bootrom
