
4 Mot inconnu : Conky => ====== Conky : affichage des ressources système ====== | conky

6 Mot inconnu : Conky => **Conky** permet la surveillance de pratiquement toutes les variables du système : CPU, mémoire, swap, espace disque, température, téléchargements, messages du système, et bien d'autres encore. L'affichage peut se faire en arrière-plan sur le bureau. | conky

8 Mot inconnu : Conky => Conky est extrêmement configurable bien que sa configuration puisse être difficile. Pour voir des exemples de configuration de Conky, consultez **[[https://forum.ubuntu-fr.org/viewtopic.php?id=426625|ce sujet]]** ou **[[https://forum.ubuntu-fr.org/viewtopic.php?id=426625|cette archive]]**. | conky
8 Mot inconnu : Conky => Conky est extrêmement configurable bien que sa configuration puisse être difficile. Pour voir des exemples de configuration de Conky, consultez **[[https://forum.ubuntu-fr.org/viewtopic.php?id=426625|ce sujet]]** ou **[[https://forum.ubuntu-fr.org/viewtopic.php?id=426625|cette archive]]**. | conky
24 Mot inconnu : LTS => <note warning>Le ppa suivant n'est utile que pour les versions 14.04, 16.04 qui sont des versions LTS. Ce ppa s'arrête à la 17.04 (en fin de vie)</note> | lts

25 Mot inconnu : Universe => <note important>La version 1.10 est présente dans les dépôts Universe sous Bionic Beaver (18.04)</note> | universe

27 Mot inconnu : Conky => Conky passe en version **1.10**. Cela entraîne de gros changements sur la configuration :\\ | conky

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

49 Mot inconnu : Conky => Si vous n'avez pas peur de l'anglais, consulter la [[http://conky.sourceforge.net/documentation.html|documentation]] de Conky. | conky

50 Mot inconnu : Conky => ==== Conky avant TEXT ==== | conky
50 Mot inconnu : TEXT => ==== Conky avant TEXT ==== | text
52 Mot inconnu : Conky => <note important>Note: ces paramètres de configuration ne sont plus compatibles avec Conky v1.10.8 (2018). </note> | conky
52 Mot inconnu : v1 => <note important>Note: ces paramètres de configuration ne sont plus compatibles avec Conky v1.10.8 (2018). </note> | v1

54 Guillemets fermants. => La première partie du fichier ".conkyrc" sert à configurer le logiciel Conky lui-même, il ne faut pas oublier de mettre à la suite la partie TEXT qui comporte ce que va afficher Conky ; sans quoi il ne démarrera pas. |  " => suggestions : ['\xa0»', '”']
54 Mot inconnu : conkyrc => La première partie du fichier ".conkyrc" sert à configurer le logiciel Conky lui-même, il ne faut pas oublier de mettre à la suite la partie TEXT qui comporte ce que va afficher Conky ; sans quoi il ne démarrera pas. | conkyrc
