
4 Mot inconnu : Freeplayer => ====== Freeplayer ====== | freeplayer

5 Mot inconnu : Freeplayer => Le Freeplayer est un moyen de diffuser des contenus multimédia (photos, vidéos, musique,...) sur la télévision grâce à sa Freebox. | freeplayer
5 Erreur de numérisation ? Virgules au lieu de points ? => Le Freeplayer est un moyen de diffuser des contenus multimédia (photos, vidéos, musique,...) sur la télévision grâce à sa Freebox. | ,... => suggestions : ['….']
5 Typographie : points de suspension. Utilisez le caractère dédié. => Le Freeplayer est un moyen de diffuser des contenus multimédia (photos, vidéos, musique,...) sur la télévision grâce à sa Freebox. | ... => suggestions : ['…']
5 Mot inconnu : Freebox => Le Freeplayer est un moyen de diffuser des contenus multimédia (photos, vidéos, musique,...) sur la télévision grâce à sa Freebox. | freebox

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir une Freebox en version inférieure à la v6 (il semble que Free ne donne plus suite au service freeplayer à partir de la Freebox Revolution). |    => suggestions : ['']
16 Mot inconnu : Freebox =>   * Avoir une Freebox en version inférieure à la v6 (il semble que Free ne donne plus suite au service freeplayer à partir de la Freebox Revolution). | freebox
16 Mot inconnu : v6 =>   * Avoir une Freebox en version inférieure à la v6 (il semble que Free ne donne plus suite au service freeplayer à partir de la Freebox Revolution). | v6
16 Mot inconnu : freeplayer =>   * Avoir une Freebox en version inférieure à la v6 (il semble que Free ne donne plus suite au service freeplayer à partir de la Freebox Revolution). | freeplayer
16 Mot inconnu : Freebox =>   * Avoir une Freebox en version inférieure à la v6 (il semble que Free ne donne plus suite au service freeplayer à partir de la Freebox Revolution). | freebox
16 Mot inconnu : Revolution =>   * Avoir une Freebox en version inférieure à la v6 (il semble que Free ne donne plus suite au service freeplayer à partir de la Freebox Revolution). | revolution

