
6 Mot inconnu : LTS => ====== LTS.CONF ====== | lts
6 Il manque un espace. => ====== LTS.CONF ====== | conf => suggestions : [' CONF']

9 Mot inconnu : lts => Le fichier lts.conf est utilisé pour la configuration des paramètres des clients légers LTSP.  | lts
9 Il manque un espace. => Le fichier lts.conf est utilisé pour la configuration des paramètres des clients légers LTSP.  | conf => suggestions : [' conf']
9 Mot inconnu : LTSP => Le fichier lts.conf est utilisé pour la configuration des paramètres des clients légers LTSP.  | ltsp
9 Espace(s) en fin de ligne à supprimer. => Le fichier lts.conf est utilisé pour la configuration des paramètres des clients légers LTSP.  |   => suggestions : ['']

14 Mot inconnu : LTSP => Pour les versions de LTSP inférieures à 5.0.39, il est situé dans chaque environnement $CHROOT/etc/lts.conf (par défaut $CHROOT=/opt/ltsp/i386).  Ce fichier, dans les versions 5.0.39 et plus, est envoyé en clair via tftp en UDP sur le réseau. | ltsp
14 Mot inconnu : CHROOT => Pour les versions de LTSP inférieures à 5.0.39, il est situé dans chaque environnement $CHROOT/etc/lts.conf (par défaut $CHROOT=/opt/ltsp/i386).  Ce fichier, dans les versions 5.0.39 et plus, est envoyé en clair via tftp en UDP sur le réseau. | chroot
14 Il manque un espace. => Pour les versions de LTSP inférieures à 5.0.39, il est situé dans chaque environnement $CHROOT/etc/lts.conf (par défaut $CHROOT=/opt/ltsp/i386).  Ce fichier, dans les versions 5.0.39 et plus, est envoyé en clair via tftp en UDP sur le réseau. | conf => suggestions : [' conf']
14 Mot inconnu : CHROOT => Pour les versions de LTSP inférieures à 5.0.39, il est situé dans chaque environnement $CHROOT/etc/lts.conf (par défaut $CHROOT=/opt/ltsp/i386).  Ce fichier, dans les versions 5.0.39 et plus, est envoyé en clair via tftp en UDP sur le réseau. | chroot
14 Espace(s) surnuméraire(s) à supprimer. => Pour les versions de LTSP inférieures à 5.0.39, il est situé dans chaque environnement $CHROOT/etc/lts.conf (par défaut $CHROOT=/opt/ltsp/i386).  Ce fichier, dans les versions 5.0.39 et plus, est envoyé en clair via tftp en UDP sur le réseau. |    => suggestions : [' ']
14 Mot inconnu : tftp => Pour les versions de LTSP inférieures à 5.0.39, il est situé dans chaque environnement $CHROOT/etc/lts.conf (par défaut $CHROOT=/opt/ltsp/i386).  Ce fichier, dans les versions 5.0.39 et plus, est envoyé en clair via tftp en UDP sur le réseau. | tftp
14 Mot inconnu : UDP => Pour les versions de LTSP inférieures à 5.0.39, il est situé dans chaque environnement $CHROOT/etc/lts.conf (par défaut $CHROOT=/opt/ltsp/i386).  Ce fichier, dans les versions 5.0.39 et plus, est envoyé en clair via tftp en UDP sur le réseau. | udp

16 Mot inconnu : TFTP => Pour la version 5.0.39 et supérieur, le fichier se trouve dans le répertoire du TFTP lié à l'environnement /var/lib/tftpboot/ltsp/<arch> (par défaut <arch>=i386). Cette différence de localisation s'explique par le passage de NFS à NBD comme système de fichier monté sur les clients. | tftp
16 Mot inconnu : i386 => Pour la version 5.0.39 et supérieur, le fichier se trouve dans le répertoire du TFTP lié à l'environnement /var/lib/tftpboot/ltsp/<arch> (par défaut <arch>=i386). Cette différence de localisation s'explique par le passage de NFS à NBD comme système de fichier monté sur les clients. | i386
16 Mot inconnu : NFS => Pour la version 5.0.39 et supérieur, le fichier se trouve dans le répertoire du TFTP lié à l'environnement /var/lib/tftpboot/ltsp/<arch> (par défaut <arch>=i386). Cette différence de localisation s'explique par le passage de NFS à NBD comme système de fichier monté sur les clients. | nfs
16 Mot inconnu : NBD => Pour la version 5.0.39 et supérieur, le fichier se trouve dans le répertoire du TFTP lié à l'environnement /var/lib/tftpboot/ltsp/<arch> (par défaut <arch>=i386). Cette différence de localisation s'explique par le passage de NFS à NBD comme système de fichier monté sur les clients. | nbd

18 Mot inconnu : ldm => Quel que soit son emplacement, ce fichier devra être protégé au niveau lecture pour éviter que n'importe quel utilisateur puisse lire les informations inscrites, surtout si vous utilisez les options d'ouverture automatique de ldm.  | ldm
18 Espace(s) en fin de ligne à supprimer. => Quel que soit son emplacement, ce fichier devra être protégé au niveau lecture pour éviter que n'importe quel utilisateur puisse lire les informations inscrites, surtout si vous utilisez les options d'ouverture automatique de ldm.  |   => suggestions : ['']

61 Mot inconnu : lts => ===== Explication des options du lts.conf ===== | lts
61 Il manque un espace. => ===== Explication des options du lts.conf ===== | conf => suggestions : [' conf']
64 Mot inconnu : default => Le fichier se décompose en deux sections principales : une section commune à tous les clients légers [default] et une autre partie qui est la configuration qui sera utilisée pour chaque client individuellement. La deuxième section est facultative dans un environnement simple : avec des clients presque identiques seule la section [default] sera utile. Une option dans la section [default] peut être inversée dans la section d'une machine, exemple SOUND=True dans [default] active le son sur tous les clients, mais SOUND=False dans la section [00:11:25:93:CF:02] désactivera le son pour cette machine si nécessaire. | default
