3 Mot inconnu : xxx [[44:47]] => ====== Liste des portables « Acer » Aspire 5xxx ====== <|> xxx

5 Mot inconnu : xxx [[56:59]] => Voici tous les micro-ordinateurs portables Acer Aspire 5xxx ayant été testés sous Ubuntu, classés par ordre alphabétique. <|> xxx

12 Mot inconnu : WLMI [[14:18]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|> wlmi
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[21:24]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|>  -  => suggestions :  –  —  − 
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[25:28]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|>  -  => suggestions :  –  —  − 
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[29:32]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|>  -  => suggestions :  –  —  − 
12 Signe de multiplication typographique. [[64:71]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|> 800x600 => suggestions : 800 × 600
12 Mot inconnu : x600 [[67:71]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|> x600
12 Mot inconnu : acer_acpi [[313:322]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|> acer_acpi
12 Mot inconnu : ndiswrapper [[325:336]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|> ndiswrapper
12 Espace(s) en fin de ligne à supprimer. [[429:430]] => | Aspire 5014 WLMI  | - | - | - | • installation avec livecd en 800x600 uniquement (ce qui est légèrement embêtant de par le fait que la fenêtre d'installation n'est pas redimensionnable) → solution : positionner les tableaux de bord à droite et à gauche de votre écran pour accéder aux boutons \\ • wifi OK avec acer_acpi + ndiswrapper + pilotes windows \\ • carte graphique OK avec les pilotes proprios ATI proposé par ubuntu |  <|>  

18 Mot inconnu : WLMI [[14:18]] => | Aspire 5102 WLMI  | :-) | - | - | • Webcam out, Lecteur carte 5in1 ok avec Gutsy, ATI avec pilotes proprio : 3D ok\\ • Install avec disque 32 ou 64 bits AMD Turion 64 : Wifi ok avec pilote madwifi, ok avec //Gestionnaire de pilotes propriétaires// sous Feisty et Gutsy, Flash et Java OK en 64 bits avec Swiftfox (pas de chroot 32 bits) |  <|> wlmi
